Player Name,Club Name,SCA,SCA Types,GCA,GCA Types,,Player,Nation,Pos,Age,90s,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA90
Leander Dendoncker,Aston Villa,1,MF,1,4.2,4,1.38,3,0,0,0,0,Matches,0.35,0,0,0,0,0
Tim Iroegbunam,Aston Villa,0,MF,0,3.3,1,0.31,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Calum Chambers,Aston Villa,0,"MF,DF",0,2.7,2,0.75,2,0,0,0,0,Matches,0.00,0,0,0,0,0
Filip Marshall,Aston Villa,0,GK,0,1.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Omari Kellyman,Aston Villa,0,FW,0,0.7,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Tyrone Mings,Aston Villa,0,DF,0,0.3,2,6.00,1,0,0,0,1,Matches,0.00,0,0,0,0,0
Bertrand Traoré,Aston Villa,0,"DF,FW",0,0.3,3,10.38,3,0,0,0,0,Matches,3.46,1,0,0,0,0
Philippe Coutinho,Aston Villa,0,"MF,FW",0,0.3,2,7.20,1,0,1,0,0,Matches,0.00,0,0,0,0,0
Tommi O'Reilly,Aston Villa,0,MF,0,0.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Kaine Kesler-Hayden,Aston Villa,0,"MF,DF",0,0.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Finley Munroe,Aston Villa,0,MF,0,0.1,1,10.00,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Cameron Archer,Aston Villa,0,MF,0,0.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Jaden Philogene Bidace,Aston Villa,0,FW,0,0.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Lucas Chevalier,Lille,0,GK,0,42.3,6,0.15,6,0,0,0,0,Matches,0.03,1,0,0,0,0
Benjamin André,Lille,5,MF,2,40.1,66,1.78,57,1,0,1,2,Matches,0.16,3,0,0,1,0
Leny Yoro,Lille,0,DF,0,39.1,18,0.50,11,1,0,4,2,Matches,0.08,1,0,0,2,0
Jonathan David,Lille,6,FW,2,37.7,90,2.59,70,1,3,10,0,Matches,0.26,3,0,1,3,0
Tiago Santos,Lille,13,DF,0,36.9,88,2.54,60,4,10,0,1,Matches,0.23,6,1,1,0,0
Angel Gomes,Lille,9,MF,0,35.9,130,3.87,93,13,6,7,2,Matches,0.42,10,3,0,1,0
Ismaily,Lille,3,DF,0,34.3,39,1.26,30,0,4,0,2,Matches,0.06,2,0,0,0,0
Edon Zhegrova,Lille,7,FW,0,33.0,141,4.67,70,23,28,12,1,Matches,0.60,10,2,5,1,0
Alexsandro Ribeiro,Lille,0,DF,0,31.9,19,0.63,18,0,0,1,0,Matches,0.07,1,0,0,1,0
Nabil Bentaleb,Lille,1,MF,0,28.2,51,1.89,45,2,0,2,1,Matches,0.18,5,0,0,0,0
Gabriel Gudmundsson,Lille,0,"DF,FW",0,23.6,32,1.42,25,0,4,2,1,Matches,0.13,2,0,0,1,0
Bafodé Diakité,Lille,1,DF,0,23.5,26,1.12,22,1,0,1,1,Matches,0.13,2,0,0,1,0
Yusuf Yazıcı,Lille,1,"MF,FW",0,23.2,59,2.69,37,12,3,5,1,Matches,0.32,5,1,1,0,0
Rémy Cabella,Lille,7,"FW,MF",3,22.4,112,5.09,67,24,2,8,4,Matches,0.82,8,3,0,3,1
Hákon Arnar Haraldsson,Lille,7,"FW,MF",2,21.9,62,3.06,41,4,6,3,1,Matches,0.30,2,1,0,1,0
Ivan Cavaleiro,Lille,1,FW,0,9.8,24,2.53,15,4,1,3,0,Matches,0.11,1,0,0,0,0
Samuel Umtiti,Lille,0,DF,0,7.8,1,0.15,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Ayyoub Bouaddi,Lille,1,MF,0,7.8,12,1.86,11,0,0,0,0,Matches,0.15,1,0,0,0,0
Adam Ounas,Lille,4,FW,0,7.3,35,5.53,21,3,4,3,0,Matches,0.16,0,0,0,1,0
Vito Mannone,Lille,0,GK,0,5.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Akim Zedadka,Lille,0,DF,0,2.0,1,1.00,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Alan Virginius,Lille,1,FW,1,1.7,5,2.88,3,0,1,0,0,Matches,0.58,0,0,0,0,0
Ignacio Miramon,Lille,0,MF,0,1.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Amine Messoussa,Lille,0,FW,0,0.8,1,1.43,0,0,1,0,0,Matches,0.00,0,0,0,0,0
Tiago Fonseca Morais,Lille,0,FW,0,0.7,1,1.96,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Carlos Baleba,Lille,0,MF,0,0.7,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Aaron Malouda,Lille,0,FW,0,0.4,1,3.21,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Trévis Dago,Lille,0,"FW,MF",0,0.3,2,7.83,1,0,1,0,0,Matches,7.83,1,0,1,0,0
Andrej Ilic,Lille,0,FW,0,0.2,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Joffrey Bazié,Lille,0,FW,0,0.2,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Ichem Ferrah,Lille,0,FW,0,0.1,1,6.92,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Adame Faiz,Lille,0,MF,0,0.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Guglielmo Vicario,Tottenham,0,GK,0,40.0,2,0.05,2,0,0,0,0,Matches,0.00,0,0,0,0,0
Pedro Porro,Tottenham,4,DF,0,36.3,107,3.12,66,28,4,5,0,Matches,0.35,9,3,0,0,0
Dejan Kulusevski,Tottenham,0,"FW,MF",0,33.2,127,4.14,104,1,9,11,2,Matches,0.26,6,0,1,0,1
Son Heung-min,Tottenham,3,FW,1,33.2,129,3.96,108,0,11,6,1,Matches,0.52,13,0,3,0,0
Cristian Romero,Tottenham,0,DF,0,32.0,35,1.13,28,2,0,3,2,Matches,0.06,1,0,0,1,0
Destiny Udogie,Tottenham,0,DF,0,28.6,57,2.15,51,0,4,2,0,Matches,0.26,6,0,0,1,0
Micky van de Ven,Tottenham,1,DF,0,28.3,11,0.42,9,0,1,0,0,Matches,0.04,0,0,1,0,0
Brennan Johnson,Tottenham,3,FW,0,24.9,70,3.02,55,0,4,6,2,Matches,0.56,11,0,0,1,1
James Maddison,Tottenham,10,MF,1,24.4,161,6.79,110,22,10,6,3,Matches,0.80,13,1,2,1,1
Pape Matar Sarr,Tottenham,2,MF,0,23.5,52,2.26,43,0,0,3,4,Matches,0.30,6,0,0,1,0
Yves Bissouma,Tottenham,0,MF,0,23.0,44,1.91,35,2,3,0,4,Matches,0.13,3,0,0,0,0
Richarlison,Tottenham,2,FW,0,19.3,34,2.05,23,0,3,5,1,Matches,0.30,5,0,0,0,0
Pierre Højbjerg,Tottenham,0,MF,0,17.0,39,2.68,36,0,2,1,0,Matches,0.14,2,0,0,0,0
Emerson,Tottenham,2,DF,0,15.2,21,1.63,15,2,0,1,1,Matches,0.23,1,2,0,0,0
Ben Davies,Tottenham,1,DF,1,14.4,15,1.24,14,0,0,0,0,Matches,0.17,1,0,0,0,0
Rodrigo Bentancur,Tottenham,0,MF,0,12.9,31,2.78,26,0,1,2,2,Matches,0.36,3,0,0,0,1
Timo Werner,Tottenham,1,FW,0,10.0,34,3.78,25,0,4,4,0,Matches,0.78,7,0,0,0,0
Oliver Skipp,Tottenham,0,"MF,DF",0,9.7,14,1.78,13,0,0,1,0,Matches,0.25,2,0,0,0,0
Giovani Lo Celso,Tottenham,1,MF,0,6.8,28,4.96,22,2,1,2,0,Matches,0.53,3,0,0,0,0
Radu Drăgușin,Tottenham,0,DF,0,4.8,1,0.21,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Manor Solomon,Tottenham,1,FW,0,3.1,19,8.59,16,0,1,1,0,Matches,0.90,2,0,0,0,0
Bryan Gil,Tottenham,0,"FW,MF",0,2.7,9,3.88,8,0,0,1,0,Matches,0.43,1,0,0,0,0
Eric Dier,Tottenham,0,DF,0,2.2,2,0.90,2,0,0,0,0,Matches,0.00,0,0,0,0,0
Davinson Sánchez,Tottenham,0,DF,0,2.2,1,1.17,0,0,0,1,0,Matches,0.00,0,0,0,0,0
Ivan Perišić,Tottenham,0,FW,0,1.9,8,6.99,6,1,1,0,0,Matches,1.75,1,1,0,0,0
Fraser Forster,Tottenham,,GK,,1.3,,,,,,,,Matches,,,,,,
Dane Scarlett,Tottenham,0,FW,0,1.2,1,4.09,0,0,0,0,1,Matches,0.00,0,0,0,0,0
Alejo Véliz,Tottenham,0,FW,0,0.6,1,1.84,0,0,1,0,0,Matches,0.00,0,0,0,0,0
Jamie Donley,Tottenham,0,FW,0,0.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Ryan Sessegnon,Tottenham,,"DF,FW",,0.1,,,,,,,,Matches,,,,,,
Mikey Moore,Tottenham,0,MF,0,0.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Bryan Cristante,Roma,5,"MF,DF",1,50.4,100,2.08,86,0,0,9,0,Matches,0.37,11,0,0,6,0
Gianluca Mancini,Roma,2,DF,0,44.9,42,0.96,34,0,1,4,1,Matches,0.02,1,0,0,0,0
Romelu Lukaku,Roma,3,FW,0,43.3,96,2.34,77,0,6,8,2,Matches,0.32,10,0,3,0,0
Leandro Paredes,Roma,3,MF,1,42.7,108,2.68,70,29,1,3,2,Matches,0.35,8,4,0,1,0
Obite N'Dicka,Roma,1,DF,0,32.5,32,1.00,29,1,0,1,0,Matches,0.12,3,0,0,1,0
Diego Llorente,Roma,1,DF,0,31.9,26,0.83,23,0,0,2,0,Matches,0.10,3,0,0,0,0
Stephan El Shaarawy,Roma,4,"FW,DF",0,31.0,88,2.95,64,2,4,10,4,Matches,0.50,11,0,1,2,1
Mile Svilar,Roma,0,GK,0,30.3,6,0.21,5,1,0,0,0,Matches,0.03,1,0,0,0,0
Lorenzo Pellegrini,Roma,5,MF,2,30.2,92,3.20,56,19,4,7,1,Matches,0.45,6,2,1,2,0
Paulo Dybala,Roma,8,"FW,MF",1,29.5,121,4.25,74,29,4,5,1,Matches,0.77,13,5,3,0,0
Edoardo Bove,Roma,6,MF,0,29.2,51,1.84,44,0,1,0,0,Matches,0.07,2,0,0,0,0
Rui Patrício,Roma,0,GK,0,24.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Leonardo Spinazzola,Roma,0,DF,0,22.9,64,2.86,56,1,6,1,0,Matches,0.27,5,0,1,0,0
Rasmus Kristensen,Roma,1,DF,1,20.9,28,1.44,21,3,3,0,0,Matches,0.15,2,0,0,0,0
Rick Karsdorp,Roma,1,DF,1,20.0,32,1.71,29,2,0,0,0,Matches,0.16,2,0,0,0,0
Nicola Zalewski,Roma,4,"DF,FW",0,17.2,46,2.92,31,2,5,4,0,Matches,0.32,3,0,0,2,0
Zeki Çelik,Roma,1,DF,0,17.0,34,2.10,26,2,2,0,3,Matches,0.12,2,0,0,0,0
Angeliño,Roma,0,DF,0,14.2,36,2.57,32,3,0,1,0,Matches,0.29,4,0,0,0,0
Houssem Aouar,Roma,3,"MF,FW",0,12.8,30,2.40,17,5,2,3,0,Matches,0.08,1,0,0,0,0
Andrea Belotti,Roma,6,FW,0,11.2,34,3.22,20,0,4,3,1,Matches,0.66,4,0,2,1,0
Sardar Azmoun,Roma,3,"FW,MF",3,9.1,21,2.49,12,0,1,5,0,Matches,0.71,1,0,0,2,0
Chris Smalling,Roma,0,DF,0,7.4,3,0.40,2,0,0,1,0,Matches,0.13,1,0,0,0,0
Tommaso Baldanzi,Roma,4,"FW,MF",0,7.3,25,3.55,14,0,4,3,0,Matches,0.14,0,0,0,1,0
Dean Huijsen,Roma,1,DF,1,6.5,8,1.41,4,0,1,2,0,Matches,0.71,1,0,1,1,0
Tammy Abraham,Roma,1,FW,1,3.6,4,1.11,1,0,0,1,1,Matches,0.28,0,0,0,0,0
Renato Sanches,Roma,0,MF,0,3.0,9,3.05,8,0,0,0,1,Matches,0.34,1,0,0,0,0
Riccardo Pagano,Roma,0,"MF,DF",0,1.4,10,7.32,4,1,1,4,0,Matches,0.73,0,0,0,1,0
Niccolò Pisilli,Roma,0,MF,0,0.3,1,3.33,1,0,0,0,0,Matches,3.33,1,0,0,0,0
Ola Solbakken,Roma,0,FW,0,0.3,1,3.91,1,0,0,0,0,Matches,0.00,0,0,0,0,0
João Costa,Roma,0,"MF,FW",0,0.2,2,8.18,2,0,0,0,0,Matches,0.00,0,0,0,0,0
Francesco D'Alessio,Roma,0,MF,0,0.2,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Mattia Mannini,Roma,0,DF,0,0.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Luigi Cherubini,Roma,0,FW,0,0.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Conor Gallagher,Chelsea,1,MF,0,45.1,109,3.14,78,15,5,4,6,Matches,0.40,7,5,0,1,1
Moisés Caicedo,Chelsea,6,MF,0,43.6,66,2.07,52,0,3,1,4,Matches,0.38,11,0,0,0,1
Axel Disasi,Chelsea,0,DF,0,41.0,13,0.45,13,0,0,0,0,Matches,0.00,0,0,0,0,0
Cole Palmer,Chelsea,5,"FW,MF",1,40.3,162,5.59,116,12,14,10,5,Matches,0.90,20,0,1,2,2
Nicolas Jackson,Chelsea,6,FW,0,39.1,95,3.05,60,1,18,8,2,Matches,0.35,7,0,2,2,0
Enzo Fernández,Chelsea,5,MF,1,34.3,82,3.34,69,5,0,3,0,Matches,0.29,5,1,0,0,0
Thiago Silva,Chelsea,0,DF,0,33.9,27,0.96,25,1,0,1,0,Matches,0.14,3,0,0,1,0
Đorđe Petrović,Chelsea,0,GK,0,30.7,1,0.05,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Raheem Sterling,Chelsea,7,"FW,MF",3,30.6,85,3.87,55,0,15,4,4,Matches,0.64,7,0,4,0,0
Malo Gusto,Chelsea,0,DF,0,27.8,52,2.67,47,2,1,0,2,Matches,0.36,7,0,0,0,0
Levi Colwill,Chelsea,0,DF,0,27.0,27,1.35,21,1,1,4,0,Matches,0.15,3,0,0,0,0
Marc Cucurella,Chelsea,4,DF,1,24.8,35,1.77,28,1,1,1,0,Matches,0.15,2,0,0,0,0
Mykhailo Mudryk,Chelsea,3,FW,2,22.7,60,3.43,39,10,7,1,0,Matches,0.51,3,1,2,1,0
Robert Sánchez,Chelsea,0,GK,0,20.9,2,0.13,1,1,0,0,0,Matches,0.00,0,0,0,0,0
Benoît Badiashile,Chelsea,1,DF,0,18.8,23,1.55,18,0,0,2,2,Matches,0.20,3,0,0,0,0
Noni Madueke,Chelsea,6,FW,3,17.7,51,4.35,34,1,8,2,0,Matches,0.68,4,0,1,0,0
Trevoh Chalobah,Chelsea,0,DF,0,13.7,5,0.47,5,0,0,0,0,Matches,0.09,1,0,0,0,0
Ben Chilwell,Chelsea,2,DF,0,13.0,22,2.62,11,8,0,1,0,Matches,0.24,1,0,0,1,0
Armando Broja,Chelsea,2,FW,1,8.1,8,1.59,5,0,1,0,0,Matches,0.20,0,0,0,0,0
Lesley Ugochukwu,Chelsea,0,MF,0,6.3,5,1.50,5,0,0,0,0,Matches,0.00,0,0,0,0,0
Christopher Nkunku,Chelsea,1,"FW,MF",0,6.1,13,2.65,10,0,1,1,0,Matches,0.20,1,0,0,0,0
Reece James,Chelsea,0,DF,0,5.3,15,3.22,13,1,0,1,0,Matches,0.64,2,0,0,1,0
Alfie Gilchrist,Chelsea,0,DF,0,4.8,3,1.31,2,1,0,0,0,Matches,0.00,0,0,0,0,0
Ian Maatsen,Chelsea,0,"FW,MF",0,4.6,5,2.15,3,1,0,1,0,Matches,0.00,0,0,0,0,0
Carney Chukwuemeka,Chelsea,0,"MF,FW",0,2.9,9,3.57,7,0,1,1,0,Matches,1.59,2,0,1,1,0
Bashir Humphreys,Chelsea,,DF,,1.0,,,,,,,,Matches,,,,,,
Cesare Casadei,Chelsea,1,"FW,MF",0,0.9,4,4.62,2,0,0,0,1,Matches,0.00,0,0,0,0,0
Mason Burstow,Chelsea,0,FW,0,0.8,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Diego Moreira,Chelsea,,MF,,0.5,,,,,,,,Matches,,,,,,
Roméo Lavia,Chelsea,0,MF,0,0.4,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Deivid Washington,Chelsea,0,"DF,FW",0,0.3,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Leo Castledine,Chelsea,,MF,,0.1,,,,,,,,Matches,,,,,,
Joshua Acheampong,Chelsea,0,DF,0,0.1,1,15.00,0,1,0,0,0,Matches,0.00,0,0,0,0,0
Alex Matos,Chelsea,0,MF,0,0.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Michael Golding,Chelsea,,MF,,0.0,,,,,,,,Matches,,,,,,
Jimi Tauriainen,Chelsea,0,FW,0,0.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Marcin Bułka,Nice,0,GK,0,38.3,3,0.09,2,1,0,0,0,Matches,0.00,0,0,0,0,0
Dante,Nice,0,DF,0,34.4,51,1.61,49,0,0,2,0,Matches,0.19,6,0,0,0,0
Jean-Clair Todibo,Nice,0,DF,0,32.3,42,1.43,38,0,0,2,2,Matches,0.20,5,0,0,1,0
Melvin Bard,Nice,1,DF,0,31.4,51,1.73,39,4,1,2,4,Matches,0.10,3,0,0,0,0
Pablo Rosario,Nice,2,"MF,DF",2,26.7,39,1.75,34,1,0,1,1,Matches,0.22,2,0,0,1,0
Gaëtan Laborde,Nice,0,"FW,MF",0,24.7,52,2.46,39,2,5,4,2,Matches,0.14,2,0,0,1,0
Khéphren Thuram,Nice,3,MF,0,24.7,79,3.37,59,0,6,7,4,Matches,0.21,5,0,0,0,0
Morgan Sanson,Nice,1,MF,0,24.5,74,3.39,44,21,2,5,1,Matches,0.23,3,1,0,0,1
Jordan Lotomba,Nice,2,DF,0,23.3,27,1.35,19,3,1,2,0,Matches,0.05,1,0,0,0,0
Terem Moffi,Nice,3,FW,0,23.3,44,2.03,32,0,6,2,1,Matches,0.23,4,0,1,0,0
Jeremie Boga,Nice,1,FW,0,23.2,80,3.60,43,16,14,6,0,Matches,0.50,6,2,3,0,0
Youssouf Ndayishimiye,Nice,0,"MF,DF",0,21.5,29,1.52,27,1,0,1,0,Matches,0.05,1,0,0,0,0
Evann Guessand,Nice,6,FW,3,19.9,47,2.72,27,0,7,5,2,Matches,0.29,1,0,1,0,0
Hicham Boudaoui,Nice,3,MF,0,17.9,47,2.62,35,2,2,5,0,Matches,0.17,3,0,0,0,0
Mohamed Ali Cho,Nice,5,FW,1,11.1,34,3.56,20,4,5,0,0,Matches,0.42,3,0,0,0,0
Tom Louchet,Nice,2,"MF,DF",1,7.9,14,3.10,6,5,0,1,0,Matches,0.44,1,0,0,0,0
Alexis Claude-Maurice,Nice,1,MF,0,7.4,14,2.50,9,3,0,1,0,Matches,0.00,0,0,0,0,0
Antoine Mendy,Nice,1,DF,0,6.2,7,1.51,5,1,0,0,0,Matches,0.22,0,1,0,0,0
Sofiane Diop,Nice,1,FW,0,5.5,17,3.07,14,0,1,1,0,Matches,0.00,0,0,0,0,0
Romain Perraud,Nice,0,"DF,FW",0,5.1,5,1.22,4,1,0,0,0,Matches,0.49,1,1,0,0,0
Youcef Atal,Nice,1,DF,0,4.0,12,3.01,9,0,1,1,0,Matches,0.25,1,0,0,0,0
Badredine Bouanani,Nice,0,FW,0,2.0,10,5.59,10,0,0,0,0,Matches,0.00,0,0,0,0,0
Ayoub Amraoui,Nice,,DF,,1.3,,,,,,,,Matches,,,,,,
Aliou Baldé,Nice,1,"FW,DF",0,1.2,5,6.25,2,0,2,0,0,Matches,0.00,0,0,0,0,0
Reda Belahyane,Nice,0,MF,0,1.1,2,6.67,2,0,0,0,0,Matches,0.00,0,0,0,0,0
Valentin Rosier,Nice,1,"DF,MF",0,0.6,4,6.92,1,1,0,1,0,Matches,0.00,0,0,0,0,0
Robson Bambu,Nice,,DF,,0.5,,,,,,,,Matches,,,,,,
Daouda Traoré,Nice,0,MF,0,0.3,1,5.63,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Bilal Brahimi,Nice,0,FW,0,0.1,1,8.18,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Amidou Doumbouya,Nice,,MF,,0.0,,,,,,,,Matches,,,,,,
Adam Marušić,Lazio,1,DF,0,44.2,41,1.02,35,2,2,1,0,Matches,0.05,2,0,0,0,0
Felipe Anderson,Lazio,2,FW,0,41.2,109,2.96,92,2,5,5,3,Matches,0.35,11,0,1,0,1
Ivan Provedel,Lazio,0,GK,0,40.0,4,0.11,3,1,0,0,0,Matches,0.00,0,0,0,0,0
Alessio Romagnoli,Lazio,0,DF,0,36.8,16,0.49,14,0,0,2,0,Matches,0.06,1,0,0,1,0
Mattéo Guendouzi,Lazio,4,MF,0,36.3,65,2.04,55,0,0,3,3,Matches,0.19,6,0,0,0,0
Luis Alberto,Lazio,0,MF,0,35.0,157,4.79,107,41,1,7,1,Matches,0.34,10,1,0,0,0
Mattia Zaccagni,Lazio,7,FW,2,27.7,90,3.35,51,13,10,9,0,Matches,0.30,2,1,0,3,0
Mario Gila,Lazio,0,DF,0,27.4,15,0.63,14,0,0,1,0,Matches,0.00,0,0,0,0,0
Ciro Immobile,Lazio,4,FW,2,26.1,51,2.13,36,0,5,6,0,Matches,0.25,2,0,2,0,0
Manuel Lazzari,Lazio,3,DF,0,24.9,40,1.72,32,0,1,2,2,Matches,0.21,5,0,0,0,0
Patric,Lazio,0,DF,0,24.7,15,0.68,12,0,1,1,1,Matches,0.00,0,0,0,0,0
Valentín Castellanos,Lazio,6,FW,1,23.8,53,2.51,41,0,2,4,0,Matches,0.57,8,0,1,2,0
Matías Vecino,Lazio,0,MF,0,21.4,30,1.67,27,0,0,2,1,Matches,0.11,1,0,0,1,0
Daichi Kamada,Lazio,3,MF,0,21.1,50,2.49,37,0,5,3,2,Matches,0.10,1,0,0,1,0
Nicolò Casale,Lazio,0,DF,0,20.8,12,0.62,9,0,0,3,0,Matches,0.05,0,0,0,1,0
Elseid Hysaj,Lazio,1,DF,0,19.3,23,1.34,20,2,0,0,0,Matches,0.06,1,0,0,0,0
Danilo Cataldi,Lazio,0,MF,0,19.1,27,1.60,18,6,2,1,0,Matches,0.12,2,0,0,0,0
Nicolò Rovella,Lazio,1,MF,0,18.0,24,1.49,18,2,1,0,2,Matches,0.25,4,0,0,0,0
Gustav Isaksen,Lazio,4,FW,2,16.2,54,3.69,40,1,4,5,0,Matches,0.61,4,0,0,3,0
Pedro,Lazio,2,FW,0,13.2,33,2.94,26,1,4,0,0,Matches,0.09,1,0,0,0,0
Luca Pellegrini,Lazio,3,DF,1,12.1,17,1.62,8,2,3,1,0,Matches,0.10,0,0,0,0,0
Christos Mandas,Lazio,0,GK,0,11.0,1,0.12,0,1,0,0,0,Matches,0.00,0,0,0,0,0
Toma Bašić,Lazio,,MF,,0.1,,,,,,,,Matches,,,,,,
Bruno Guimarães,Newcastle Utd,8,MF,1,48.7,161,3.81,126,8,10,3,6,Matches,0.47,13,0,4,2,0
Fabian Schär,Newcastle Utd,5,DF,3,44.3,50,1.25,36,2,2,4,1,Matches,0.33,9,0,0,0,1
Anthony Gordon,Newcastle Utd,16,FW,5,42.7,154,4.17,93,18,13,12,2,Matches,0.81,14,2,5,4,0
Sean Longstaff,Newcastle Utd,3,MF,1,40.8,56,1.63,47,2,1,3,0,Matches,0.20,3,1,1,1,0
Dan Burn,Newcastle Utd,0,DF,0,38.4,28,0.84,22,3,1,2,0,Matches,0.12,3,0,0,1,0
Kieran Trippier,Newcastle Utd,2,DF,0,34.5,116,3.80,76,34,1,0,3,Matches,0.39,8,3,0,0,1
Alexander Isak,Newcastle Utd,4,FW,1,32.9,77,2.70,48,0,13,12,0,Matches,0.39,4,0,3,3,0
Miguel Almirón,Newcastle Utd,3,FW,0,30.7,69,2.64,53,1,3,8,1,Matches,0.23,3,1,0,2,0
Martin Dúbravka,Newcastle Utd,0,GK,0,29.7,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Jamaal Lascelles,Newcastle Utd,1,DF,0,21.7,13,0.76,12,0,0,0,0,Matches,0.00,0,0,0,0,0
Valentino Livramento,Newcastle Utd,3,"DF,FW",1,21.5,40,2.28,31,0,3,1,2,Matches,0.28,3,0,1,0,0
Nick Pope,Newcastle Utd,0,GK,0,20.9,1,0.05,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Joelinton,Newcastle Utd,0,"MF,FW",0,20.4,58,3.23,46,0,7,5,0,Matches,0.17,2,0,0,1,0
Sven Botman,Newcastle Utd,0,DF,0,19.7,14,0.86,12,0,0,2,0,Matches,0.18,3,0,0,0,0
Lewis Miley,Newcastle Utd,0,MF,0,19.5,33,2.16,26,0,2,3,2,Matches,0.39,5,0,0,0,1
Jacob Murphy,Newcastle Utd,1,FW,0,17.7,56,3.95,45,4,2,3,1,Matches,0.78,10,0,1,0,0
Callum Wilson,Newcastle Utd,1,FW,0,15.3,24,1.76,14,0,4,5,0,Matches,0.29,2,0,1,1,0
Elliot Anderson,Newcastle Utd,0,MF,0,12.3,35,2.94,29,0,4,2,0,Matches,0.25,3,0,0,0,0
Emil Krafth,Newcastle Utd,1,DF,0,11.8,18,1.77,13,3,1,0,0,Matches,0.10,1,0,0,0,0
Lewis Hall,Newcastle Utd,1,DF,0,10.8,20,2.18,14,1,3,1,0,Matches,0.33,3,0,0,0,0
Harvey Barnes,Newcastle Utd,3,FW,0,9.6,29,3.25,18,0,5,3,0,Matches,0.67,4,0,2,0,0
Joe Willock,Newcastle Utd,0,MF,0,7.8,14,2.43,12,0,0,2,0,Matches,0.17,1,0,0,0,0
Sandro Tonali,Newcastle Utd,1,MF,1,7.6,15,2.25,12,1,0,1,0,Matches,0.60,3,0,0,0,0
Matt Ritchie,Newcastle Utd,0,"FW,MF",0,3.0,3,2.11,3,0,0,0,0,Matches,0.70,1,0,0,0,0
Paul Dummett,Newcastle Utd,0,DF,0,2.2,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Matt Targett,Newcastle Utd,0,DF,0,2.2,6,5.40,5,1,0,0,0,Matches,0.00,0,0,0,0,0
Loris Karius,Newcastle Utd,0,GK,0,1.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Ben Parkinson,Newcastle Utd,0,FW,0,0.3,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Joe White,Newcastle Utd,0,MF,0,0.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Alex Murphy,Newcastle Utd,0,"DF,FW",0,0.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Michael Ndiweni,Newcastle Utd,0,MF,0,0.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Amadou Diallo,Newcastle Utd,0,MF,0,0.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Pietro Terracciano,Fiorentina,0,GK,0,45.7,7,0.17,5,2,0,0,0,Matches,0.02,1,0,0,0,0
Nikola Milenković,Fiorentina,2,DF,0,42.3,36,0.99,29,1,0,4,0,Matches,0.08,1,0,0,2,0
Cristiano Biraghi,Fiorentina,1,DF,0,39.7,135,3.75,73,57,3,0,1,Matches,0.36,4,7,2,0,0
