Player Name,Club Name,Pass Types,Corner Kicks,Outcomes,,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out
Dejan Kulusevski,Tottenham,se SWE,"FW,MF",23,33.2,1234,1185,42,8,12,6,93,6,24,6,0,0,953,7,55,Matches
Son Heung-min,Tottenham,kr KOR,FW,31,33.2,1075,996,75,3,17,2,37,10,3,0,0,0,887,4,36,Matches
Cristian Romero,Tottenham,ar ARG,DF,25,32.0,2606,2456,147,123,6,4,3,14,0,0,0,0,2390,3,24,Matches
Destiny Udogie,Tottenham,it ITA,DF,20,28.6,1440,1212,225,24,0,0,25,201,0,0,0,0,1235,3,42,Matches
Micky van de Ven,Tottenham,nl NED,DF,22,28.3,1810,1707,100,48,0,1,3,21,0,0,0,0,1698,3,5,Matches
Brennan Johnson,Tottenham,wls WAL,FW,22,24.9,728,710,14,0,0,1,74,13,0,0,0,0,519,4,37,Matches
James Maddison,Tottenham,eng ENG,MF,26,24.4,1500,1322,167,59,14,6,136,10,96,45,34,0,1210,11,30,Matches
Pape Matar Sarr,Tottenham,sn SEN,MF,20,23.5,1349,1329,18,5,6,3,25,9,1,0,0,0,1179,2,27,Matches
Yves Bissouma,Tottenham,ml MLI,MF,26,23.0,1842,1787,51,48,3,4,1,3,0,0,0,0,1689,4,19,Matches
Richarlison,Tottenham,br BRA,FW,26,19.3,392,360,29,3,2,3,15,1,0,0,0,0,267,3,25,Matches
Pierre Højbjerg,Tottenham,dk DEN,MF,27,17.0,1415,1364,41,31,2,12,14,8,2,0,0,0,1234,10,14,Matches
Emerson,Tottenham,br BRA,DF,24,15.2,1038,915,122,45,1,2,14,75,0,0,0,0,937,1,23,Matches
Ben Davies,Tottenham,wls WAL,DF,30,14.4,850,788,61,34,3,3,11,27,0,0,0,0,766,1,10,Matches
Rodrigo Bentancur,Tottenham,uy URU,MF,26,12.9,800,786,10,9,4,0,9,0,0,0,0,0,674,4,26,Matches
Timo Werner,Tottenham,de GER,FW,27,10.0,366,349,16,2,2,0,29,14,0,0,0,0,281,1,16,Matches
Oliver Skipp,Tottenham,eng ENG,"MF,DF",22,9.7,383,366,16,8,1,0,3,8,0,0,0,0,351,1,2,Matches
Giovani Lo Celso,Tottenham,ar ARG,MF,27,6.8,503,466,32,23,2,0,13,2,7,5,0,0,449,5,8,Matches
Radu Drăgușin,Tottenham,ro ROU,DF,21,4.8,370,352,18,8,1,0,0,1,0,0,0,0,326,0,3,Matches
Manor Solomon,Tottenham,il ISR,FW,24,3.1,90,90,0,0,1,0,5,0,0,0,0,0,78,0,1,Matches
Bryan Gil,Tottenham,es ESP,"FW,MF",22,2.7,157,155,2,0,0,0,11,2,0,0,0,0,127,0,7,Matches
Eric Dier,Tottenham,eng ENG,DF,29,2.2,141,132,9,6,0,0,0,0,0,0,0,0,125,0,0,Matches
Davinson Sánchez,Tottenham,co COL,DF,27,2.2,75,73,2,1,0,0,0,1,0,0,0,0,68,0,0,Matches
Ivan Perišić,Tottenham,hr CRO,FW,34,1.9,76,72,4,1,0,1,18,2,1,1,0,0,53,0,1,Matches
Fraser Forster,Tottenham,eng ENG,GK,35,1.3,,,,,,,0,,,,,,,,,Matches
Dane Scarlett,Tottenham,eng ENG,FW,19,1.2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Alejo Véliz,Tottenham,ar ARG,FW,19,0.6,10,8,2,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Jamie Donley,Tottenham,eng ENG,FW,18,0.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Ryan Sessegnon,Tottenham,eng ENG,"DF,FW",23,0.1,,,,,,,0,,,,,,,,,Matches
Mikey Moore,Tottenham,eng ENG,MF,15,0.0,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Bryan Cristante,Roma,it ITA,"MF,DF",28,50.4,2844,2793,40,37,8,24,38,3,0,0,0,0,2342,11,54,Matches
Gianluca Mancini,Roma,it ITA,DF,27,44.9,2667,2522,137,92,3,11,33,11,0,0,0,0,2316,8,12,Matches
Romelu Lukaku,Roma,be BEL,FW,30,43.3,864,803,52,0,2,3,18,0,0,0,0,0,607,9,34,Matches
Leandro Paredes,Roma,ar ARG,MF,29,42.7,2923,2680,240,149,8,28,106,13,77,41,33,0,2588,3,25,Matches
Obite N'Dicka,Roma,ci CIV,DF,23,32.5,2157,2064,89,51,1,7,12,11,0,0,0,0,1945,4,13,Matches
Diego Llorente,Roma,es ESP,DF,29,31.9,2109,2032,76,40,2,5,7,15,0,0,0,0,1905,1,13,Matches
Stephan El Shaarawy,Roma,it ITA,"FW,DF",30,31.0,1112,1021,85,3,6,10,33,80,1,1,0,0,893,6,26,Matches
Mile Svilar,Roma,rs SRB,GK,23,30.3,1089,854,233,51,0,0,0,0,0,0,0,0,894,2,0,Matches
Lorenzo Pellegrini,Roma,it ITA,MF,27,30.2,1184,1087,94,40,11,5,97,4,49,21,23,0,917,3,23,Matches
Paulo Dybala,Roma,ar ARG,"FW,MF",29,29.5,1291,1136,146,32,11,17,113,10,69,27,36,0,1030,9,24,Matches
Edoardo Bove,Roma,it ITA,MF,21,29.2,1113,1081,24,20,5,6,12,4,0,0,0,0,929,8,26,Matches
Rui Patrício,Roma,pt POR,GK,35,24.0,630,442,187,50,0,0,0,0,0,0,0,0,493,1,0,Matches
Leonardo Spinazzola,Roma,it ITA,DF,30,22.9,1246,1064,175,18,3,7,115,157,0,0,0,0,976,7,29,Matches
Rasmus Kristensen,Roma,dk DEN,DF,26,20.9,1037,879,152,8,1,1,46,144,0,0,0,0,799,6,25,Matches
Rick Karsdorp,Roma,nl NED,DF,28,20.0,972,803,162,5,1,4,37,157,0,0,0,0,797,7,15,Matches
Nicola Zalewski,Roma,pl POL,"DF,FW",21,17.2,685,583,100,13,0,9,61,84,3,2,1,0,510,2,35,Matches
Zeki Çelik,Roma,tr TUR,DF,26,17.0,757,643,114,9,1,4,31,105,0,0,0,0,631,0,14,Matches
Angeliño,Roma,es ESP,DF,26,14.2,781,665,112,14,0,4,62,95,3,1,1,0,592,4,12,Matches
Houssem Aouar,Roma,dz ALG,"MF,FW",25,12.8,520,500,19,6,2,0,11,4,9,6,2,0,438,1,14,Matches
Andrea Belotti,Roma,it ITA,FW,29,11.2,225,208,15,0,2,0,7,3,0,0,0,0,170,2,12,Matches
Sardar Azmoun,Roma,ir IRN,"FW,MF",28,9.1,187,181,6,1,1,1,4,1,0,0,0,0,125,0,11,Matches
Chris Smalling,Roma,eng ENG,DF,33,7.4,368,355,13,7,0,3,0,0,0,0,0,0,321,0,4,Matches
Tommaso Baldanzi,Roma,it ITA,"FW,MF",20,7.3,245,240,5,1,1,0,9,4,0,0,0,0,205,0,3,Matches
Dean Huijsen,Roma,es ESP,DF,18,6.5,459,441,18,6,0,2,1,7,0,0,0,0,400,0,10,Matches
Tammy Abraham,Roma,eng ENG,FW,25,3.6,61,55,5,0,0,1,2,0,0,0,0,0,27,1,2,Matches
Renato Sanches,Roma,pt POR,MF,25,3.0,173,171,2,2,1,0,5,0,0,0,0,0,144,0,3,Matches
Riccardo Pagano,Roma,it ITA,"MF,DF",18,1.4,53,52,1,0,0,0,1,0,1,1,0,0,48,0,1,Matches
Niccolò Pisilli,Roma,it ITA,MF,18,0.3,19,19,0,0,0,0,0,0,0,0,0,0,17,0,0,Matches
Ola Solbakken,Roma,no NOR,FW,24,0.3,8,8,0,0,0,0,1,0,0,0,0,0,6,0,0,Matches
João Costa,Roma,br BRA,"MF,FW",18,0.2,13,11,2,0,0,0,1,1,0,0,0,0,11,0,1,Matches
Francesco D'Alessio,Roma,it ITA,MF,19,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Mattia Mannini,Roma,it ITA,DF,17,0.1,6,3,3,0,0,0,1,3,0,0,0,0,4,0,1,Matches
Luigi Cherubini,Roma,it ITA,FW,19,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Conor Gallagher,Chelsea,eng ENG,MF,23,45.1,2018,1889,122,50,5,7,88,17,45,15,12,2,1801,7,29,Matches
Moisés Caicedo,Chelsea,ec ECU,MF,21,43.6,2119,2065,45,39,12,12,12,3,0,0,0,0,1907,9,29,Matches
Axel Disasi,Chelsea,fr FRA,DF,25,41.0,2256,2153,98,49,3,11,14,43,0,0,0,0,2031,5,19,Matches
Cole Palmer,Chelsea,eng ENG,"FW,MF",21,40.3,1415,1294,111,23,27,14,114,22,55,24,12,0,1121,10,37,Matches
Nicolas Jackson,Chelsea,sn SEN,FW,22,39.1,666,613,52,1,11,0,6,2,0,0,0,0,515,1,25,Matches
Enzo Fernández,Chelsea,ar ARG,MF,22,34.3,1862,1756,89,52,21,28,55,5,22,4,7,0,1574,17,30,Matches
Thiago Silva,Chelsea,br BRA,DF,38,33.9,2287,2198,88,60,0,9,4,3,0,0,0,0,2166,1,6,Matches
Đorđe Petrović,Chelsea,rs SRB,GK,23,30.7,806,629,175,26,0,0,0,0,0,0,0,0,635,2,0,Matches
Raheem Sterling,Chelsea,eng ENG,"FW,MF",28,30.6,728,716,7,0,11,1,82,6,0,0,0,0,538,5,34,Matches
Malo Gusto,Chelsea,fr FRA,DF,20,27.8,1423,1244,176,38,2,0,101,138,0,0,0,0,1230,3,29,Matches
Levi Colwill,Chelsea,eng ENG,DF,20,27.0,1163,1033,126,28,4,0,14,94,0,0,0,0,965,4,17,Matches
Marc Cucurella,Chelsea,es ESP,DF,25,24.8,1196,1043,153,30,1,2,24,123,0,0,0,0,1036,0,26,Matches
Mykhailo Mudryk,Chelsea,ua UKR,FW,22,22.7,566,498,62,4,5,9,102,5,52,24,11,2,385,6,14,Matches
Robert Sánchez,Chelsea,es ESP,GK,25,20.9,609,487,120,29,0,2,0,0,0,0,0,0,500,2,0,Matches
Benoît Badiashile,Chelsea,fr FRA,DF,22,18.8,1173,1137,36,27,1,2,2,6,0,0,0,0,1065,0,6,Matches
Noni Madueke,Chelsea,eng ENG,FW,21,17.7,486,472,10,2,2,0,34,6,2,1,0,0,412,4,6,Matches
Trevoh Chalobah,Chelsea,eng ENG,DF,24,13.7,783,746,36,13,1,0,1,22,0,0,0,0,700,1,1,Matches
Ben Chilwell,Chelsea,eng ENG,DF,26,13.0,495,416,73,11,0,0,59,41,21,9,11,0,373,6,19,Matches
Armando Broja,Chelsea,al ALB,FW,21,8.1,94,87,7,1,0,0,3,0,0,0,0,0,83,0,0,Matches
Lesley Ugochukwu,Chelsea,fr FRA,MF,19,6.3,183,183,0,0,0,1,1,0,0,0,0,0,155,0,2,Matches
Christopher Nkunku,Chelsea,fr FRA,"FW,MF",25,6.1,183,166,16,0,3,1,6,1,3,1,0,0,159,1,5,Matches
Reece James,Chelsea,eng ENG,DF,23,5.3,341,284,57,10,4,2,29,46,1,0,1,0,275,0,5,Matches
Alfie Gilchrist,Chelsea,eng ENG,DF,19,4.8,141,121,19,3,0,0,2,16,0,0,0,0,121,1,0,Matches
Ian Maatsen,Chelsea,nl NED,"FW,MF",21,4.6,138,126,12,0,1,0,10,11,1,0,1,0,97,0,1,Matches
Carney Chukwuemeka,Chelsea,eng ENG,"MF,FW",19,2.9,134,134,0,0,2,0,1,0,0,0,0,0,115,0,4,Matches
Bashir Humphreys,Chelsea,eng ENG,DF,20,1.0,,,,,,,0,,,,,,,,,Matches
Cesare Casadei,Chelsea,it ITA,"FW,MF",20,0.9,65,65,0,0,0,0,0,0,0,0,0,0,53,0,1,Matches
Mason Burstow,Chelsea,eng ENG,FW,19,0.8,4,3,1,0,0,0,0,0,0,0,0,0,3,0,1,Matches
Diego Moreira,Chelsea,pt POR,MF,18,0.5,,,,,,,6,,,,,,,,,Matches
Roméo Lavia,Chelsea,be BEL,MF,19,0.4,27,27,0,0,0,0,0,0,0,0,0,0,22,0,2,Matches
Deivid Washington,Chelsea,br BRA,"DF,FW",18,0.3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Leo Castledine,Chelsea,eng ENG,MF,17,0.1,,,,,,,0,,,,,,,,,Matches
Joshua Acheampong,Chelsea,eng ENG,DF,17,0.1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,Matches
Alex Matos,Chelsea,eng ENG,MF,18,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Michael Golding,Chelsea,eng ENG,MF,17,0.0,,,,,,,0,,,,,,,,,Matches
Jimi Tauriainen,Chelsea,eng ENG,FW,19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marcin Bułka,Nice,pl POL,GK,23,38.3,1235,1039,194,47,0,2,0,0,0,0,0,0,1060,2,5,Matches
Dante,Nice,br BRA,DF,39,34.4,2803,2665,133,69,4,11,10,8,0,0,0,0,2540,5,11,Matches
Jean-Clair Todibo,Nice,fr FRA,DF,23,32.3,2487,2417,69,52,3,7,12,12,0,0,0,0,2228,1,14,Matches
Melvin Bard,Nice,fr FRA,DF,22,31.4,1784,1509,266,32,0,2,77,233,1,1,0,0,1457,9,41,Matches
Pablo Rosario,Nice,nl NED,"MF,DF",26,26.7,1187,1103,81,32,5,0,7,49,0,0,0,0,1056,3,15,Matches
Gaëtan Laborde,Nice,fr FRA,"FW,MF",29,24.7,558,540,16,3,0,2,72,4,6,5,1,0,366,2,21,Matches
Khéphren Thuram,Nice,fr FRA,MF,22,24.7,1134,1113,17,15,8,0,23,2,0,0,0,0,978,4,14,Matches
Morgan Sanson,Nice,fr FRA,MF,28,24.5,836,735,94,27,4,4,127,3,64,20,35,0,630,7,24,Matches
Jordan Lotomba,Nice,ch SUI,DF,24,23.3,994,799,193,36,0,2,27,156,1,0,0,0,834,2,22,Matches
Terem Moffi,Nice,ng NGA,FW,24,23.3,387,349,32,1,1,0,7,2,0,0,0,0,274,6,18,Matches
Jeremie Boga,Nice,ci CIV,FW,26,23.2,753,676,73,7,3,1,88,5,61,30,24,1,583,4,18,Matches
Youssouf Ndayishimiye,Nice,bi BDI,"MF,DF",24,21.5,1361,1313,46,41,3,7,1,5,0,0,0,0,1223,2,9,Matches
Evann Guessand,Nice,ci CIV,FW,22,19.9,294,263,31,0,3,1,13,1,0,0,0,0,218,0,12,Matches
Hicham Boudaoui,Nice,dz ALG,MF,23,17.9,717,703,11,8,3,0,23,1,1,0,0,0,601,3,18,Matches
Mohamed Ali Cho,Nice,fr FRA,FW,19,11.1,268,245,22,6,1,0,51,0,16,8,7,0,193,1,8,Matches
Tom Louchet,Nice,fr FRA,"MF,DF",20,7.9,257,211,46,12,0,0,56,21,13,6,7,0,195,0,5,Matches
Alexis Claude-Maurice,Nice,fr FRA,MF,25,7.4,253,235,18,6,0,0,28,2,10,4,6,0,202,0,9,Matches
Antoine Mendy,Nice,fr FRA,DF,19,6.2,244,223,21,4,0,2,5,17,0,0,0,0,211,0,2,Matches
Sofiane Diop,Nice,fr FRA,FW,23,5.5,176,171,5,2,0,1,13,1,2,2,0,0,143,0,2,Matches
Romain Perraud,Nice,fr FRA,"DF,FW",25,5.1,243,191,52,6,0,0,24,39,7,0,4,0,176,0,8,Matches
Youcef Atal,Nice,dz ALG,DF,27,4.0,238,215,22,6,2,0,6,16,0,0,0,0,214,1,1,Matches
Badredine Bouanani,Nice,dz ALG,FW,18,2.0,70,70,0,0,0,1,8,0,0,0,0,0,54,0,3,Matches
Ayoub Amraoui,Nice,ma MAR,DF,19,1.3,,,,,,,6,,,,,,,,,Matches
Aliou Baldé,Nice,gn GUI,"FW,DF",20,1.2,30,29,1,0,1,0,5,0,1,0,0,0,15,0,2,Matches
Reda Belahyane,Nice,fr FRA,MF,19,1.1,15,15,0,0,0,0,1,0,0,0,0,0,13,0,1,Matches
Valentin Rosier,Nice,fr FRA,"DF,MF",26,0.6,33,27,6,1,0,0,0,5,0,0,0,0,28,0,0,Matches
Robson Bambu,Nice,br BRA,DF,25,0.5,,,,,,,0,,,,,,,,,Matches
Daouda Traoré,Nice,fr FRA,MF,17,0.3,9,8,1,0,0,0,0,1,0,0,0,0,9,0,0,Matches
Bilal Brahimi,Nice,dz ALG,FW,23,0.1,13,11,2,1,0,0,2,0,1,0,0,0,10,0,0,Matches
Amidou Doumbouya,Nice,fr FRA,MF,15,0.0,,,,,,,0,,,,,,,,,Matches
Adam Marušić,Lazio,me MNE,DF,30,44.2,2199,1846,352,23,0,4,56,329,0,0,0,0,1828,1,38,Matches
Felipe Anderson,Lazio,br BRA,FW,30,41.2,1578,1538,32,6,7,7,71,20,6,1,4,0,1201,8,76,Matches
Ivan Provedel,Lazio,it ITA,GK,29,40.0,1267,979,282,67,0,4,0,0,0,0,0,0,1042,6,0,Matches
Alessio Romagnoli,Lazio,it ITA,DF,28,36.8,2124,1966,152,67,1,4,1,3,0,0,0,0,1937,6,5,Matches
Mattéo Guendouzi,Lazio,fr FRA,MF,24,36.3,1349,1305,39,19,6,6,57,20,0,0,0,0,1122,5,35,Matches
Luis Alberto,Lazio,es ESP,MF,30,35.0,2176,1883,278,96,15,8,203,13,147,62,66,0,1699,15,33,Matches
Mattia Zaccagni,Lazio,it ITA,FW,28,27.7,1079,997,79,24,2,7,79,22,33,12,9,0,851,3,37,Matches
Mario Gila,Lazio,es ESP,DF,22,27.4,1514,1416,94,53,4,17,9,18,0,0,0,0,1362,4,7,Matches
Ciro Immobile,Lazio,it ITA,FW,33,26.1,579,535,40,2,2,1,9,2,1,0,0,0,429,4,24,Matches
Manuel Lazzari,Lazio,it ITA,DF,29,24.9,1245,1030,215,19,0,3,67,196,0,0,0,0,1046,0,37,Matches
Patric,Lazio,es ESP,DF,30,24.7,1507,1445,56,38,2,13,14,16,0,0,0,0,1316,6,6,Matches
Valentín Castellanos,Lazio,ar ARG,FW,24,23.8,500,463,35,0,0,1,18,0,0,0,0,0,301,2,15,Matches
Matías Vecino,Lazio,uy URU,MF,31,21.4,997,976,15,11,2,4,9,4,0,0,0,0,834,6,19,Matches
Daichi Kamada,Lazio,jp JPN,MF,26,21.1,1046,1031,12,6,4,5,13,4,0,0,0,0,915,3,25,Matches
Nicolò Casale,Lazio,it ITA,DF,25,20.8,1178,1139,39,29,0,4,0,2,0,0,0,0,1086,0,9,Matches
Elseid Hysaj,Lazio,al ALB,DF,29,19.3,1059,919,139,19,1,2,22,120,0,0,0,0,888,1,12,Matches
Danilo Cataldi,Lazio,it ITA,MF,28,19.1,1025,971,52,25,3,3,37,5,22,5,14,0,878,2,12,Matches
Nicolò Rovella,Lazio,it ITA,MF,21,18.0,1080,1027,50,32,3,7,23,2,16,2,11,0,943,3,20,Matches
Gustav Isaksen,Lazio,dk DEN,FW,22,16.2,421,402,17,4,5,1,42,10,3,2,0,0,288,2,19,Matches
Pedro,Lazio,es ESP,FW,36,13.2,521,508,11,5,4,2,27,0,6,2,2,0,438,2,9,Matches
Luca Pellegrini,Lazio,it ITA,DF,24,12.1,631,517,111,9,1,1,35,101,1,0,0,0,470,3,25,Matches
Christos Mandas,Lazio,gr GRE,GK,21,11.0,269,220,49,20,0,0,0,0,0,0,0,0,181,0,0,Matches
Toma Bašić,Lazio,hr CRO,MF,26,0.1,,,,,,,0,,,,,,,,,Matches
Bruno Guimarães,Newcastle Utd,br BRA,MF,25,48.7,2606,2462,131,114,28,28,41,7,3,1,1,0,2181,13,34,Matches
Fabian Schär,Newcastle Utd,ch SUI,DF,31,44.3,2413,2318,86,76,6,45,8,7,0,0,0,0,2009,9,16,Matches
Anthony Gordon,Newcastle Utd,eng ENG,FW,22,42.7,1169,1076,91,14,9,14,124,20,50,18,16,0,892,2,36,Matches
Sean Longstaff,Newcastle Utd,eng ENG,MF,25,40.8,1384,1325,56,24,8,8,33,6,3,1,1,1,1106,3,36,Matches
Dan Burn,Newcastle Utd,eng ENG,DF,31,38.4,1782,1563,213,39,1,4,15,172,0,0,0,0,1437,6,27,Matches
Kieran Trippier,Newcastle Utd,eng ENG,DF,32,34.5,2529,2002,519,137,3,14,289,247,135,51,44,12,1930,8,52,Matches
Alexander Isak,Newcastle Utd,se SWE,FW,23,32.9,560,490,67,0,5,3,10,6,1,0,0,0,438,3,23,Matches
Miguel Almirón,Newcastle Utd,py PAR,FW,29,30.7,957,943,11,2,5,0,32,8,1,0,0,0,785,3,20,Matches
Martin Dúbravka,Newcastle Utd,sk SVK,GK,34,29.7,686,469,214,40,0,1,0,0,0,0,0,0,546,3,0,Matches
Jamaal Lascelles,Newcastle Utd,eng ENG,DF,29,21.7,977,959,16,14,0,6,1,2,0,0,0,0,837,2,7,Matches
Valentino Livramento,Newcastle Utd,eng ENG,"DF,FW",20,21.5,933,810,123,5,0,1,32,118,0,0,0,0,801,0,15,Matches
Nick Pope,Newcastle Utd,eng ENG,GK,31,20.9,529,344,184,43,0,0,0,1,0,0,0,0,396,1,0,Matches
Joelinton,Newcastle Utd,br BRA,"MF,FW",26,20.4,779,747,30,20,3,3,7,10,0,0,0,0,650,2,23,Matches
Sven Botman,Newcastle Utd,nl NED,DF,23,19.7,1064,1024,40,36,0,6,0,2,0,0,0,0,962,0,3,Matches
Lewis Miley,Newcastle Utd,eng ENG,MF,17,19.5,605,604,1,0,4,2,17,0,0,0,0,0,495,0,15,Matches
Jacob Murphy,Newcastle Utd,eng ENG,FW,28,17.7,543,502,38,8,11,0,92,18,11,7,2,0,361,3,25,Matches
Callum Wilson,Newcastle Utd,eng ENG,FW,31,15.3,185,171,14,0,2,2,3,2,0,0,0,0,123,0,18,Matches
Elliot Anderson,Newcastle Utd,sct SCO,MF,20,12.3,475,446,29,3,5,1,19,25,1,0,0,0,381,0,9,Matches
Emil Krafth,Newcastle Utd,se SWE,DF,28,11.8,580,514,65,11,0,0,19,53,1,0,0,0,488,1,14,Matches
Lewis Hall,Newcastle Utd,eng ENG,DF,18,10.8,576,492,82,13,0,2,24,63,6,6,0,0,468,2,13,Matches
Harvey Barnes,Newcastle Utd,eng ENG,FW,25,9.6,273,263,8,2,1,2,14,4,0,0,0,0,208,2,13,Matches
Joe Willock,Newcastle Utd,eng ENG,MF,23,7.8,206,199,6,1,1,2,8,5,0,0,0,0,171,1,5,Matches
Sandro Tonali,Newcastle Utd,it ITA,MF,23,7.6,326,321,5,0,0,5,16,3,2,0,2,0,268,0,5,Matches
Matt Ritchie,Newcastle Utd,sct SCO,"FW,MF",33,3.0,93,91,2,0,0,0,11,0,2,1,0,0,70,0,3,Matches
Paul Dummett,Newcastle Utd,wls WAL,DF,31,2.2,23,22,1,0,0,0,0,1,0,0,0,0,21,0,0,Matches
Matt Targett,Newcastle Utd,eng ENG,DF,27,2.2,71,64,7,1,0,0,3,6,0,0,0,0,61,0,3,Matches
Loris Karius,Newcastle Utd,de GER,GK,30,1.0,37,24,12,3,0,0,0,0,0,0,0,0,21,1,0,Matches
Ben Parkinson,Newcastle Utd,eng ENG,FW,18,0.3,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Joe White,Newcastle Utd,eng ENG,MF,20,0.1,12,12,0,0,0,0,0,0,0,0,0,0,11,0,1,Matches
Alex Murphy,Newcastle Utd,ie IRL,"DF,FW",19,0.1,17,17,0,0,0,0,0,0,0,0,0,0,17,0,0,Matches
Michael Ndiweni,Newcastle Utd,eng ENG,MF,19,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
Amadou Diallo,Newcastle Utd,eng ENG,MF,20,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Pietro Terracciano,Fiorentina,it ITA,GK,33,45.7,1535,1216,313,91,0,1,0,1,0,0,0,0,1239,6,0,Matches
Nikola Milenković,Fiorentina,rs SRB,DF,25,42.3,2161,2098,59,53,0,22,2,5,0,0,0,0,1844,4,16,Matches
Cristiano Biraghi,Fiorentina,it ITA,DF,30,39.7,2590,1883,702,143,0,20,349,396,163,42,79,0,1986,5,41,Matches
Luca Ranieri,Fiorentina,it ITA,DF,24,36.6,2066,1963,98,71,0,10,19,25,0,0,0,0,1743,5,10,Matches
Lucas Martínez Quarta,Fiorentina,ar ARG,DF,27,36.2,2238,2150,77,69,2,36,10,8,0,0,0,0,1813,11,18,Matches
Giacomo Bonaventura,Fiorentina,it ITA,MF,33,33.7,1374,1314,58,19,16,6,73,6,6,1,4,0,1130,2,32,Matches
Nicolás González,Fiorentina,ar ARG,FW,25,33.1,1177,1124,48,7,5,21,63,40,1,1,0,0,831,5,39,Matches
Michael Kayode,Fiorentina,it ITA,DF,19,32.2,1519,1266,250,20,0,4,95,230,0,0,0,0,1237,3,41,Matches
Lucas Beltrán,Fiorentina,ar ARG,"FW,MF",22,31.2,691,657,32,2,6,5,12,4,0,0,0,0,545,2,27,Matches
Arthur Melo,Fiorentina,br BRA,MF,26,30.3,1842,1730,110,79,4,9,34,15,14,0,13,1,1675,2,20,Matches
Rolando Mandragora,Fiorentina,it ITA,MF,26,30.1,1231,1141,89,46,0,13,72,9,28,6,10,0,987,1,21,Matches
Alfred Duncan,Fiorentina,gh GHA,MF,30,26.9,1190,1120,64,23,5,23,76,5,35,11,17,0,924,6,27,Matches
Jonathan Ikone,Fiorentina,fr FRA,FW,25,25.4,647,629,16,2,8,3,14,13,1,0,0,0,532,2,14,Matches
M'Bala Nzola,Fiorentina,ao ANG,FW,26,23.3,400,386,14,1,0,0,7,3,0,0,0,0,322,0,9,Matches
Fabiano Parisi,Fiorentina,it ITA,DF,22,21.8,1201,1003,195,30,2,4,63,161,4,0,4,0,986,3,28,Matches
Christian Kouamé,Fiorentina,ci CIV,FW,25,21.4,729,697,26,2,4,4,32,20,4,0,0,0,534,6,18,Matches
Riccardo Sottil,Fiorentina,it ITA,FW,24,19.1,611,606,5,1,1,4,79,4,0,0,0,0,471,0,21,Matches
Maxime Lopez,Fiorentina,fr FRA,MF,25,17.6,1251,1193,58,28,2,10,53,3,26,0,23,0,1109,0,9,Matches
Andrea Belotti,Fiorentina,it ITA,FW,29,17.4,294,271,23,1,1,1,11,0,0,0,0,0,190,0,8,Matches
Antonín Barák,Fiorentina,cz CZE,"MF,FW",28,15.4,602,572,29,5,0,3,6,6,1,0,0,0,514,1,14,Matches
Dodô,Fiorentina,br BRA,DF,24,12.2,732,608,123,14,1,7,54,109,0,0,0,0,575,1,17,Matches
Oliver Christensen,Fiorentina,dk DEN,GK,24,10.7,326,267,59,14,0,0,0,0,0,0,0,0,232,0,1,Matches
Josip Brekalo,Fiorentina,hr CRO,FW,25,9.8,344,329,13,4,0,0,34,1,8,0,7,0,273,2,8,Matches
Davide Faraoni,Fiorentina,it ITA,DF,31,5.5,335,272,62,7,1,0,25,53,2,0,2,0,264,1,7,Matches
Gaetano Castrovilli,Fiorentina,it ITA,"FW,MF",26,4.1,116,112,3,1,0,2,9,2,0,0,0,0,75,1,7,Matches
Gino Infantino,Fiorentina,ar ARG,MF,20,2.2,63,60,1,0,0,1,0,0,0,0,0,0,56,2,1,Matches
Yerry Mina,Fiorentina,co COL,"DF,MF",28,2.1,76,71,5,5,0,0,0,0,0,0,0,0,64,0,1,Matches
Niccolò Pierozzi,Fiorentina,it ITA,DF,21,1.5,94,83,11,2,0,1,5,9,0,0,0,0,79,0,1,Matches
Pietro Comuzzo,Fiorentina,it ITA,"DF,FW",18,1.5,95,87,7,0,0,0,1,7,0,0,0,0,73,1,0,Matches
Tommaso Martinelli,Fiorentina,it ITA,GK,17,1.0,,,,,,,0,,,,,,,,,Matches
Lorenzo Amatucci,Fiorentina,it ITA,MF,19,0.2,25,25,0,0,0,1,0,0,0,0,0,0,22,0,2,Matches
Álex Remiro,Real Sociedad,es ESP,GK,28,48.7,1521,1175,337,144,0,1,0,0,0,0,0,0,1127,9,1,Matches
Martín Zubimendi,Real Sociedad,es ESP,MF,24,41.5,1986,1899,78,75,4,4,9,2,0,0,0,0,1708,9,16,Matches
