Player Name,Club Name,FoulsDrawnLeadingToShotAttempt,Position,FoulsDrawnLeadingToGoal,ActionsLeadingToShots,ShotCreatingActionsPer90Min,InPlayPassesThatLeadToShotAttempt,SetpiecesLeadingToShotAttempt,SuccessfulTakeOnsLeadingToShotAttempt,ShotsThatLeadToShotAttempt,DefensiveActionsLeadingToShotAttempt,GoalCreationAccuracy,InPlayPassesLeadingToGoal,SetpiecesLeadingToGoal,FoulsDrawnLeadingToGoal,ShotsAttemptLeadingToGoal,DefensiveActionsLeadingToGoal,DefensiveErrors,TacklesAttempted,TackleWon,TacklesinDef3rd,TacklesinMid3rd,TacklesinAtt3rd,DribblesStopped,PassesBlocked,DribblesWinningPerc,DribblesNotStopped,TotalBlocks,ShotsBlocked,PassesBlocked,Tackles+Interception,Clearances,Goals,Shots,ShotsOnTarget,ShotsOnTarget%,Shots/90min,ShotsOnTarget/90min,Goals/Shot,Goals/ShotOnTarget,AverageShotDistance,ShotsfromFreeKicks,PKMade,TotalPK,ExpectedGoal,NonPenaltyExpectedGoals,NonPenaltyExpectedGoals/shot,Goals-XG,NonPenaltyGoals-NonPenaltyXG,Miscontrols,Receiving,Touches,TouchesInDefensivePenaltyArea,TouchesInDefensive1/3rd,TouchesInMid1/3rd,TouchesInAtt1/3rd,TouchesInAttackingPenaltyArea,TakeOnsAttempted,SucessfulTakeOns,SucessfulTakeOns%,TimesTackledByADefDuringTakeOn,TimesTackledByADefDuringTakeOn%,NumberOfCarries,DistanceTravelledInCarries(Yards),DistanceTravelledInCarries(Yards)TowardsOpponentGoal,CarriesThatReachesCloseToOpponentGoal(DistTravelled>10Yards),CarriesInFinalThird,CarriesInPenaltyArea,PassesRecieved,DisPossesed,ProgressivePassesRecieved,ShortPassesCompleted%,TotalPassingDistance,PassesAttempted,ProgressivePassingDistance,ShortPassesCompleted,ShortPassesAttempted,ShortPassesCompleted%,MediumPassesCompleted,PassesIntoPenaltyArea,CrossesIntoPenaltyArea,ProgressivePasses,LongPassesAttempted,LongPassesCompleted%,YellowCards,RedCards,2ndYellowCard,FoulsCommited,FoulsDrawn,Offsides,Crosses,Interceptions,TacklesWon,PenaltyKicksWon,PenaltyKicksConceeded,OwnGoals,BallsRecovered,AerialDuelWon,AerialDuelLost,AerialDuelWinningPercentage,"PassesCompleted	",InGamePasses,SetPiecesPasses,FreeKickPasses,ThroughBalls,Switches,Crosses,ThrowInsTaken,CornersTaken,InswingingCorners,OutswingingCorners,StraightCorners,PassesCompleted,PassesOffside
Aritz Elustondo,Real Sociedad,0,DF,0,14,1.28,8,2,0,3,1,0.18,0,0,0,2,0,0,18,15,10,5,3,11,5,55,9,15,10,10,26,33,0,12,2,16.7,0.88,0.15,0,0,11.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4,4,13.7,684,53,273,355,63,17,6,4,66.7,2,33.3,359,1745,803,6,7,1,4,404,5,29,9206,582,3296,186,211,88.2,269,2,0,38,59,62.7,5,0,0,14,12,1,2,10,15,0,0,0,50,33,14,70.2,582,523,58,14,0,3,2,44,0,0,0,0,499,1
André Silva,Real Sociedad,0,FW,0,12,1.31,11,0,1,0,0,0,0,0,0,0,0,0,4,3,2,0,2,1,3,20,4,4,1,1,5,4,4,25,8,32,2.11,0.68,0.12,0.38,18.4,1,1,1,3.5,2.8,0.15,-0.5,-0.8,21,11.8,283,5,17,119,148,32,27,8,29.6,18,66.7,167,891,309,7,6,5,21,203,53,27,1920,192,194,100,109,91.7,43,1,0,9,3,66.7,2,0,0,22,12,5,1,1,3,0,0,0,27,14,21,40,192,167,23,0,1,0,1,3,0,0,0,0,154,2
Sheraldo Becker,Real Sociedad,0,FW,0,19,2.06,14,1,1,3,0,0.54,4,0,0,1,0,0,2,2,0,2,0,0,3,0,1,3,0,1,3,0,3,27,12,44.4,2.47,1.1,0.11,0.25,17.1,0,0,0,1.4,1.4,0.07,0.6,0.6,15,10.9,320,0,15,93,217,44,8,4,50,3,37.5,194,1312,612,29,9,8,5,248,91,28,2366,261,403,99,126,78.6,48,10,3,13,24,41.7,1,0,0,15,9,9,59,1,2,0,0,0,27,5,12,29.4,261,254,6,0,0,0,59,1,2,0,1,0,163,1
Álvaro Odriozola,Real Sociedad,1,"DF,FW",0,7,1.28,6,0,0,0,0,0,0,0,0,0,0,0,10,14,8,1,1,6,2,100,0,3,1,10,19,7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,6,8,360,10,102,182,77,9,11,2,18.2,7,63.6,181,1061,483,18,9,3,4,213,17,27,4363,304,1143,122,133,91.7,119,3,3,10,20,80,0,0,0,10,8,2,21,10,14,0,1,0,22,1,8,11.1,304,242,62,3,0,1,21,59,0,0,0,0,265,0
Jon Aramburu,Real Sociedad,0,DF,0,4,0.66,3,0,0,1,0,0,0,0,0,0,0,0,24,17,12,10,2,15,5,60,10,8,3,7,31,18,0,5,0,0,0.68,0,0,,23.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,6,7.4,397,22,94,216,92,3,7,2,28.6,4,57.1,173,730,348,6,10,0,6,209,25,21,4057,325,1247,128,144,88.9,115,2,1,26,27,40.7,3,0,0,11,7,0,8,7,17,0,0,0,24,7,7,50,325,259,63,7,0,0,8,56,0,0,0,0,257,3
Carlos Fernández,Real Sociedad,0,FW,0,4,0.76,3,0,0,0,1,0.19,1,0,0,0,0,0,12,8,4,6,2,1,5,25,3,5,0,2,13,6,3,11,4,36.4,1.75,0.64,0.18,0.5,15.3,0,1,1,1.6,0.8,0.09,0.4,0.2,16,6.3,179,7,21,92,68,17,10,3,30,7,70,83,395,109,5,3,0,14,110,17,27,790,109,116,38,59,64.4,18,1,0,4,5,20,5,0,0,25,5,4,2,2,8,0,1,0,20,21,24,46.7,109,104,5,1,1,0,2,0,0,0,0,0,59,0
Olasagasti,Real Sociedad,1,MF,0,14,3.42,6,0,4,2,1,0,0,0,0,0,0,1,16,14,4,7,5,5,2,62.5,3,2,0,4,19,5,0,14,1,7.1,2.29,0.16,0,0,17,0,0,0,1,1,0.1,-1,-1,7,6.1,231,8,42,111,81,16,10,7,70,3,30,114,470,224,9,4,5,6,136,12,22,1813,176,337,79,95,83.2,38,3,0,13,12,41.7,3,0,0,9,11,1,5,4,14,0,0,0,37,6,11,35.3,176,170,3,2,1,3,5,0,1,0,1,0,129,3
Mohamed Ali Cho,Real Sociedad,1,"FW,MF",1,5,1.18,3,0,1,0,0,0.24,0,0,0,0,0,0,4,3,3,1,0,2,7,28.6,5,7,0,1,5,1,0,6,2,33.3,1.15,0.38,0,0,18.4,0,0,0,0.4,0.4,0.11,-0.4,-0.4,15,5.2,159,0,12,72,80,13,27,7,25.9,15,55.6,115,912,472,24,14,7,7,110,30,19,803,97,175,35,46,76.1,19,1,1,5,10,20,0,0,0,8,10,3,20,1,3,0,0,0,26,4,8,33.3,97,94,1,0,0,0,20,0,0,0,0,0,60,2
Unai Marrero,Real Sociedad,0,GK,0,1,0.63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,4.6,46,32,43,3,0,0,0,0,,0,,22,94,55,0,0,0,0,11,0,21,934,45,792,5,6,83.3,13,0,0,0,26,38.5,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,45,22,23,15,0,0,0,0,0,0,0,0,28,0
Urko González,Real Sociedad,0,DF,0,1,0.58,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,3,1,2,1,100,0,1,0,3,5,6,0,4,1,25,0.99,0.25,0,0,17.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2,4,109,8,30,65,14,1,2,1,50,1,50,51,257,149,1,0,0,3,75,1,22,1127,89,293,39,46,84.8,30,1,0,6,9,22.2,1,0,0,4,3,0,2,3,3,0,0,0,13,5,4,55.6,89,89,0,0,0,0,2,0,0,0,0,0,71,0
Jon Magunacelaya,Real Sociedad,1,MF,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,5,4,2,3,0,4,3,50,4,3,0,0,5,3,0,7,2,28.6,2.88,0.82,0,0,16.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,3,2.4,73,2,13,30,30,7,6,2,33.3,3,50,37,166,96,3,2,0,2,43,12,23,407,47,61,17,24,70.8,11,0,0,2,0,,2,0,0,10,5,1,5,0,4,0,0,0,7,1,4,20,47,47,0,0,0,0,5,0,0,0,0,0,31,0
Alberto Dadie,Real Sociedad,0,FW,0,1,3.21,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,1,,0,1,0,0,2,0,0,5,2,40,3.19,1.28,0,0,,0,0,0,0,0,,0,0,4,1.6,14,0,6,6,2,1,1,0,0,1,100,12,28,8,0,0,0,0,10,0,21,47,7,33,2,4,50,1,0,0,0,0,,0,0,0,4,1,0,4,0,3,0,0,0,2,0,0,,7,7,0,0,0,0,4,0,0,0,0,0,3,0
Alex Sola,Real Sociedad,1,"DF,MF",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0.3,21,2,5,13,3,0,0,0,,0,,11,75,31,1,1,0,1,10,0,24,196,16,75,5,5,100,7,0,0,1,0,,0,0,0,2,2,0,0,1,0,0,0,0,2,2,0,100,16,9,7,1,0,0,0,6,0,0,0,0,12,0
Jon Martin,Real Sociedad,0,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0.3,10,2,9,1,0,0,0,0,,0,,1,2,1,0,0,0,0,4,0,17,125,7,44,1,2,50,3,0,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,7,7,0,0,0,1,0,0,0,0,0,0,5,0
André Onana,Manchester Utd,0,GK,0,8,0.18,8,0,0,0,0,0.02,1,0,0,0,0,6,2,0,2,0,0,2,0,100,0,0,0,1,3,13,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,3,51.7,1874,1410,1831,43,0,0,1,1,100,0,0,1297,6901,4374,1,0,0,0,1093,0,27,31956,1750,21983,313,314,99.7,619,3,0,6,780,41.9,6,0,0,1,5,0,0,1,0,0,1,0,50,14,2,87.5,1750,1474,268,87,1,6,0,0,0,0,0,0,1272,8
Diogo Dalot,Manchester Utd,1,DF,0,86,2.13,75,4,2,3,1,0.2,7,0,0,1,0,0,88,69,62,14,12,54,32,65.9,28,52,20,52,128,124,3,40,10,25,0.82,0.21,0.08,0.3,20.4,0,0,0,1.8,1.8,0.06,0.2,0.2,28,48.5,2518,213,863,1005,670,58,64,38,59.4,22,34.4,1329,6568,3546,68,52,12,12,1435,136,24,28361,2110,9189,841,947,88.8,660,34,18,132,236,63.6,7,1,1,57,17,3,106,52,69,0,1,0,234,39,29,57.4,2110,1782,320,25,1,9,106,290,5,2,3,0,1700,8
Bruno Fernandes,Manchester Utd,2,"MF,FW",0,237,5.83,162,53,8,9,3,0.54,13,5,2,2,0,2,81,50,33,31,17,35,49,32.7,72,56,7,39,111,59,15,134,48,35.8,2.82,1.01,0.07,0.19,22.8,13,6,7,11.6,6.9,0.07,0.4,0.1,60,47.6,2959,106,469,1248,1273,120,58,26,44.8,27,46.6,1563,7112,3866,96,67,27,39,1948,207,28,32212,2482,11617,870,998,87.2,609,97,10,331,493,51.5,12,0,0,56,41,14,292,39,50,0,0,0,235,25,33,43.1,2482,2121,336,81,32,26,292,30,172,50,67,8,1799,25
Alejandro Garnacho,Manchester Utd,14,"FW,MF",3,127,3.99,83,0,14,15,1,0.53,10,0,1,2,1,0,26,23,7,10,9,14,30,28.6,35,32,2,26,49,18,10,133,39,29.3,3.36,0.99,0.08,0.26,15.7,0,0,0,9.7,9.6,0.09,-1.7,-1.6,77,39.6,1443,13,194,462,803,268,150,52,34.7,77,51.3,1029,8740,4527,191,91,111,56,1100,305,19,10233,979,1407,452,544,83.1,211,23,4,64,68,57.4,4,0,0,27,74,20,89,26,23,2,0,0,125,6,28,17.6,979,962,14,3,2,5,89,6,4,2,0,0,736,3
Rasmus Højlund,Manchester Utd,3,FW,0,68,2.31,50,0,7,5,3,0.17,3,0,2,0,0,0,11,10,2,3,6,5,11,38.5,8,12,1,2,13,19,16,57,29,50.9,1.67,0.85,0.28,0.55,11.2,0,0,0,11.2,11.2,0.23,3.8,3.8,61,34.1,726,20,66,321,351,114,52,23,44.2,25,48.1,423,2511,1289,41,31,18,40,515,132,20,4263,476,967,226,284,79.6,74,15,1,35,16,81.3,2,0,0,30,42,18,10,2,10,0,1,0,68,34,73,31.8,476,431,41,0,1,2,10,2,0,0,0,0,353,4
Marcus Rashford,Manchester Utd,6,FW,1,99,3.48,68,1,17,7,0,0.53,13,0,1,0,0,0,22,16,10,6,6,10,16,34.5,19,17,1,5,27,23,8,83,27,32.5,2.45,0.8,0.07,0.22,17,1,2,2,7.4,5.9,0.09,-0.4,-0.9,67,33.8,1175,27,142,391,662,142,125,57,45.6,60,48,784,5694,2687,108,59,70,41,923,217,25,8970,861,2417,404,481,84,168,38,3,83,70,52.9,2,1,0,17,25,17,48,5,16,1,0,0,92,18,28,39.1,861,824,29,0,6,4,48,19,3,0,0,0,653,8
Scott McTominay,Manchester Utd,2,MF,0,32,1.26,23,0,1,4,2,0.12,2,0,0,0,1,0,51,30,24,25,2,23,24,57.5,17,39,15,16,66,60,10,70,27,38.6,2.26,0.87,0.14,0.37,14.6,0,0,0,7.1,7.1,0.14,0.9,0.9,33,30.9,1098,89,275,567,268,62,25,11,44,11,44,589,2747,1276,36,26,5,28,699,59,26,9544,786,2407,370,425,87.1,217,10,0,78,45,73.3,4,0,0,40,33,7,6,16,30,0,2,0,105,43,47,47.8,786,768,14,5,2,4,6,5,0,0,0,0,644,4
Casemiro,Manchester Utd,1,MF,0,46,1.93,40,2,0,3,0,0.25,6,0,0,0,0,1,89,67,47,34,8,54,44,47,61,77,33,27,108,75,5,49,14,28.6,1.71,0.49,0.1,0.36,16.6,1,0,0,4.5,4.5,0.1,-1.5,-1.5,17,28.6,1881,176,679,948,268,50,20,10,50,8,40,1053,3799,1816,13,24,2,18,1237,38,31,21522,1520,8285,567,631,89.9,519,22,3,123,206,55.8,11,1,1,41,12,6,16,27,67,0,2,0,151,42,23,64.6,1520,1476,38,32,8,9,16,0,0,0,0,0,1240,6
Aaron Wan-Bissaka,Manchester Utd,1,DF,0,29,1.31,27,1,0,0,0,0.23,5,0,0,0,0,1,49,38,21,24,4,20,15,74.1,7,30,15,60,100,77,0,4,2,50,0.15,0.07,0,0,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,26,26.7,1375,99,483,602,307,27,37,19,51.4,12,32.4,669,3368,1615,33,30,6,11,769,58,25,12154,1101,3998,603,669,90.1,269,17,3,87,46,50,5,0,0,21,13,0,18,60,38,0,1,0,108,22,20,52.4,1101,930,169,7,0,1,18,162,0,0,0,0,926,2
Kobbie Mainoo,Manchester Utd,2,MF,1,40,1.83,31,0,3,3,1,0.37,3,0,2,2,0,1,49,37,21,17,11,21,8,46.7,24,21,13,26,71,32,5,14,8,57.1,0.53,0.3,0.36,0.63,21.1,0,0,0,0.9,0.9,0.08,2.1,2.1,30,26.5,1120,65,310,584,239,30,59,32,54.2,22,37.3,680,3211,1490,26,22,6,24,785,37,18,10835,889,2764,450,498,90.4,243,9,1,66,53,62.3,4,0,0,21,25,0,7,26,37,0,0,0,99,19,26,42.2,889,883,6,5,8,4,7,0,0,0,0,0,767,0
Harry Maguire,Manchester Utd,1,DF,1,25,1.15,20,0,0,1,3,0.18,2,0,0,1,0,1,25,21,15,10,0,13,12,56.5,10,39,27,32,54,96,4,26,8,30.8,1.01,0.31,0.15,0.5,11.2,0,0,0,2.3,2.3,0.11,0.7,0.7,12,25.7,1565,229,759,713,100,39,2,0,0,2,100,867,5617,3249,22,15,2,2,959,2,30,20790,1324,7734,440,487,90.3,515,6,0,84,219,58,5,0,0,31,11,6,4,32,21,1,1,0,91,85,21,80.2,1324,1227,95,44,0,15,4,2,0,0,0,0,1106,2
Raphaël Varane,Manchester Utd,0,DF,0,18,0.95,14,2,0,2,0,0.11,2,0,0,0,0,0,22,15,12,9,1,11,8,73.3,4,29,21,24,41,101,1,12,3,25,0.49,0.12,0.08,0.33,9.2,0,0,0,1.3,1.3,0.16,-0.3,-0.3,7,24.6,1213,208,582,586,50,11,3,1,33.3,1,33.3,724,4491,2630,19,14,0,3,758,2,30,15714,1014,5037,359,386,93,466,4,0,74,88,62.5,2,0,0,10,4,3,1,24,15,0,0,0,86,32,8,80,1014,932,78,30,1,0,1,3,0,0,0,0,899,4
Victor Lindelöf,Manchester Utd,0,DF,0,22,1.22,22,0,0,0,0,0.22,4,0,0,0,0,1,15,11,8,7,0,5,13,35.7,9,24,11,15,28,51,1,8,5,62.5,0.37,0.23,0.13,0.2,10.4,0,0,0,0.8,0.8,0.13,0.2,0.2,6,21.7,1219,130,568,534,124,17,2,1,50,0,0,712,3626,1903,20,15,0,3,811,20,29,15320,1087,4498,470,512,91.8,408,3,0,51,83,67.5,3,0,0,17,6,3,1,15,11,0,0,0,84,28,26,51.9,1087,996,91,9,2,5,1,56,0,0,0,0,966,0
Antony,Manchester Utd,5,FW,0,66,3.82,54,1,3,0,3,0.23,2,0,0,0,2,0,47,30,20,20,7,25,32,51,24,34,2,19,64,11,3,63,20,31.7,2.97,0.94,0.05,0.15,19.1,0,0,0,3.4,3.4,0.08,-2.4,-2.4,31,21.2,938,22,123,354,487,61,88,32,36.4,41,46.6,627,4229,2159,58,43,25,25,657,165,23,7046,677,1899,331,391,84.7,153,34,3,78,32,53.1,6,0,0,25,44,2,26,19,30,1,1,0,104,3,23,11.5,677,646,28,7,3,1,26,19,2,0,0,0,532,3
Jonny Evans,Manchester Utd,0,DF,0,11,0.68,11,0,0,0,0,0.12,2,0,0,0,0,0,23,17,21,2,0,13,8,59.1,9,27,19,25,46,77,0,2,1,50,0.11,0.06,0,0,5.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,5,17.8,1057,192,582,441,36,9,7,4,57.1,2,28.6,599,2894,1547,9,6,0,3,658,1,35,12594,879,3991,344,374,92,360,3,0,40,77,54.5,2,0,0,17,14,0,1,25,17,0,0,0,73,38,18,67.9,879,821,55,19,1,0,1,4,0,0,0,0,768,3
Sofyan Amrabat,Manchester Utd,0,"MF,DF",0,23,1.64,22,1,0,0,0,0.07,1,0,0,0,0,2,35,24,22,10,3,23,22,59,16,30,8,11,46,22,0,6,1,16.7,0.35,0.06,0,0,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,13,17.2,981,58,283,564,145,4,11,6,54.5,3,27.3,601,3071,1195,9,11,0,11,678,15,26,12998,840,3470,301,338,89.1,346,7,2,78,80,82.5,9,0,0,34,19,0,11,11,24,0,0,0,81,7,8,46.7,840,808,31,13,0,10,11,18,0,0,0,0,729,1
Christian Eriksen,Manchester Utd,0,MF,0,52,3.48,41,9,0,0,2,0.27,3,0,0,0,1,0,18,13,5,10,3,12,13,33.3,24,20,7,7,25,16,1,16,6,37.5,1,0.38,0.06,0.17,20.6,2,0,0,1.3,1.3,0.09,-0.3,-0.3,8,15.9,1053,34,198,585,278,15,9,3,33.3,6,66.7,597,2635,1306,21,21,3,15,729,24,31,12498,944,3429,394,449,87.8,263,21,4,90,126,57.1,1,0,0,9,3,1,58,7,13,0,1,0,101,2,9,18.2,944,877,61,28,7,11,58,3,29,13,8,2,756,6
Luke Shaw,Manchester Utd,0,DF,0,27,2.22,16,9,1,1,0,0.08,1,0,0,0,0,0,13,12,7,5,1,10,8,58.8,7,20,12,10,22,39,0,6,1,16.7,0.46,0.08,0,0,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,18,13.1,836,86,306,364,169,15,11,7,63.6,4,36.4,432,2047,933,12,12,1,6,472,34,28,9122,714,3562,299,334,89.5,213,9,1,51,81,48.1,7,0,0,21,4,0,39,10,12,0,0,0,68,13,10,56.5,714,592,120,20,2,5,39,72,20,3,13,0,578,2
Lisandro Martínez,Manchester Utd,0,DF,0,7,0.86,6,0,0,0,1,0.12,1,0,0,0,0,1,12,9,8,4,0,5,4,41.7,7,14,10,8,19,27,0,1,0,0,0.1,0,0,,,0,0,0,0,0,,0,0,2,10,566,81,261,288,18,2,6,4,66.7,1,16.7,379,1998,1195,9,4,0,3,385,1,25,7621,493,2363,207,213,97.2,217,1,0,30,42,61.9,4,0,0,8,4,0,2,8,9,0,0,1,38,4,6,40,493,457,34,14,1,1,2,0,0,0,0,0,457,2
Mason Mount,Manchester Utd,2,"MF,FW",0,20,2.97,12,2,2,0,2,0,0,0,0,0,0,0,24,17,7,10,7,6,5,37.5,10,6,1,7,31,3,1,13,3,23.1,1.54,0.36,0.08,0.33,14.5,0,0,0,0.9,0.9,0.1,0.1,0.1,12,8.4,338,11,49,157,137,22,12,4,33.3,6,50,180,942,408,12,8,2,9,210,39,24,2834,257,867,133,147,90.5,48,6,2,24,21,57.1,2,0,0,16,10,0,21,7,17,0,0,0,44,6,12,33.3,257,242,14,1,2,3,21,2,8,3,4,0,211,1
Sergio Reguilón,Manchester Utd,0,DF,0,16,2.56,14,1,0,1,0,0.16,1,0,0,0,0,0,15,8,8,2,5,8,13,36.4,14,13,0,11,23,9,0,7,1,14.3,0.96,0.14,0,0,18.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,11,7.3,492,9,94,207,194,13,14,6,42.9,4,28.6,247,1142,606,15,7,3,2,286,49,26,4853,410,1620,170,198,85.9,122,5,3,33,33,54.5,4,0,0,8,15,3,40,11,8,0,0,0,25,9,11,45,410,329,79,6,0,1,40,67,6,1,4,0,318,2
Anthony Martial,Manchester Utd,1,"FW,DF",1,14,2.53,12,0,0,1,0,0.36,1,0,0,0,0,0,4,1,1,1,2,1,4,100,0,4,0,1,5,4,2,8,5,62.5,1.13,0.71,0.25,0.4,12.9,0,0,0,1.2,1.2,0.2,-0.2,-0.2,14,7.1,198,4,13,89,99,18,9,4,44.4,3,33.3,119,557,228,8,7,1,13,164,42,27,1431,154,300,77,89,86.5,29,2,0,14,2,50,0,0,0,6,6,6,0,1,1,1,0,0,11,8,20,28.6,154,145,7,0,0,0,0,0,0,0,0,0,122,2
Amad Diallo,Manchester Utd,0,"FW,MF",0,20,4.62,16,0,3,1,0,0,0,0,0,0,0,0,10,6,1,6,3,3,2,42.9,4,3,1,1,11,6,2,13,5,38.5,2.47,0.95,0.15,0.4,19.3,0,0,0,0.5,0.5,0.05,0.5,0.5,7,5.3,231,8,28,94,110,24,23,11,47.8,10,43.5,146,1035,355,11,12,4,14,163,31,21,1931,170,279,105,115,91.3,32,3,0,10,5,80,3,1,1,9,4,0,1,1,6,0,0,0,14,4,6,40,170,166,4,1,0,1,1,2,1,1,0,0,149,0
Facundo Pellistri,Manchester Utd,1,FW,0,6,1.92,4,0,1,0,0,0.32,1,0,0,0,0,0,8,8,5,2,1,1,6,20,4,7,1,3,10,5,0,11,3,27.3,2.64,0.72,0,0,12.8,0,0,0,1.1,1.1,0.15,-1.1,-1.1,8,4.2,155,6,29,51,76,16,14,7,50,5,35.7,97,625,248,8,8,5,4,105,40,21,878,101,172,67,74,90.5,11,2,0,7,0,,0,0,0,8,10,1,7,3,8,0,0,0,14,7,4,63.6,101,99,1,0,0,0,7,1,0,0,0,0,80,1
Willy Kambwala,Manchester Utd,0,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,2,0,1,3,33.3,2,6,3,4,7,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,3,3.9,232,27,142,88,2,0,2,0,0,2,100,124,689,377,2,1,0,1,149,1,18,2765,192,960,74,78,94.9,85,0,0,8,14,21.4,1,0,0,4,2,0,0,4,3,0,0,0,12,6,2,75,192,187,5,3,0,0,0,1,0,0,0,0,163,0
Hannibal Mejbri,Manchester Utd,1,"MF,FW",0,7,3.23,6,0,0,0,0,0,0,0,0,0,0,0,5,7,2,3,0,2,0,40,3,1,1,2,5,0,1,1,1,100,0.27,0.27,1,1,28.7,0,0,0,0,0,0.03,1,1,8,3.7,96,2,13,49,36,5,9,4,44.4,3,33.3,58,245,110,2,3,0,4,61,16,20,677,64,195,32,34,94.1,15,2,0,10,7,42.9,3,0,0,12,12,1,3,2,7,0,0,0,11,3,4,42.9,64,63,1,1,2,0,3,0,0,0,0,0,50,0
Omari Forson,Manchester Utd,0,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,1,0,100,0,0,0,0,2,0,0,4,2,50,3.91,1.96,0,0,21.6,0,0,0,0,0,0.03,0,0,1,1,39,0,2,25,12,1,2,1,50,1,50,29,115,34,1,3,0,0,31,2,19,373,33,78,17,17,100,10,1,0,2,0,,0,0,0,2,1,0,0,0,2,0,0,0,2,0,2,0,33,32,1,0,0,0,0,0,0,0,0,0,30,0
Altay Bayındır,Manchester Utd,,GK,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,0,0,0,,0,0,,,,,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,0,,,,,,,
Jadon Sancho,Manchester Utd,1,"FW,MF",0,4,4.62,1,1,0,0,1,1.15,0,1,0,0,0,0,1,0,1,0,0,1,1,33.3,2,1,0,1,2,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0.9,51,4,12,18,26,6,7,3,42.9,3,42.9,38,298,192,10,5,5,2,34,5,23,446,43,116,22,25,88,10,2,0,4,1,100,0,0,0,0,2,1,1,1,0,0,0,0,10,0,3,0,43,41,1,0,0,0,1,0,1,0,0,0,34,1
Daniel Gore,Manchester Utd,0,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,100,0,0,0,2,2,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0.3,2,0,0,1,1,0,0,0,,0,,2,6,2,0,0,0,0,1,0,18,0,0,0,0,0,,0,0,0,0,0,,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donny van de Beek,Manchester Utd,0,DF,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,0,1,0,0,3.91,0,0,,16.1,0,0,0,0,0,0.04,0,0,1,0.3,4,0,0,2,2,2,0,0,,0,,1,1,0,0,0,0,0,1,1,26,7,1,0,1,1,100,0,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Ethan Wheatley,Manchester Utd,0,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,100,0,2,0,2,3,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,0.2,6,0,0,3,3,0,0,0,,0,,3,35,0,0,0,0,2,2,1,17,0,0,0,0,0,,0,0,0,0,0,,0,0,0,3,0,0,0,2,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
