Player Name,Club Name,Country,Position,Age,90s,YellowCards,RedCards,2ndYellowCard,FoulsCommited,FoulsDrawn,Offsides,Crosses,Interceptions,TacklesWon,PenaltyKicksWon,PenaltyKicksConceeded,OwnGoals,BallsRecovered,AerialDuelWon,AerialDuelLost,AerialDuelWinningPercentage,Recov
Tim Iroegbunam,Aston Villa,ENG,MF,20,3.3,1,0,0,12,6,0,0,6,6,0,0,0,22,3,2,60.0,Matches
Calum Chambers,Aston Villa,ENG,"MF,DF",28,2.7,1,0,0,3,1,0,2,4,1,0,0,0,11,2,1,66.7,Matches
Filip Marshall,Aston Villa,ENG,GK,20,1.0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,,Matches
Omari Kellyman,Aston Villa,ENG,FW,17,0.7,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,50.0,Matches
Tyrone Mings,Aston Villa,ENG,DF,30,0.3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,100.0,Matches
Bertrand Traoré,Aston Villa,BFA,"DF,FW",27,0.3,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,,Matches
Philippe Coutinho,Aston Villa,BRA,"MF,FW",31,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Tommi O'Reilly,Aston Villa,ENG,MF,19,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Kaine Kesler-Hayden,Aston Villa,ENG,"MF,DF",20,0.1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,50.0,Matches
Finley Munroe,Aston Villa,ENG,MF,18,0.1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,,Matches
Cameron Archer,Aston Villa,ENG,MF,22,0.1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
Jaden Philogene Bidace,Aston Villa,ENG,FW,21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Lucas Chevalier,Lille,FRA,GK,21,42.3,1,0,0,1,8,0,0,0,0,0,1,0,72,6,0,100.0,Matches
Benjamin André,Lille,FRA,MF,32,40.1,9,0,0,69,57,1,28,51,74,0,0,0,249,109,74,59.6,Matches
Leny Yoro,Lille,FRA,DF,17,39.1,5,0,0,26,20,0,1,45,29,0,1,1,150,52,32,61.9,Matches
Jonathan David,Lille,CAN,FW,23,37.7,4,0,0,33,68,19,4,11,18,2,0,0,94,26,74,26.0,Matches
Tiago Santos,Lille,POR,DF,21,36.9,8,0,0,55,115,1,114,20,54,0,1,0,170,17,28,37.8,Matches
Angel Gomes,Lille,ENG,MF,22,35.9,7,0,0,39,42,0,54,20,19,0,0,0,142,8,16,33.3,Matches
Ismaily,Lille,BRA,DF,33,34.3,1,0,0,17,32,3,44,39,59,0,0,0,149,47,19,71.2,Matches
Edon Zhegrova,Lille,KVX,FW,24,33.0,3,1,0,26,41,14,206,10,24,0,0,0,119,6,14,30.0,Matches
Alexsandro Ribeiro,Lille,BRA,DF,23,31.9,6,1,0,34,40,1,5,44,29,0,0,1,155,56,23,70.9,Matches
Nabil Bentaleb,Lille,ALG,MF,28,28.2,11,0,0,31,24,0,7,50,36,0,1,0,165,26,16,61.9,Matches
Gabriel Gudmundsson,Lille,SWE,"DF,FW",24,23.6,2,0,0,31,30,5,62,23,29,0,0,0,100,12,17,41.4,Matches
Bafodé Diakité,Lille,FRA,DF,22,23.5,5,0,0,26,14,2,3,24,22,0,1,0,102,38,25,60.3,Matches
Yusuf Yazıcı,Lille,TUR,"MF,FW",26,23.2,5,0,0,31,17,8,42,6,13,0,0,0,82,7,20,25.9,Matches
Rémy Cabella,Lille,FRA,"FW,MF",33,22.4,0,0,0,26,54,5,83,7,48,2,0,0,121,11,21,34.4,Matches
Hákon Arnar Haraldsson,Lille,ISL,"FW,MF",20,21.9,6,0,0,21,36,4,16,9,11,1,0,0,66,3,15,16.7,Matches
Ivan Cavaleiro,Lille,POR,FW,29,9.8,1,0,0,10,7,3,37,5,7,0,0,0,35,15,22,40.5,Matches
Samuel Umtiti,Lille,FRA,DF,29,7.8,1,0,0,7,8,0,0,6,5,0,0,0,37,10,3,76.9,Matches
Ayyoub Bouaddi,Lille,FRA,MF,15,7.8,4,1,1,14,4,0,4,5,8,0,0,0,43,4,8,33.3,Matches
Adam Ounas,Lille,ALG,FW,26,7.3,0,0,0,3,16,3,45,11,4,1,0,0,34,6,7,46.2,Matches
Vito Mannone,Lille,ITA,GK,35,5.0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,100.0,Matches
Akim Zedadka,Lille,ALG,DF,28,2.0,0,0,0,1,4,1,7,2,5,0,0,0,6,3,2,60.0,Matches
Alan Virginius,Lille,FRA,FW,20,1.7,0,0,0,0,1,0,4,0,1,1,0,0,2,1,1,50.0,Matches
Ignacio Miramon,Lille,ARG,MF,20,1.0,1,0,0,6,3,0,1,1,1,0,0,0,6,0,0,,Matches
Amine Messoussa,Lille,FRA,FW,18,0.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Tiago Fonseca Morais,Lille,POR,FW,19,0.7,0,0,0,1,0,0,1,1,1,0,0,0,3,0,0,,Matches
Carlos Baleba,Lille,CMR,MF,19,0.7,0,0,0,2,2,0,0,2,2,0,0,0,2,0,0,,Matches
Aaron Malouda,Lille,FRA,FW,17,0.4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,Matches
Trévis Dago,Lille,CIV,"FW,MF",18,0.3,1,0,0,2,1,0,1,1,0,0,0,0,1,1,1,50.0,Matches
Andrej Ilic,Lille,SRB,FW,23,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,Matches
Joffrey Bazié,Lille,BFA,FW,19,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,Matches
Ichem Ferrah,Lille,FRA,FW,17,0.1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,Matches
Adame Faiz,Lille,FRA,MF,18,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Guglielmo Vicario,Tottenham,ITA,GK,26,40.0,3,0,0,0,8,0,0,1,0,0,0,0,61,21,1,95.5,Matches
Pedro Porro,Tottenham,ESP,DF,23,36.3,4,0,0,37,31,1,214,37,70,0,1,0,199,15,14,51.7,Matches
Dejan Kulusevski,Tottenham,SWE,"FW,MF",23,33.2,7,0,0,56,33,11,93,19,33,0,1,0,133,7,15,31.8,Matches
Son Heung-min,Tottenham,KOR,FW,31,33.2,1,0,0,12,39,20,37,8,13,1,1,1,80,5,16,23.8,Matches
Cristian Romero,Tottenham,ARG,DF,25,32.0,7,1,0,33,26,1,3,44,41,0,2,1,189,87,39,69.0,Matches
Destiny Udogie,Tottenham,ITA,DF,20,28.6,8,1,1,53,42,3,25,39,35,0,0,0,169,22,26,45.8,Matches
Micky van de Ven,Tottenham,NED,DF,22,28.3,6,0,0,15,20,1,3,20,36,0,1,1,144,38,41,48.1,Matches
Brennan Johnson,Tottenham,WAL,FW,22,24.9,3,0,0,19,29,13,74,11,15,0,0,0,75,5,16,23.8,Matches
James Maddison,Tottenham,ENG,MF,26,24.4,5,0,0,21,75,2,136,13,19,0,0,0,60,3,6,33.3,Matches
Pape Matar Sarr,Tottenham,SEN,MF,20,23.5,9,0,0,32,17,0,25,31,25,0,0,0,144,24,27,47.1,Matches
Yves Bissouma,Tottenham,MLI,MF,26,23.0,10,2,1,35,31,0,1,37,52,0,0,0,128,14,15,48.3,Matches
Richarlison,Tottenham,BRA,FW,26,19.3,3,0,0,23,37,15,15,8,11,0,0,0,42,25,57,30.5,Matches
Pierre Højbjerg,Tottenham,DEN,MF,27,17.0,4,0,0,22,17,0,14,20,21,0,0,1,121,8,13,38.1,Matches
Emerson,Tottenham,BRA,DF,24,15.2,4,0,0,16,43,1,14,20,26,0,0,0,82,15,21,41.7,Matches
Ben Davies,Tottenham,WAL,DF,30,14.4,2,0,0,10,20,0,11,13,19,1,0,0,53,29,21,58.0,Matches
Rodrigo Bentancur,Tottenham,URU,MF,26,12.9,7,0,0,22,18,0,9,19,16,0,0,0,54,14,22,38.9,Matches
Timo Werner,Tottenham,GER,FW,27,10.0,1,0,0,4,6,12,29,3,4,0,0,0,27,1,2,33.3,Matches
Oliver Skipp,Tottenham,ENG,"MF,DF",22,9.7,4,0,0,12,14,0,3,5,13,0,0,0,36,3,10,23.1,Matches
Giovani Lo Celso,Tottenham,ARG,MF,27,6.8,2,0,0,15,28,1,13,5,14,0,1,0,46,1,5,16.7,Matches
Radu Drăgușin,Tottenham,ROU,DF,21,4.8,1,0,0,6,4,1,0,8,3,0,0,0,21,9,6,60.0,Matches
Manor Solomon,Tottenham,ISR,FW,24,3.1,1,0,0,2,1,1,5,4,4,0,0,0,11,0,1,0.0,Matches
Bryan Gil,Tottenham,ESP,"FW,MF",22,2.7,1,0,0,4,4,1,11,4,0,0,0,0,16,0,3,0.0,Matches
Eric Dier,Tottenham,ENG,DF,29,2.2,0,0,0,0,1,2,0,2,1,0,0,0,7,3,5,37.5,Matches
Davinson Sánchez,Tottenham,COL,DF,27,2.2,1,0,0,3,1,0,0,2,0,0,0,0,4,3,1,75.0,Matches
Ivan Perišić,Tottenham,CRO,FW,34,1.9,2,0,0,4,1,0,18,3,2,0,0,0,3,5,0,100.0,Matches
Fraser Forster,Tottenham,ENG,GK,35,1.3,0,0,0,0,0,0,0,0,0,,,0,,,,,Matches
Dane Scarlett,Tottenham,ENG,FW,19,1.2,0,0,0,2,3,1,0,1,1,0,0,0,0,0,2,0.0,Matches
Alejo Véliz,Tottenham,ARG,FW,19,0.6,1,0,0,0,1,3,0,0,0,0,0,0,0,1,2,33.3,Matches
Jamie Donley,Tottenham,ENG,FW,18,0.1,1,0,0,1,1,0,0,0,1,0,0,0,2,1,1,50.0,Matches
Ryan Sessegnon,Tottenham,ENG,"DF,FW",23,0.1,0,0,0,1,0,0,0,0,0,,,0,,,,,Matches
Mikey Moore,Tottenham,ENG,MF,15,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Bryan Cristante,Roma,ITA,"MF,DF",28,50.4,13,0,0,91,20,4,38,37,54,0,1,0,275,107,76,58.5,Matches
Gianluca Mancini,Roma,ITA,DF,27,44.9,12,1,0,63,41,1,33,51,32,0,0,1,147,62,46,57.4,Matches
Romelu Lukaku,Roma,BEL,FW,30,43.3,5,1,0,32,29,32,18,2,7,0,0,0,65,68,73,48.2,Matches
Leandro Paredes,Roma,ARG,MF,29,42.7,18,1,0,42,51,0,106,51,51,0,1,0,255,16,6,72.7,Matches
Obite N'Dicka,Roma,CIV,DF,23,32.5,11,0,0,36,21,1,12,20,21,0,0,0,135,48,35,57.8,Matches
Diego Llorente,Roma,ESP,DF,29,31.9,7,0,0,33,28,0,7,34,26,0,1,0,133,63,57,52.5,Matches
Stephan El Shaarawy,Roma,ITA,"FW,DF",30,31.0,2,0,0,16,38,10,33,25,22,0,0,0,121,12,18,40.0,Matches
Mile Svilar,Roma,SRB,GK,23,30.3,2,0,0,0,8,0,0,0,1,0,0,0,32,9,1,90.0,Matches
Lorenzo Pellegrini,Roma,ITA,MF,27,30.2,10,0,0,39,52,5,97,25,32,1,0,0,129,17,22,43.6,Matches
Paulo Dybala,Roma,ARG,"FW,MF",29,29.5,3,0,0,15,77,7,113,5,17,0,0,0,106,8,24,25.0,Matches
Edoardo Bove,Roma,ITA,MF,21,29.2,5,0,0,46,62,1,12,22,49,0,0,0,138,44,43,50.6,Matches
Rui Patrício,Roma,POR,GK,35,24.0,1,0,0,1,1,0,0,0,0,0,1,0,12,2,0,100.0,Matches
Leonardo Spinazzola,Roma,ITA,DF,30,22.9,3,0,0,14,11,1,115,4,14,0,0,0,111,7,11,38.9,Matches
Rasmus Kristensen,Roma,DEN,DF,26,20.9,5,0,0,17,8,1,46,11,20,1,0,1,67,30,21,58.8,Matches
Rick Karsdorp,Roma,NED,DF,28,20.0,3,0,0,12,11,0,37,17,21,1,0,0,74,6,4,60.0,Matches
Nicola Zalewski,Roma,POL,"DF,FW",21,17.2,4,1,1,26,40,6,61,15,21,0,0,0,75,13,9,59.1,Matches
Zeki Çelik,Roma,TUR,DF,26,17.0,3,1,0,30,5,3,31,20,31,0,0,0,70,10,18,35.7,Matches
Angeliño,Roma,ESP,DF,26,14.2,2,0,0,15,10,1,62,14,14,0,0,1,61,15,10,60.0,Matches
Houssem Aouar,Roma,ALG,"MF,FW",25,12.8,3,0,0,20,19,5,11,6,16,0,0,0,62,14,15,48.3,Matches
Andrea Belotti,Roma,ITA,FW,29,11.2,2,0,0,20,41,10,7,3,11,0,0,0,27,19,33,36.5,Matches
Sardar Azmoun,Roma,IRN,"FW,MF",28,9.1,4,1,0,12,14,4,4,6,7,3,0,0,25,13,19,40.6,Matches
Chris Smalling,Roma,ENG,DF,33,7.4,0,0,0,3,5,0,0,6,3,0,0,0,27,30,14,68.2,Matches
Tommaso Baldanzi,Roma,ITA,"FW,MF",20,7.3,2,0,0,9,18,2,9,1,5,0,0,0,27,0,3,0.0,Matches
Dean Huijsen,Roma,ESP,DF,18,6.5,4,0,0,11,3,0,1,4,5,1,0,1,24,9,7,56.3,Matches
Tammy Abraham,Roma,ENG,FW,25,3.6,1,0,0,7,9,2,2,1,1,1,0,0,2,14,12,53.8,Matches
Renato Sanches,Roma,POR,MF,25,3.0,2,0,0,9,5,0,5,1,1,0,1,0,16,5,2,71.4,Matches
Riccardo Pagano,Roma,ITA,"MF,DF",18,1.4,0,0,0,5,0,0,1,1,4,0,0,0,8,0,1,0.0,Matches
Niccolò Pisilli,Roma,ITA,MF,18,0.3,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,100.0,Matches
Ola Solbakken,Roma,NOR,FW,24,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0.0,Matches
João Costa,Roma,BRA,"MF,FW",18,0.2,1,0,0,3,1,0,1,0,2,0,0,0,2,0,2,0.0,Matches
Francesco D'Alessio,Roma,ITA,MF,19,0.2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,Matches
Mattia Mannini,Roma,ITA,DF,17,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches
Luigi Cherubini,Roma,ITA,FW,19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Conor Gallagher,Chelsea,ENG,MF,23,45.1,10,1,1,101,79,2,88,54,65,0,0,0,221,25,28,47.2,Matches
Moisés Caicedo,Chelsea,ECU,MF,21,43.6,14,0,0,74,70,0,12,48,66,0,1,0,200,30,31,49.2,Matches
Axel Disasi,Chelsea,FRA,DF,25,41.0,6,0,0,23,21,4,14,24,24,0,0,2,150,72,31,69.9,Matches
Cole Palmer,Chelsea,ENG,"FW,MF",21,40.3,8,0,0,27,39,8,114,28,17,1,0,0,105,1,4,20.0,Matches
Nicolas Jackson,Chelsea,SEN,FW,22,39.1,10,0,0,38,48,34,6,8,19,0,0,0,98,35,63,35.7,Matches
Enzo Fernández,Chelsea,ARG,MF,22,34.3,10,0,0,41,49,4,55,25,43,1,1,0,122,21,23,47.7,Matches
Thiago Silva,Chelsea,BRA,DF,38,33.9,6,0,0,13,11,1,4,32,21,0,0,0,140,51,26,66.2,Matches
Đorđe Petrović,Chelsea,SRB,GK,23,30.7,4,0,0,0,1,0,0,0,0,0,0,0,17,5,0,100.0,Matches
Raheem Sterling,Chelsea,ENG,"FW,MF",28,30.6,8,0,0,43,49,12,82,17,16,3,0,0,92,2,14,12.5,Matches
Malo Gusto,Chelsea,FRA,DF,20,27.8,7,1,0,25,38,9,101,20,45,0,1,0,126,8,19,29.6,Matches
Levi Colwill,Chelsea,ENG,DF,20,27.0,3,0,0,28,19,4,14,35,35,0,0,0,96,43,20,68.3,Matches
Marc Cucurella,Chelsea,ESP,DF,25,24.8,10,0,0,27,39,4,24,26,51,1,1,1,96,22,17,56.4,Matches
Mykhailo Mudryk,Chelsea,UKR,FW,22,22.7,7,0,0,24,36,1,102,12,15,2,0,0,50,7,13,35.0,Matches
Robert Sánchez,Chelsea,ESP,GK,25,20.9,2,0,0,1,1,0,0,0,0,0,0,0,20,3,0,100.0,Matches
Benoît Badiashile,Chelsea,FRA,DF,22,18.8,3,0,0,18,8,1,2,19,16,0,1,1,82,28,22,56.0,Matches
Noni Madueke,Chelsea,ENG,FW,21,17.7,2,0,0,14,27,4,34,5,17,2,0,0,54,7,10,41.2,Matches
Trevoh Chalobah,Chelsea,ENG,DF,24,13.7,2,0,0,5,3,0,1,11,13,0,0,0,46,19,22,46.3,Matches
Ben Chilwell,Chelsea,ENG,DF,26,13.0,6,0,0,18,18,5,59,10,14,0,0,0,33,12,15,44.4,Matches
Armando Broja,Chelsea,ALB,FW,21,8.1,0,0,0,7,9,10,3,0,1,1,0,0,13,4,14,22.2,Matches
Lesley Ugochukwu,Chelsea,FRA,MF,19,6.3,3,0,0,8,2,0,1,3,16,0,0,0,12,9,2,81.8,Matches
Christopher Nkunku,Chelsea,FRA,"FW,MF",25,6.1,0,0,0,8,7,4,6,3,4,0,0,0,12,10,6,62.5,Matches
Reece James,Chelsea,ENG,DF,23,5.3,2,2,1,5,6,2,29,4,10,0,0,0,28,8,5,61.5,Matches
Alfie Gilchrist,Chelsea,ENG,DF,19,4.8,1,0,0,4,0,0,2,7,2,0,0,0,9,2,4,33.3,Matches
Ian Maatsen,Chelsea,NED,"FW,MF",21,4.6,2,0,0,9,3,0,10,5,5,0,0,0,11,3,5,37.5,Matches
Carney Chukwuemeka,Chelsea,ENG,"MF,FW",19,2.9,2,0,0,3,2,0,1,0,7,0,0,0,11,1,3,25.0,Matches
Bashir Humphreys,Chelsea,ENG,DF,20,1.0,0,0,0,0,1,0,0,0,1,,,0,,,,,Matches
Cesare Casadei,Chelsea,ITA,"FW,MF",20,0.9,0,0,0,4,1,0,0,0,3,0,0,0,1,12,4,75.0,Matches
Mason Burstow,Chelsea,ENG,FW,19,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Diego Moreira,Chelsea,POR,MF,18,0.5,0,0,0,0,0,1,6,2,0,,,0,,,,,Matches
Roméo Lavia,Chelsea,BEL,MF,19,0.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,Matches
Deivid Washington,Chelsea,BRA,"DF,FW",18,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
Leo Castledine,Chelsea,ENG,MF,17,0.1,0,0,0,0,0,0,0,0,0,,,0,,,,,Matches
Joshua Acheampong,Chelsea,ENG,DF,17,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Alex Matos,Chelsea,ENG,MF,18,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Michael Golding,Chelsea,ENG,MF,17,0.0,0,0,0,0,0,0,0,0,0,,,0,,,,,Matches
Jimi Tauriainen,Chelsea,ENG,FW,19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Marcin Bułka,Nice,POL,GK,23,38.3,3,0,0,0,4,0,0,1,0,0,0,0,52,8,2,80.0,Matches
Dante,Nice,BRA,DF,39,34.4,5,1,0,44,17,0,10,40,33,0,1,0,219,55,31,64.0,Matches
Jean-Clair Todibo,Nice,FRA,DF,23,32.3,3,1,0,26,18,0,12,41,32,0,0,1,212,39,26,60.0,Matches
Melvin Bard,Nice,FRA,DF,22,31.4,7,1,0,42,26,1,77,43,38,0,1,0,204,23,29,44.2,Matches
Pablo Rosario,Nice,NED,"MF,DF",26,26.7,7,0,0,23,21,2,7,35,32,1,1,0,92,35,22,61.4,Matches
Gaëtan Laborde,Nice,FRA,"FW,MF",29,24.7,2,0,0,29,12,4,72,6,13,0,1,0,63,32,32,50.0,Matches
Khéphren Thuram,Nice,FRA,MF,22,24.7,7,0,0,34,24,2,23,20,29,0,0,0,129,19,17,52.8,Matches
Morgan Sanson,Nice,FRA,MF,28,24.5,4,0,0,32,39,2,127,23,22,0,1,0,125,8,18,30.8,Matches
Jordan Lotomba,Nice,SUI,DF,24,23.3,4,0,0,13,27,0,27,23,33,0,1,0,72,21,15,58.3,Matches
Terem Moffi,Nice,NGA,FW,24,23.3,4,0,0,33,19,14,7,4,6,0,0,0,36,20,39,33.9,Matches
Jeremie Boga,Nice,CIV,FW,26,23.2,1,0,0,7,25,9,88,8,9,0,0,0,73,3,4,42.9,Matches
Youssouf Ndayishimiye,Nice,BDI,"MF,DF",24,21.5,6,1,0,17,13,0,1,14,22,0,0,0,95,35,22,61.4,Matches
Evann Guessand,Nice,CIV,FW,22,19.9,1,0,0,35,55,6,13,13,9,3,0,0,56,24,26,48.0,Matches
Hicham Boudaoui,Nice,ALG,MF,23,17.9,5,0,0,25,29,1,23,11,19,1,0,0,88,22,27,44.9,Matches
Mohamed Ali Cho,Nice,FRA,FW,19,11.1,2,0,0,20,25,5,51,3,11,1,1,0,30,5,12,29.4,Matches
Tom Louchet,Nice,FRA,"MF,DF",20,7.9,1,0,0,10,6,0,56,7,10,1,0,0,13,4,8,33.3,Matches
Alexis Claude-Maurice,Nice,FRA,MF,25,7.4,2,0,0,19,16,1,28,10,10,0,0,0,27,3,3,50.0,Matches
Antoine Mendy,Nice,FRA,DF,19,6.2,0,0,0,5,5,0,5,8,10,0,1,0,22,7,12,36.8,Matches
Sofiane Diop,Nice,FRA,FW,23,5.5,0,0,0,9,12,8,13,3,6,0,0,0,28,1,4,20.0,Matches
Romain Perraud,Nice,FRA,"DF,FW",25,5.1,2,0,0,5,10,0,24,6,7,0,0,0,19,6,6,50.0,Matches
Youcef Atal,Nice,ALG,DF,27,4.0,2,0,0,3,4,0,6,4,3,0,0,0,28,2,2,50.0,Matches
Badredine Bouanani,Nice,ALG,FW,18,2.0,0,0,0,4,5,1,8,3,2,0,0,0,8,0,1,0.0,Matches
Ayoub Amraoui,Nice,MAR,DF,19,1.3,0,0,0,1,0,0,6,1,2,,,0,,,,,Matches
Aliou Baldé,Nice,GUI,"FW,DF",20,1.2,1,0,0,4,3,0,5,4,1,0,0,0,6,1,2,33.3,Matches
Reda Belahyane,Nice,FRA,MF,19,1.1,0,0,0,2,0,0,1,1,1,0,0,0,5,0,0,,Matches
Valentin Rosier,Nice,FRA,"DF,MF",26,0.6,0,0,0,0,1,0,0,2,0,0,0,0,3,1,0,100.0,Matches
Robson Bambu,Nice,BRA,DF,25,0.5,0,0,0,0,0,0,0,1,3,,,0,,,,,Matches
Daouda Traoré,Nice,FRA,MF,17,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Matches
Bilal Brahimi,Nice,ALG,FW,23,0.1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,,Matches
Amidou Doumbouya,Nice,FRA,MF,15,0.0,0,0,0,1,0,0,0,0,0,,,0,,,,,Matches
Adam Marušić,Lazio,MNE,DF,30,44.2,4,1,0,33,15,4,56,39,41,0,1,0,176,34,33,50.7,Matches
Felipe Anderson,Lazio,BRA,FW,30,41.2,3,0,0,39,47,4,71,41,63,0,0,0,169,16,19,45.7,Matches
Ivan Provedel,Lazio,ITA,GK,29,40.0,0,0,0,0,9,0,0,0,0,0,0,0,47,5,0,100.0,Matches
Alessio Romagnoli,Lazio,ITA,DF,28,36.8,12,0,0,49,26,1,1,32,24,0,0,0,153,83,59,58.5,Matches
Mattéo Guendouzi,Lazio,FRA,MF,24,36.3,6,1,0,33,49,0,57,33,24,0,1,0,144,14,33,29.8,Matches
Luis Alberto,Lazio,ESP,MF,30,35.0,8,0,0,18,30,7,203,14,24,0,0,0,172,11,22,33.3,Matches
Mattia Zaccagni,Lazio,ITA,FW,28,27.7,9,0,0,31,107,9,79,27,21,1,0,0,98,14,13,51.9,Matches
Mario Gila,Lazio,ESP,DF,22,27.4,4,1,1,27,27,1,9,26,23,0,0,0,130,35,48,42.2,Matches
Ciro Immobile,Lazio,ITA,FW,33,26.1,9,0,0,32,35,19,9,6,11,2,0,0,45,20,38,34.5,Matches
Manuel Lazzari,Lazio,ITA,DF,29,24.9,4,1,0,20,28,1,67,18,26,0,0,0,97,6,17,26.1,Matches
Patric,Lazio,ESP,DF,30,24.7,6,0,0,11,9,0,14,12,12,0,0,0,99,12,22,35.3,Matches
Valentín Castellanos,Lazio,ARG,FW,24,23.8,5,0,0,51,40,22,18,3,11,1,0,0,55,81,72,52.9,Matches
Matías Vecino,Lazio,URU,MF,31,21.4,12,0,0,48,8,2,9,19,25,0,0,0,89,40,40,50.0,Matches
Daichi Kamada,Lazio,JPN,MF,26,21.1,3,0,0,45,18,2,13,20,41,0,0,0,87,4,17,19.0,Matches
Nicolò Casale,Lazio,ITA,DF,25,20.8,6,0,0,26,9,0,0,13,14,0,1,0,85,23,24,48.9,Matches
Elseid Hysaj,Lazio,ALB,DF,29,19.3,2,0,0,17,10,3,22,22,19,0,0,0,88,16,14,53.3,Matches
Danilo Cataldi,Lazio,ITA,MF,28,19.1,9,0,0,21,11,0,37,19,18,0,0,0,110,6,4,60.0,Matches
Nicolò Rovella,Lazio,ITA,MF,21,18.0,9,0,0,46,20,0,23,27,33,0,0,0,109,11,9,55.0,Matches
Gustav Isaksen,Lazio,DEN,FW,22,16.2,3,0,0,20,33,4,42,6,3,1,0,0,52,7,9,43.8,Matches
Pedro,Lazio,ESP,FW,36,13.2,8,1,1,17,25,5,27,4,14,0,0,0,58,2,12,14.3,Matches
Luca Pellegrini,Lazio,ITA,DF,24,12.1,10,1,1,23,14,0,35,17,15,0,0,0,56,13,7,65.0,Matches
Christos Mandas,Lazio,GRE,GK,21,11.0,0,0,0,0,3,0,0,1,0,0,0,0,10,2,0,100.0,Matches
Toma Bašić,Lazio,CRO,MF,26,0.1,0,0,0,0,0,0,0,1,0,,,0,,,,,Matches
Bruno Guimarães,Newcastle Utd,BRA,MF,25,48.7,14,0,0,68,139,0,41,49,72,0,0,0,286,20,28,41.7,Matches
Fabian Schär,Newcastle Utd,SUI,DF,31,44.3,9,0,0,42,32,1,8,45,36,2,0,0,204,73,82,47.1,Matches
Anthony Gordon,Newcastle Utd,ENG,FW,22,42.7,14,1,1,47,92,9,124,10,46,6,0,0,139,11,20,35.5,Matches
Sean Longstaff,Newcastle Utd,ENG,MF,25,40.8,8,0,0,36,48,2,33,28,38,0,0,0,146,19,22,46.3,Matches
Dan Burn,Newcastle Utd,ENG,DF,31,38.4,4,0,0,40,11,5,15,40,43,0,1,0,127,115,49,70.1,Matches
Kieran Trippier,Newcastle Utd,ENG,DF,32,34.5,5,0,0,41,27,5,289,29,37,0,0,0,196,33,24,57.9,Matches
Alexander Isak,Newcastle Utd,SWE,FW,23,32.9,1,0,0,21,23,19,10,7,2,1,0,0,47,13,45,22.4,Matches
Miguel Almirón,Newcastle Utd,PAR,FW,29,30.7,4,0,0,23,38,13,32,17,52,0,0,0,121,6,8,42.9,Matches
Martin Dúbravka,Newcastle Utd,SVK,GK,34,29.7,1,0,0,2,5,0,0,0,1,0,2,0,30,4,0,100.0,Matches
Jamaal Lascelles,Newcastle Utd,ENG,DF,29,21.7,6,0,0,27,4,1,1,11,16,0,0,0,74,64,31,67.4,Matches
Valentino Livramento,Newcastle Utd,ENG,"DF,FW",20,21.5,1,0,0,8,38,1,32,33,28,0,1,0,103,15,9,62.5,Matches
Nick Pope,Newcastle Utd,ENG,GK,31,20.9,3,0,0,0,4,0,0,0,0,0,0,0,18,3,1,75.0,Matches
Joelinton,Newcastle Utd,BRA,"MF,FW",26,20.4,9,0,0,45,30,0,7,28,38,0,0,0,110,22,32,40.7,Matches
Sven Botman,Newcastle Utd,NED,DF,23,19.7,2,0,0,10,4,1,0,9,16,0,1,1,74,35,19,64.8,Matches
