Player Name,Club Name,Country,Position,DefensiveErrors,TacklesAttempted,TackleWon,TacklesinDef3rd,TacklesinMid3rd,TacklesinAtt3rd,DribblesStopped,PassesBlocked,DribblesWinningPerc,DribblesNotStopped,TotalBlocks,ShotsBlocked,PassesBlocked,Tackles+Interception,Clearances,Sh
Robin Olsen,Aston Villa,SWE,GK,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,Matches
Leander Dendoncker,Aston Villa,BEL,MF,1,6,5,3,2,1,4,4,80,1,6,2,4,9,6,Matches
Tim Iroegbunam,Aston Villa,ENG,MF,0,9,6,4,4,1,4,3,40,6,4,1,6,15,3,Matches
Calum Chambers,Aston Villa,ENG,"MF,DF",0,4,1,4,0,0,1,2,50,1,4,2,4,8,5,Matches
Filip Marshall,Aston Villa,ENG,GK,0,1,1,1,0,0,1,0,100,0,0,0,0,1,2,Matches
Omari Kellyman,Aston Villa,ENG,FW,0,1,1,0,1,0,1,0,50,1,0,0,0,1,0,Matches
Tyrone Mings,Aston Villa,ENG,DF,0,0,0,0,0,0,0,0,,0,0,0,1,1,1,Matches
Bertrand Traoré,Aston Villa,BFA,"DF,FW",0,1,1,1,0,0,0,0,,0,0,0,0,1,1,Matches
Philippe Coutinho,Aston Villa,BRA,"MF,FW",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Tommi O'Reilly,Aston Villa,ENG,MF,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,Matches
Kaine Kesler-Hayden,Aston Villa,ENG,"MF,DF",0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Matches
Finley Munroe,Aston Villa,ENG,MF,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,Matches
Cameron Archer,Aston Villa,ENG,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Jaden Philogene Bidace,Aston Villa,ENG,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Lucas Chevalier,Lille,FRA,GK,3,3,0,3,0,0,3,1,75,1,1,0,0,3,13,Matches
Benjamin André,Lille,FRA,MF,0,113,74,45,60,8,52,37,51,50,44,7,51,161,78,Matches
Leny Yoro,Lille,FRA,DF,1,40,29,29,8,3,18,6,54.5,15,22,16,45,83,115,Matches
Jonathan David,Lille,CAN,FW,0,29,18,8,13,8,9,20,29,22,21,1,11,39,6,Matches
Tiago Santos,Lille,POR,DF,0,75,54,38,23,14,37,26,58.7,26,32,6,20,95,54,Matches
Angel Gomes,Lille,ENG,MF,1,32,19,5,19,8,17,21,42.5,23,27,6,20,52,33,Matches
Ismaily,Lille,BRA,DF,0,82,59,38,27,17,38,30,55.1,31,37,7,39,116,86,Matches
Edon Zhegrova,Lille,KVX,FW,0,36,24,9,18,9,14,17,34.1,27,18,1,10,46,9,Matches
Alexsandro Ribeiro,Lille,BRA,DF,5,38,29,28,10,0,22,12,56.4,17,33,21,44,78,146,Matches
Nabil Bentaleb,Lille,ALG,MF,0,57,36,33,21,3,25,24,49,26,38,14,50,106,39,Matches
Gabriel Gudmundsson,Lille,SWE,"DF,FW",1,36,29,15,16,5,17,15,58.6,12,21,6,23,59,39,Matches
Bafodé Diakité,Lille,FRA,DF,1,31,22,13,16,2,25,11,75.8,8,22,11,24,55,62,Matches
Yusuf Yazıcı,Lille,TUR,"MF,FW",0,21,13,6,10,5,4,11,19,17,12,1,6,27,9,Matches
Rémy Cabella,Lille,FRA,"FW,MF",0,73,48,25,31,17,28,45,39.4,43,46,1,7,80,8,Matches
Hákon Arnar Haraldsson,Lille,ISL,"FW,MF",0,14,11,4,9,1,5,8,20.8,19,11,3,9,23,11,Matches
Ivan Cavaleiro,Lille,POR,FW,0,11,7,3,5,3,8,8,36.4,14,10,2,5,16,7,Matches
Samuel Umtiti,Lille,FRA,DF,0,6,5,5,1,0,5,2,55.6,4,3,1,6,11,14,Matches
Ayyoub Bouaddi,Lille,FRA,MF,1,16,8,11,5,0,6,6,37.5,10,7,1,5,19,8,Matches
Adam Ounas,Lille,ALG,FW,0,7,4,2,3,2,5,3,50,5,3,0,11,15,3,Matches
Vito Mannone,Lille,ITA,GK,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Akim Zedadka,Lille,ALG,DF,0,2,5,0,2,0,2,2,100,0,2,0,2,3,2,Matches
Alan Virginius,Lille,FRA,FW,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,Matches
Ignacio Miramon,Lille,ARG,MF,0,2,1,0,2,0,0,1,0,1,1,0,1,3,0,Matches
Amine Messoussa,Lille,FRA,FW,0,1,0,0,1,0,0,0,,0,0,0,0,1,0,Matches
Tiago Fonseca Morais,Lille,POR,FW,0,1,1,0,1,0,0,0,,0,0,0,1,2,0,Matches
Carlos Baleba,Lille,CMR,MF,0,6,2,1,4,1,3,0,75,1,0,0,2,8,0,Matches
Aaron Malouda,Lille,FRA,FW,0,1,0,0,0,1,0,0,,0,0,0,0,1,0,Matches
Trévis Dago,Lille,CIV,"FW,MF",0,0,0,0,0,0,0,0,,0,0,0,1,1,0,Matches
Andrej Ilic,Lille,SRB,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Joffrey Bazié,Lille,BFA,FW,0,1,1,0,1,0,1,0,100,0,0,0,0,1,0,Matches
Ichem Ferrah,Lille,FRA,FW,0,2,0,0,2,0,2,1,50,2,1,0,0,2,0,Matches
Adame Faiz,Lille,FRA,MF,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,Matches
Guglielmo Vicario,Tottenham,ITA,GK,2,0,0,0,0,0,0,0,0,1,0,0,1,1,31,Matches
Pedro Porro,Tottenham,ESP,DF,3,91,70,43,34,14,62,45,51.7,58,63,18,37,125,102,Matches
Dejan Kulusevski,Tottenham,SWE,"FW,MF",1,62,33,19,20,23,25,23,37.3,42,24,1,19,80,2,Matches
Son Heung-min,Tottenham,KOR,FW,0,21,13,6,7,8,10,3,47.6,11,4,1,8,29,4,Matches
Cristian Romero,Tottenham,ARG,DF,1,66,41,35,25,6,32,24,72.7,12,46,22,44,110,106,Matches
Destiny Udogie,Tottenham,ITA,DF,5,68,35,41,16,11,27,19,55.1,22,27,8,39,105,80,Matches
Micky van de Ven,Tottenham,NED,DF,1,49,36,34,12,3,24,10,72.7,9,25,15,20,67,78,Matches
Brennan Johnson,Tottenham,WAL,FW,1,26,15,14,5,7,12,36,38.7,19,37,1,11,36,12,Matches
James Maddison,Tottenham,ENG,MF,1,33,19,5,18,10,15,12,51.7,14,15,3,13,46,10,Matches
Pape Matar Sarr,Tottenham,SEN,MF,1,34,25,11,17,6,15,16,41.7,21,21,5,31,65,28,Matches
Yves Bissouma,Tottenham,MLI,MF,3,80,52,32,36,12,41,23,67.2,20,28,5,37,117,43,Matches
Richarlison,Tottenham,BRA,FW,0,16,11,4,8,4,2,26,20,8,32,6,8,24,23,Matches
Pierre Højbjerg,Tottenham,DEN,MF,3,32,21,13,17,2,13,14,38.2,21,21,7,20,51,30,Matches
Emerson,Tottenham,BRA,DF,1,36,26,23,10,3,21,13,48.8,22,23,10,20,56,50,Matches
Ben Davies,Tottenham,WAL,DF,0,24,19,13,8,3,16,2,76.2,5,17,15,13,34,35,Matches
Rodrigo Bentancur,Tottenham,URU,MF,1,23,16,10,11,2,10,11,41.7,14,15,4,19,40,16,Matches
Timo Werner,Tottenham,GER,FW,0,7,4,3,4,0,5,12,27.8,13,12,0,3,10,2,Matches
Oliver Skipp,Tottenham,ENG,"MF,DF",0,18,13,9,6,3,11,11,61.1,7,12,1,5,21,9,Matches
Giovani Lo Celso,Tottenham,ARG,MF,0,22,14,10,8,4,9,3,64.3,5,4,1,5,27,2,Matches
Radu Drăgușin,Tottenham,ROU,DF,0,5,3,5,0,0,3,1,100,0,5,4,8,13,19,Matches
Manor Solomon,Tottenham,ISR,FW,0,3,4,1,1,1,1,4,50,1,4,0,4,6,2,Matches
Bryan Gil,Tottenham,ESP,"FW,MF",0,1,0,0,0,1,1,3,25,3,3,0,4,4,4,Matches
Eric Dier,Tottenham,ENG,DF,0,2,1,2,0,0,2,0,100,0,3,3,2,4,12,Matches
Davinson Sánchez,Tottenham,COL,DF,0,0,0,0,0,0,0,1,,0,3,2,2,1,2,Matches
Ivan Perišić,Tottenham,CRO,FW,0,3,2,1,1,1,3,1,60,2,1,0,3,5,1,Matches
Fraser Forster,Tottenham,ENG,GK,,,0,,,,,,,,,,0,0,,Matches
Dane Scarlett,Tottenham,ENG,FW,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,Matches
Alejo Véliz,Tottenham,ARG,FW,0,1,0,1,0,0,0,0,,0,0,0,0,1,0,Matches
Jamie Donley,Tottenham,ENG,FW,0,0,1,0,0,0,0,0,,0,0,0,0,0,3,Matches
Ryan Sessegnon,Tottenham,ENG,"DF,FW",,,0,,,,,,,,,,0,0,,Matches
Mikey Moore,Tottenham,ENG,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Matches
Bryan Cristante,Roma,ITA,"MF,DF",2,96,54,48,36,12,39,40,57.4,29,51,11,37,133,70,Matches
Gianluca Mancini,Roma,ITA,DF,1,50,32,31,16,3,18,16,46.2,21,55,39,51,98,104,Matches
Romelu Lukaku,Roma,BEL,FW,1,10,7,1,5,4,4,7,50,4,11,4,2,12,28,Matches
Leandro Paredes,Roma,ARG,MF,1,73,51,37,30,6,42,31,41.2,60,42,11,51,122,74,Matches
Obite N'Dicka,Roma,CIV,DF,0,39,21,17,21,1,15,20,55.6,12,40,20,20,59,107,Matches
Diego Llorente,Roma,ESP,DF,0,42,26,28,13,1,20,18,58.8,14,48,30,34,76,111,Matches
Stephan El Shaarawy,Roma,ITA,"FW,DF",2,35,22,23,8,4,14,16,51.9,13,24,8,25,58,28,Matches
Mile Svilar,Roma,SRB,GK,1,1,1,1,0,0,1,0,100,0,0,0,0,1,6,Matches
Lorenzo Pellegrini,Roma,ITA,MF,0,46,32,21,20,5,24,36,33.3,48,43,7,25,70,34,Matches
Paulo Dybala,Roma,ARG,"FW,MF",1,27,17,4,12,11,5,15,18.5,22,15,0,5,32,8,Matches
Edoardo Bove,Roma,ITA,MF,1,86,49,32,39,15,47,28,60.3,31,33,5,22,106,16,Matches
Rui Patrício,Roma,POR,GK,1,0,0,0,0,0,0,1,0,1,1,0,0,0,3,Matches
Leonardo Spinazzola,Roma,ITA,DF,0,27,14,19,8,0,14,9,46.7,16,19,10,4,31,25,Matches
Rasmus Kristensen,Roma,DEN,DF,0,36,20,25,8,3,28,20,56,22,27,7,11,44,50,Matches
Rick Karsdorp,Roma,NED,DF,1,29,21,14,8,7,19,12,65.5,10,16,4,17,45,25,Matches
Nicola Zalewski,Roma,POL,"DF,FW",0,30,21,16,13,1,12,8,38.7,19,13,5,15,45,29,Matches
Zeki Çelik,Roma,TUR,DF,2,45,31,19,18,8,26,20,56.5,20,27,7,20,64,52,Matches
Angeliño,Roma,ESP,DF,1,25,14,16,6,3,13,8,61.9,8,15,7,14,39,42,Matches
Houssem Aouar,Roma,ALG,"MF,FW",1,23,16,6,14,3,5,10,27.8,13,10,0,6,29,5,Matches
Andrea Belotti,Roma,ITA,FW,0,15,11,6,5,4,5,8,50,5,8,0,3,18,8,Matches
Sardar Azmoun,Roma,IRN,"FW,MF",1,11,7,4,5,2,4,3,40,6,4,1,6,17,6,Matches
Chris Smalling,Roma,ENG,DF,0,4,3,4,0,0,1,2,20,4,12,10,6,10,19,Matches
Tommaso Baldanzi,Roma,ITA,"FW,MF",0,10,5,3,4,3,1,3,25,3,3,0,1,11,5,Matches
Dean Huijsen,Roma,ESP,DF,2,10,5,5,5,0,1,3,25,3,7,4,4,14,26,Matches
Tammy Abraham,Roma,ENG,FW,1,3,1,0,1,2,0,1,0,2,1,0,1,4,6,Matches
Renato Sanches,Roma,POR,MF,0,3,1,1,2,0,2,4,50,2,5,1,1,4,1,Matches
Riccardo Pagano,Roma,ITA,"MF,DF",0,6,4,3,2,1,3,1,33.3,6,3,2,1,7,4,Matches
Niccolò Pisilli,Roma,ITA,MF,0,1,0,0,0,1,0,0,,0,0,0,1,2,0,Matches
Ola Solbakken,Roma,NOR,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
João Costa,Roma,BRA,"MF,FW",0,3,2,3,0,0,1,0,100,0,0,0,0,3,0,Matches
Francesco D'Alessio,Roma,ITA,MF,0,2,0,2,0,0,0,0,,0,1,1,1,3,0,Matches
Mattia Mannini,Roma,ITA,DF,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,Matches
Luigi Cherubini,Roma,ITA,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Conor Gallagher,Chelsea,ENG,MF,0,85,65,37,31,17,33,39,42.9,44,50,11,54,128,34,Matches
Moisés Caicedo,Chelsea,ECU,MF,4,91,66,38,42,11,36,34,60,24,59,25,48,128,44,Matches
Axel Disasi,Chelsea,FRA,DF,2,33,24,20,10,3,23,7,76.7,7,26,19,24,51,102,Matches
Cole Palmer,Chelsea,ENG,"FW,MF",2,23,17,9,6,8,8,18,42.1,11,20,2,28,43,13,Matches
Nicolas Jackson,Chelsea,SEN,FW,0,21,19,5,8,8,5,15,20.8,19,20,5,8,25,17,Matches
Enzo Fernández,Chelsea,ARG,MF,0,50,43,22,18,10,27,23,41.5,38,36,13,25,67,28,Matches
Thiago Silva,Chelsea,BRA,DF,4,29,21,22,6,1,20,9,58.8,14,33,24,32,55,153,Matches
Đorđe Petrović,Chelsea,SRB,GK,3,0,0,0,0,0,0,0,,0,0,0,0,0,12,Matches
Raheem Sterling,Chelsea,ENG,"FW,MF",1,21,16,7,8,6,12,13,46.2,14,13,0,17,34,9,Matches
Malo Gusto,Chelsea,FRA,DF,1,55,45,34,15,6,35,24,67.3,17,28,4,20,72,43,Matches
Levi Colwill,Chelsea,ENG,DF,0,48,35,26,17,5,26,18,76.5,8,28,10,35,74,66,Matches
Marc Cucurella,Chelsea,ESP,DF,0,62,51,36,21,5,34,23,53.1,30,36,13,26,84,48,Matches
Mykhailo Mudryk,Chelsea,UKR,FW,0,21,15,9,7,5,10,13,31.3,22,14,1,12,30,9,Matches
Robert Sánchez,Chelsea,ESP,GK,3,0,0,0,0,0,0,0,,0,0,0,0,0,11,Matches
Benoît Badiashile,Chelsea,FRA,DF,2,21,16,12,9,0,9,7,64.3,5,21,14,19,39,66,Matches
Noni Madueke,Chelsea,ENG,FW,0,16,17,8,4,4,11,11,32.4,23,11,0,5,20,14,Matches
Trevoh Chalobah,Chelsea,ENG,DF,0,16,13,10,2,4,10,1,66.7,5,8,7,11,24,51,Matches
Ben Chilwell,Chelsea,ENG,DF,1,15,14,5,9,1,5,8,62.5,3,11,3,10,19,19,Matches
Armando Broja,Chelsea,ALB,FW,0,3,1,0,1,2,1,4,50,1,5,1,0,3,3,Matches
Lesley Ugochukwu,Chelsea,FRA,MF,0,14,16,4,8,2,4,4,40,6,6,2,3,15,5,Matches
Christopher Nkunku,Chelsea,FRA,"FW,MF",0,5,4,0,4,1,1,3,50,1,4,1,3,7,4,Matches
Reece James,Chelsea,ENG,DF,1,14,10,10,3,1,8,0,80,2,4,4,4,17,7,Matches
Alfie Gilchrist,Chelsea,ENG,DF,0,4,2,4,0,0,2,3,40,3,6,3,7,7,11,Matches
Ian Maatsen,Chelsea,NED,"FW,MF",0,3,5,1,1,1,0,4,0,4,4,0,5,6,10,Matches
Carney Chukwuemeka,Chelsea,ENG,"MF,FW",0,6,7,3,3,0,1,0,33.3,2,1,1,0,6,1,Matches
Bashir Humphreys,Chelsea,ENG,DF,,,1,,,,,,,,,,0,0,,Matches
Cesare Casadei,Chelsea,ITA,"FW,MF",0,5,3,2,1,2,2,1,40,3,1,0,0,5,4,Matches
Mason Burstow,Chelsea,ENG,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Diego Moreira,Chelsea,POR,MF,,,0,,,,,,,,,,2,0,,Matches
Roméo Lavia,Chelsea,BEL,MF,0,1,0,0,1,0,0,0,,0,0,0,0,1,1,Matches
Deivid Washington,Chelsea,BRA,"DF,FW",0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,Matches
Leo Castledine,Chelsea,ENG,MF,,,0,,,,,,,,,,0,0,,Matches
Joshua Acheampong,Chelsea,ENG,DF,0,0,0,0,0,0,0,0,,0,3,3,0,0,0,Matches
Alex Matos,Chelsea,ENG,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Michael Golding,Chelsea,ENG,MF,,,0,,,,,,,,,,0,0,,Matches
Jimi Tauriainen,Chelsea,ENG,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Marcin Bułka,Nice,POL,GK,3,0,0,0,0,0,0,0,0,2,0,0,1,0,9,Matches
Dante,Nice,BRA,DF,2,62,33,44,16,2,38,21,73.1,14,43,22,40,99,77,Matches
Jean-Clair Todibo,Nice,FRA,DF,1,58,32,35,17,6,34,19,60.7,22,34,15,41,96,97,Matches
Melvin Bard,Nice,FRA,DF,0,69,38,28,30,11,37,34,58.7,26,46,12,43,111,46,Matches
Pablo Rosario,Nice,NED,"MF,DF",0,36,32,15,16,5,23,14,67.6,11,27,13,35,65,39,Matches
Gaëtan Laborde,Nice,FRA,"FW,MF",1,18,13,8,4,6,11,18,36.7,19,20,2,6,24,8,Matches
Khéphren Thuram,Nice,FRA,MF,0,42,29,13,23,6,20,11,50,20,21,10,20,60,37,Matches
Morgan Sanson,Nice,FRA,MF,0,26,22,12,7,7,12,29,38.7,19,34,5,23,46,16,Matches
Jordan Lotomba,Nice,SUI,DF,1,36,33,18,9,9,25,21,71.4,10,30,9,23,52,26,Matches
Terem Moffi,Nice,NGA,FW,0,7,6,0,5,2,3,13,25,9,14,1,4,10,15,Matches
Jeremie Boga,Nice,CIV,FW,0,18,9,6,10,2,10,24,50,10,26,2,8,26,4,Matches
Youssouf Ndayishimiye,Nice,BDI,"MF,DF",1,31,22,17,12,2,12,8,52.2,11,19,11,14,43,47,Matches
Evann Guessand,Nice,CIV,FW,0,16,9,2,7,7,6,11,85.7,1,12,1,13,28,7,Matches
Hicham Boudaoui,Nice,ALG,MF,0,41,19,16,22,3,21,14,70,9,15,1,11,52,15,Matches
Mohamed Ali Cho,Nice,FRA,FW,0,12,11,4,7,1,3,10,27.3,8,10,0,3,15,6,Matches
Tom Louchet,Nice,FRA,"MF,DF",0,14,10,6,6,2,7,4,63.6,4,7,3,7,17,9,Matches
Alexis Claude-Maurice,Nice,FRA,MF,0,12,10,3,6,3,1,3,20,4,4,1,10,17,7,Matches
Antoine Mendy,Nice,FRA,DF,0,7,10,4,3,0,3,3,42.9,4,4,1,8,15,16,Matches
Sofiane Diop,Nice,FRA,FW,0,8,6,3,4,1,4,4,40,6,4,0,3,11,3,Matches
Romain Perraud,Nice,FRA,"DF,FW",1,7,7,5,1,1,4,4,36.4,7,4,0,6,13,15,Matches
Youcef Atal,Nice,ALG,DF,0,9,3,6,2,1,6,6,75,2,7,1,4,13,1,Matches
Badredine Bouanani,Nice,ALG,FW,0,3,2,1,1,1,3,5,75,1,5,0,3,6,0,Matches
Ayoub Amraoui,Nice,MAR,DF,,,2,,,,,,,,,,1,0,,Matches
Aliou Baldé,Nice,GUI,"FW,DF",0,4,1,0,3,1,1,1,100,0,2,1,4,7,0,Matches
Reda Belahyane,Nice,FRA,MF,0,1,1,0,1,0,1,0,100,0,0,0,1,1,0,Matches
Valentin Rosier,Nice,FRA,"DF,MF",0,1,0,1,0,0,0,1,,0,1,0,2,3,5,Matches
Robson Bambu,Nice,BRA,DF,,,3,,,,,,,,,,1,0,,Matches
Daouda Traoré,Nice,FRA,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Bilal Brahimi,Nice,ALG,FW,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Amidou Doumbouya,Nice,FRA,MF,,,0,,,,,,,,,,0,0,,Matches
Adam Marušić,Lazio,MNE,DF,2,54,41,26,26,2,32,21,57.1,24,33,12,39,91,73,Matches
Felipe Anderson,Lazio,BRA,FW,0,95,63,37,43,15,39,49,35.1,72,52,3,41,134,28,Matches
Ivan Provedel,Lazio,ITA,GK,1,1,0,1,0,0,1,0,33.3,2,0,0,0,1,13,Matches
Alessio Romagnoli,Lazio,ITA,DF,0,32,24,18,14,0,20,14,69,9,36,22,32,63,136,Matches
Mattéo Guendouzi,Lazio,FRA,MF,1,40,24,12,21,7,23,20,42.6,31,27,7,33,66,30,Matches
Luis Alberto,Lazio,ESP,MF,0,39,24,17,14,8,16,39,25.4,47,47,8,14,53,16,Matches
Mattia Zaccagni,Lazio,ITA,FW,0,35,21,13,21,1,13,31,46.4,15,34,3,27,61,17,Matches
Mario Gila,Lazio,ESP,DF,0,40,23,31,8,1,23,14,56.1,18,34,20,26,64,81,Matches
Ciro Immobile,Lazio,ITA,FW,0,13,11,2,7,4,4,10,22.2,14,14,4,6,19,17,Matches
Manuel Lazzari,Lazio,ITA,DF,1,36,26,16,17,3,24,26,55.8,19,33,7,18,53,43,Matches
Patric,Lazio,ESP,DF,0,16,12,13,3,0,11,7,50,11,18,11,12,27,61,Matches
Valentín Castellanos,Lazio,ARG,FW,0,24,11,2,13,9,6,21,24,19,23,2,3,26,20,Matches
Matías Vecino,Lazio,URU,MF,0,41,25,15,24,2,25,17,51,24,25,8,19,59,34,Matches
Daichi Kamada,Lazio,JPN,MF,0,60,41,23,26,11,32,22,56.1,25,28,6,20,79,9,Matches
Nicolò Casale,Lazio,ITA,DF,0,16,14,14,2,0,6,4,35.3,11,20,16,13,28,70,Matches
Elseid Hysaj,Lazio,ALB,DF,0,32,19,12,17,3,17,13,58.6,12,19,6,22,51,37,Matches
Danilo Cataldi,Lazio,ITA,MF,1,26,18,8,17,1,9,8,45,11,15,7,19,44,20,Matches
Nicolò Rovella,Lazio,ITA,MF,0,51,33,27,19,5,18,22,45,22,28,6,27,77,29,Matches
Gustav Isaksen,Lazio,DEN,FW,0,4,3,2,1,1,1,11,7.7,12,12,1,6,10,5,Matches
Pedro,Lazio,ESP,FW,0,18,14,5,9,4,3,14,21.4,11,17,3,4,21,2,Matches
Luca Pellegrini,Lazio,ITA,DF,0,20,15,8,11,1,10,7,50,10,11,4,17,32,25,Matches
Christos Mandas,Lazio,GRE,GK,1,0,0,0,0,0,0,0,0,1,0,0,1,1,3,Matches
Toma Bašić,Lazio,CRO,MF,,,0,,,,,,,,,,1,0,,Matches
Bruno Guimarães,Newcastle Utd,BRA,MF,0,101,72,54,34,13,46,44,50.5,45,62,18,49,142,28,Matches
Fabian Schär,Newcastle Utd,SUI,DF,1,49,36,31,16,2,22,14,44.9,27,57,43,45,91,161,Matches
Anthony Gordon,Newcastle Utd,ENG,FW,0,65,46,21,30,14,28,35,36.4,49,35,0,10,74,9,Matches
Sean Longstaff,Newcastle Utd,ENG,MF,0,61,38,20,33,8,26,42,38.2,42,50,8,28,80,25,Matches
Dan Burn,Newcastle Utd,ENG,DF,1,67,43,42,21,4,29,34,44.6,36,64,30,40,105,140,Matches
Kieran Trippier,Newcastle Utd,ENG,DF,3,68,37,37,19,12,44,39,47.3,49,49,10,29,97,70,Matches
Alexander Isak,Newcastle Utd,SWE,FW,0,6,2,2,2,2,3,16,33.3,6,19,3,7,12,15,Matches
Miguel Almirón,Newcastle Utd,PAR,FW,0,51,52,17,22,12,21,34,47.7,23,37,3,17,65,15,Matches
Martin Dúbravka,Newcastle Utd,SVK,GK,1,0,1,0,0,0,0,0,0,4,0,0,0,0,8,Matches
Jamaal Lascelles,Newcastle Utd,ENG,DF,0,19,16,10,8,1,9,8,64.3,5,23,15,11,24,58,Matches
Valentino Livramento,Newcastle Utd,ENG,"DF,FW",2,32,28,18,11,3,14,13,53.8,12,21,8,33,58,50,Matches
Nick Pope,Newcastle Utd,ENG,GK,2,0,0,0,0,0,0,0,0,1,0,0,0,0,9,Matches
Joelinton,Newcastle Utd,BRA,"MF,FW",1,44,38,24,17,3,15,20,34.1,29,29,9,28,67,18,Matches
Sven Botman,Newcastle Utd,NED,DF,3,20,16,14,6,0,8,4,57.1,6,21,17,9,29,63,Matches
Lewis Miley,Newcastle Utd,ENG,MF,2,36,27,7,22,7,17,19,42.5,23,25,6,13,46,26,Matches
Jacob Murphy,Newcastle Utd,ENG,FW,0,22,15,9,4,9,13,17,46.4,15,18,1,6,28,17,Matches
Callum Wilson,Newcastle Utd,ENG,FW,0,5,3,0,2,3,0,7,0,5,7,0,2,7,4,Matches
Elliot Anderson,Newcastle Utd,SCO,MF,0,26,20,13,10,3,15,19,48.4,16,24,5,10,36,23,Matches
Emil Krafth,Newcastle Utd,SWE,DF,0,21,17,10,7,4,12,5,48,13,8,3,12,30,21,Matches
Lewis Hall,Newcastle Utd,ENG,DF,1,29,21,18,10,1,18,15,62.1,11,17,2,15,41,25,Matches
Harvey Barnes,Newcastle Utd,ENG,FW,0,6,1,3,2,1,1,1,50,1,1,0,5,11,3,Matches
Joe Willock,Newcastle Utd,ENG,MF,0,15,11,8,7,0,6,7,42.9,8,8,1,3,16,1,Matches
Sandro Tonali,Newcastle Utd,ITA,MF,0,8,9,5,2,1,4,4,40,6,4,0,4,12,6,Matches
Matt Ritchie,Newcastle Utd,SCO,"FW,MF",0,5,4,2,2,1,2,1,50,2,3,2,1,6,5,Matches
Paul Dummett,Newcastle Utd,WAL,DF,0,1,0,1,0,0,1,0,100,0,0,0,2,1,1,Matches
Matt Targett,Newcastle Utd,ENG,DF,0,2,0,1,1,0,1,1,100,0,1,0,2,2,2,Matches
Loris Karius,Newcastle Utd,GER,GK,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Matches
Ben Parkinson,Newcastle Utd,ENG,FW,0,0,0,0,0,0,0,1,,0,1,0,0,0,1,Matches
Joe White,Newcastle Utd,ENG,MF,0,1,1,1,0,0,0,0,,0,0,0,0,1,0,Matches
Alex Murphy,Newcastle Utd,IRL,"DF,FW",0,1,1,0,1,0,1,1,50,1,1,0,1,2,0,Matches
Michael Ndiweni,Newcastle Utd,ENG,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Amadou Diallo,Newcastle Utd,ENG,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Pietro Terracciano,Fiorentina,ITA,GK,1,1,1,1,0,0,1,1,33.3,2,1,0,1,1,9,Matches
Nikola Milenković,Fiorentina,SRB,DF,1,53,34,31,17,5,30,9,68.2,14,27,18,40,89,123,Matches
Cristiano Biraghi,Fiorentina,ITA,DF,0,60,41,27,30,3,36,36,56.3,28,42,6,23,81,52,Matches
Luca Ranieri,Fiorentina,ITA,DF,0,26,16,20,3,3,17,17,70.8,7,33,16,43,63,85,Matches
Lucas Martínez Quarta,Fiorentina,ARG,DF,4,95,68,57,33,5,49,33,66.2,25,48,15,45,138,93,Matches
Giacomo Bonaventura,Fiorentina,ITA,MF,0,29,18,8,11,10,9,17,36,16,18,1,24,48,11,Matches
Nicolás González,Fiorentina,ARG,FW,0,44,29,20,13,11,19,35,40.4,28,36,1,20,61,11,Matches
Michael Kayode,Fiorentina,ITA,DF,2,59,42,29,18,12,40,16,71.4,16,30,14,27,79,54,Matches
Lucas Beltrán,Fiorentina,ARG,"FW,MF",0,35,22,6,22,7,15,31,41.7,21,34,3,6,39,14,Matches
Arthur Melo,Fiorentina,BRA,MF,0,62,42,27,30,5,38,34,66.7,19,37,3,23,85,12,Matches
Rolando Mandragora,Fiorentina,ITA,MF,1,34,17,11,17,6,16,13,50,16,17,4,17,49,26,Matches
Alfred Duncan,Fiorentina,GHA,MF,0,39,24,16,15,8,18,25,42.9,24,30,5,15,51,17,Matches
Jonathan Ikone,Fiorentina,FRA,FW,0,28,13,9,12,7,12,20,54.5,10,20,0,5,33,9,Matches
