Player Name,Club Name,Touches,Position,Miscontrols,Receiving,Touches,TouchesInDefensivePenaltyArea,TouchesInDefensive1/3rd,TouchesInMid1/3rd,TouchesInAtt1/3rd,TouchesInAttackingPenaltyArea,TakeOnsAttempted,SucessfulTakeOns,SucessfulTakeOns%,TimesTackledByADefDuringTakeOn,TimesTackledByADefDuringTakeOn%,NumberOfCarries,DistanceTravelledInCarries(Yards),DistanceTravelledInCarries(Yards)TowardsOpponentGoal,CarriesThatReachesCloseToOpponentGoal(DistTravelled>10Yards),CarriesInFinalThird,CarriesInPenaltyArea,PassesRecieved,DisPossesed,ProgressivePassesRecieved
Unai Simón,Athletic Club,1301,GK,0,35.4,1301,968,1293,8,0,0,0,0,,0,,697,3823,2165,0,0,0,0,549,0
Iñaki Williams,Athletic Club,1435,FW,86,35.3,1435,47,134,463,859,175,120,49,40.8,60,50,907,5587,2913,114,66,51,48,1063,333
Nico Williams,Athletic Club,1203,FW,76,30.1,1203,14,112,372,746,148,193,86,44.6,92,47.7,800,6467,3736,143,77,62,51,849,302
Óscar de Marcos,Athletic Club,1764,DF,15,29.7,1764,60,375,868,529,34,22,6,27.3,16,72.7,871,3548,2012,51,40,6,6,1027,125
Gorka Guruzeta,Athletic Club,922,FW,62,28,923,22,77,456,399,110,33,19,57.6,13,39.4,446,1830,688,18,13,4,29,623,102
Oihan Sancet,Athletic Club,1057,MF,78,27.5,1058,6,67,497,516,83,56,26,46.4,23,41.1,694,4286,2121,76,68,14,43,839,157
Iñigo Lekue,Athletic Club,1476,DF,17,27.2,1476,82,427,779,285,9,44,18,40.9,25,56.8,706,3819,1993,44,30,1,9,825,35
Yuri Berchiche,Athletic Club,1504,DF,12,27.2,1504,78,437,754,327,34,13,9,69.2,2,15.4,767,3300,1786,36,31,5,10,843,77
Iñigo Ruiz de Galarreta,Athletic Club,1407,MF,24,26.7,1407,30,194,883,345,7,33,22,66.7,8,24.2,782,3740,1637,26,29,1,29,948,36
Beñat Prados,Athletic Club,990,"MF,DF",19,22.2,990,30,156,614,233,14,19,12,63.2,6,31.6,536,2501,1229,23,21,1,19,613,30
Álex Berenguer,Athletic Club,816,FW,42,21.7,818,17,87,259,480,74,61,21,34.4,35,57.4,442,2812,1430,61,35,23,36,522,143
Mikel Vesga,Athletic Club,1033,MF,18,20.2,1035,49,201,645,196,22,12,2,16.7,10,83.3,504,2129,1002,10,13,1,11,655,29
Ander Herrera,Athletic Club,903,MF,6,13.8,903,37,171,525,220,13,10,5,50,4,40,477,1767,839,11,21,0,6,600,17
Unai Gómez,Athletic Club,366,MF,14,13.3,366,8,38,176,160,26,29,12,41.4,14,48.3,221,1400,649,20,17,2,22,244,48
Yeray Álvarez,Athletic Club,810,DF,8,12.9,810,52,344,440,31,7,3,2,66.7,1,33.3,428,2689,1856,13,9,1,0,485,2
Julen Agirrezabala,Athletic Club,104,GK,0,11.3,104,84,104,0,0,0,0,0,,0,,58,348,192,0,0,0,0,42,0
Iker Muniain,Athletic Club,479,"MF,FW",16,10.7,479,4,32,256,192,24,31,13,41.9,16,51.6,304,1446,659,18,13,4,11,367,50
Asier Villalibre,Athletic Club,179,FW,12,9.7,179,6,18,64,98,31,11,4,36.4,6,54.5,105,389,195,6,5,6,11,143,29
Dani García,Athletic Club,398,MF,4,8.8,398,21,81,258,64,7,3,3,100,0,0,176,711,287,3,6,0,2,228,4
Raúl García,Athletic Club,202,"FW,MF",9,6.8,202,10,28,96,80,22,5,2,40,3,60,95,390,124,4,7,2,5,146,15
Imanol,Athletic Club,395,DF,5,6.8,395,17,88,219,94,4,5,4,80,1,20,181,901,473,13,11,2,3,204,15
Adu Ares,Athletic Club,147,FW,8,5.4,147,1,21,63,70,6,24,15,62.5,7,29.2,103,881,361,13,3,5,4,110,39
Mikel Jauregizar,Athletic Club,101,MF,4,2.2,101,3,20,43,38,0,3,1,33.3,2,66.7,48,220,104,2,1,0,4,60,3
Peru Nolaskoain,Athletic Club,10,"DF,MF",0,2.2,10,0,6,5,0,0,0,0,,0,,4,19,1,0,0,0,0,5,0
Unai Eguíluz,Athletic Club,,DF,,0.8,,,,,,,,,,,,,,,,,,,,
Aingeru Olabarrieta,Athletic Club,6,FW,0,0.1,6,0,0,1,5,0,0,0,,0,,3,33,26,1,0,0,0,4,0
Łukasz Skorupski,Bologna,1087,GK,0,34.3,1087,994,1080,7,0,0,0,0,,0,,619,3123,1915,0,0,0,0,552,0
Joshua Zirkzee,Bologna,1372,FW,114,32.5,1374,46,135,628,630,136,128,52,40.6,72,56.3,814,4132,1772,53,46,22,64,1033,182
Lewis Ferguson,Bologna,2043,MF,22,32.5,2043,54,317,1178,561,82,34,14,41.2,15,44.1,1213,5803,2570,57,45,13,22,1646,138
Sam Beukema,Bologna,2283,DF,6,32,2283,291,1170,1060,61,14,8,4,50,2,25,1457,8540,4162,14,10,1,3,1679,5
Remo Freuler,Bologna,2178,MF,27,30.8,2178,81,525,1304,361,33,12,8,66.7,3,25,1177,5516,2531,37,28,5,16,1564,48
Stefan Posch,Bologna,2358,DF,29,29.9,2358,117,852,1158,363,33,26,11,42.3,13,50,1410,7113,3253,44,35,4,12,1618,64
Michel Aebischer,Bologna,1694,MF,27,28.8,1694,51,405,1032,270,23,25,14,56,9,36,1040,4507,2248,26,23,3,19,1308,55
Victor Bernth Kristiansen,Bologna,1890,DF,14,28,1890,89,667,918,320,13,23,11,47.8,8,34.8,1125,5209,2280,23,15,2,7,1274,74
Riccardo Calafiori,Bologna,2102,DF,31,27.6,2102,235,955,1018,152,23,21,13,61.9,7,33.3,1291,7277,4024,28,28,1,12,1408,23
Jhon Lucumí,Bologna,2062,DF,15,26.7,2062,213,913,1082,81,10,10,8,80,2,20,1339,7663,4522,28,21,0,6,1552,4
Alexis Saelemaekers,Bologna,1271,"FW,MF",49,23.2,1271,7,177,555,558,47,106,40,37.7,58,54.7,818,4996,2370,65,49,17,25,945,180
Riccardo Orsolini,Bologna,978,"FW,MF",49,21.2,981,23,170,340,482,77,77,31,40.3,40,51.9,605,3460,1787,51,34,23,23,708,175
Dan Ndoye,Bologna,872,"FW,MF",57,21.1,872,19,127,346,423,74,93,34,36.6,43,46.2,593,4896,2713,88,56,30,26,646,173
Giovanni Fabbian,Bologna,425,"MF,FW",22,14.1,425,9,78,208,144,47,24,12,50,11,45.8,209,1275,491,11,10,5,13,290,41
Nikola Moro,Bologna,664,MF,9,12.3,664,16,128,401,142,9,10,5,50,5,50,393,2028,896,21,21,2,11,501,38
Kacper Urbanski,Bologna,510,"MF,FW",22,12.1,510,14,72,249,200,24,33,20,60.6,12,36.4,302,2006,823,25,17,5,14,357,78
Charalambos Lykogiannis,Bologna,682,DF,5,11.7,682,28,194,311,180,10,7,2,28.6,5,71.4,354,1964,1020,36,20,3,5,455,41
Federico Ravaglia,Bologna,218,GK,1,8.3,218,195,214,4,0,0,1,1,100,0,0,132,579,320,0,0,0,0,123,0
Lorenzo De Silvestri,Bologna,499,DF,4,8,499,32,202,226,75,2,0,0,,0,,256,1526,732,14,4,0,1,320,12
Oussama El Azzouzi,Bologna,448,MF,5,7,448,19,105,287,58,8,3,0,0,3,100,274,1340,577,4,3,0,5,345,8
Jens Odgaard,Bologna,191,"FW,MF",12,4.8,191,4,18,79,94,22,12,4,33.3,7,58.3,135,659,241,9,3,6,10,156,30
Jesper Karlsson,Bologna,183,FW,5,4.5,183,4,21,63,102,11,11,5,45.5,3,27.3,115,718,349,13,7,6,6,126,35
Sydney van Hooijdonk,Bologna,56,FW,4,4.3,56,5,9,26,21,7,2,2,100,0,0,22,140,15,1,0,0,3,35,9
Tommaso Corazza,Bologna,170,DF,1,4,170,6,54,72,47,5,3,0,0,2,66.7,96,555,330,10,6,1,2,107,9
Kevin Bonifazi,Bologna,95,DF,2,3,95,21,62,34,0,0,1,0,0,1,100,72,273,120,0,0,0,0,76,1
Santiago Castro,Bologna,76,FW,9,2.7,76,1,5,41,30,8,3,2,66.7,1,33.3,51,257,62,1,2,0,3,65,15
Nicolás Domínguez,Bologna,103,MF,1,2.1,103,2,23,69,12,0,0,0,,0,,39,210,116,1,2,0,3,79,3
Marko Arnautović,Bologna,,FW,,0.8,,,,,,,,,,,,,,,,,,,,
Niklas Pyyhtiä,Bologna,,FW,,0.7,,,,,,,,,,,,,,,,,,,,
Nicola Bagnolini,Bologna,4,GK,0,0.1,4,4,4,0,0,0,0,0,,0,,1,10,1,0,0,0,0,1,0
Kenny Lala,Brest,2471,DF,21,36,2471,130,687,1276,545,14,38,19,50,18,47.4,1617,9146,3750,45,51,3,12,1461,98
Bradley Locko,Brest,2269,DF,68,34.9,2269,112,666,1101,544,21,118,56,47.5,52,44.1,1466,8974,4389,83,62,4,28,1308,162
Brendan Chardonnet,Brest,2188,DF,15,34.7,2188,242,1105,1017,81,30,8,2,25,4,50,1524,9116,5074,25,14,0,4,1388,8
Marco Bizot,Brest,1185,GK,1,32,1185,988,1177,8,0,0,0,0,,0,,838,4115,1789,0,0,0,0,632,0
Lilian Brassier,Brest,2062,DF,15,31.5,2062,254,1054,966,56,21,16,12,75,4,25,1582,10262,5302,20,12,2,2,1431,5
Romain Del Castillo,Brest,1797,FW,65,29.2,1800,5,122,780,936,71,160,75,46.9,77,48.1,1306,7721,3294,101,95,21,52,1240,287
Pierre Lees-Melou,Brest,2091,MF,43,29.2,2091,125,606,1158,368,43,44,29,65.9,14,31.8,1529,9024,3989,51,56,13,12,1328,43
Hugo Magnetti,Brest,1366,MF,31,27.8,1366,27,240,812,333,23,39,26,66.7,11,28.2,1005,5373,2046,36,43,5,18,907,61
Mahdi Camara,Brest,1115,MF,39,24.1,1116,23,141,614,372,72,43,17,39.5,21,48.8,774,4230,1756,37,39,7,23,722,129
Martin Satriano,Brest,714,FW,67,23.3,714,32,79,297,347,99,45,21,46.7,24,53.3,490,2665,889,28,22,12,16,507,121
Steve Mounié,Brest,673,FW,58,20.8,673,22,39,322,316,119,18,11,61.1,7,38.9,415,2462,717,22,23,6,17,537,111
Jérémy Le Douaron,Brest,626,FW,53,19.7,626,14,72,227,334,83,60,16,26.7,35,58.3,453,3288,1227,48,31,15,24,460,130
Jonas Martin,Brest,1099,MF,13,15.9,1099,49,221,719,170,17,11,5,45.5,6,54.5,809,4190,1930,28,23,2,12,747,32
Mathias Pereira Lage,Brest,564,"FW,MF",28,14.6,564,15,70,215,285,45,28,8,28.6,16,57.1,354,2261,727,19,14,3,13,351,95
Kamory Doumbia,Brest,641,MF,32,10.6,641,10,76,357,220,37,29,13,44.8,15,51.7,482,2648,1049,22,22,6,18,449,43
Julien Le Cardinal,Brest,343,DF,5,7.8,343,39,160,157,28,7,5,3,60,2,40,201,1334,646,3,4,0,1,180,4
Grégoire Coudert,Brest,81,GK,0,5,81,63,81,0,0,0,0,0,,0,,61,363,203,0,0,0,0,43,0
Bilal Brahimi,Brest,158,"FW,MF",5,3.4,158,1,16,45,100,13,16,9,56.3,6,37.5,121,1097,441,15,10,5,7,116,39
Achraf Dari,Brest,103,"DF,FW",2,1.3,103,12,54,46,3,1,0,0,,0,,71,330,155,0,0,0,0,63,0
Luc Zogbé,Brest,10,DF,0,1.1,10,2,8,2,0,0,1,0,0,1,100,6,32,18,0,0,0,0,5,0
Axel Camblan,Brest,43,FW,3,1.1,43,0,4,12,28,3,8,3,37.5,5,62.5,28,290,117,5,4,0,2,26,8
Jordan Amavi,Brest,67,DF,1,1,67,4,18,42,8,0,2,1,50,1,50,43,290,75,0,1,0,1,35,1
Adrien Lebeau,Brest,42,"MF,FW",2,0.9,42,1,8,19,16,2,1,0,0,1,100,30,138,54,1,2,1,1,28,5
Karamoko Dembélé,Brest,13,"MF,FW",2,0.2,13,0,0,3,10,1,0,0,,0,,12,75,32,0,2,0,2,12,3
Hianga Mananga Mbock,Brest,10,"MF,FW",0,0.1,10,0,0,5,5,1,0,0,,0,,7,78,65,1,2,0,0,7,0
Ezri Konsa,Aston Villa,3120,DF,33,47.2,3120,311,1299,1515,324,44,39,22,56.4,7,17.9,2070,9531,4997,48,25,4,23,2243,39
Ollie Watkins,Aston Villa,1129,FW,89,46.8,1129,31,62,426,651,257,74,31,41.9,37,50,683,3553,1592,69,39,46,67,897,260
Douglas Luiz,Aston Villa,3064,MF,46,46.5,3069,103,661,1649,785,41,64,33,51.6,23,35.9,1835,9904,4657,76,60,4,39,2171,68
John McGinn,Aston Villa,1955,"MF,FW",73,46.3,1955,52,317,1028,637,74,112,59,52.7,35,31.3,1231,6218,2768,67,55,12,71,1394,114
Emiliano Martínez,Aston Villa,1936,GK,1,45.8,1936,1419,1903,34,0,0,0,0,,0,,1190,5684,3519,0,0,0,0,1017,0
Matty Cash,Aston Villa,2074,DF,34,36.2,2074,116,642,921,533,73,56,17,30.4,27,48.2,1206,7130,3351,86,62,24,25,1277,146
Lucas Digne,Aston Villa,2096,DF,23,36.2,2096,87,610,744,761,73,41,12,29.3,20,48.8,1105,4930,2470,58,31,8,20,1214,266
Pau Torres,Aston Villa,2395,DF,12,34,2395,324,1174,1091,152,24,30,19,63.3,9,30,1693,11087,7253,52,44,0,14,1761,17
Moussa Diaby,Aston Villa,1078,"FW,MF",45,33.8,1078,12,82,385,629,166,87,37,42.5,45,51.7,742,5214,2742,123,58,48,34,822,242
Leon Bailey,Aston Villa,1429,"MF,FW",68,33.6,1429,22,193,433,830,182,159,81,50.9,64,40.3,981,7205,3466,135,66,63,48,1044,302
Youri Tielemans,Aston Villa,1575,"MF,FW",26,28.9,1575,55,281,871,434,41,41,18,43.9,16,39,943,4163,2019,36,42,11,26,1132,66
Diego Carlos,Aston Villa,1982,DF,12,26.9,1982,280,1113,813,60,34,5,2,40,2,40,1337,6352,3470,5,3,1,4,1498,1
Boubacar Kamara,Aston Villa,1467,MF,21,25.4,1467,61,381,873,229,17,35,16,45.7,15,42.9,937,4177,2002,25,27,1,15,1088,15
Clément Lenglet,Aston Villa,1618,DF,8,23,1618,220,789,737,99,18,11,6,54.5,2,18.2,1162,6555,4101,34,24,0,3,1255,4
Álex Moreno,Aston Villa,844,DF,22,17.3,844,48,302,292,257,33,38,16,42.1,18,47.4,451,2903,1347,39,25,11,8,475,100
Nicolò Zaniolo,Aston Villa,562,"FW,MF",36,14.5,562,12,61,230,278,82,66,18,27.3,43,65.2,381,2579,1239,50,24,20,47,419,97
Jacob Ramsey,Aston Villa,505,"FW,MF",21,11.8,505,10,76,205,235,53,24,9,37.5,13,54.2,323,2114,983,39,24,13,23,375,81
Jhon Durán,Aston Villa,323,"FW,MF",28,11.5,323,9,30,142,157,50,18,10,55.6,8,44.4,188,905,380,15,14,7,17,230,46
Morgan Rogers,Aston Villa,403,"MF,FW",24,10.8,403,12,89,183,139,31,47,26,55.3,16,34,216,1524,802,29,15,7,13,265,44
Robin Olsen,Aston Villa,316,GK,0,7.5,316,285,314,2,0,0,0,0,,0,,196,946,472,0,0,0,0,175,0
Leander Dendoncker,Aston Villa,205,MF,4,4.2,205,8,51,130,27,2,0,0,,0,,113,529,191,2,4,0,1,137,4
Tim Iroegbunam,Aston Villa,157,MF,4,3.3,157,8,48,92,20,0,11,4,36.4,4,36.4,85,415,198,3,2,0,5,87,1
Calum Chambers,Aston Villa,181,"MF,DF",2,2.7,181,10,85,78,18,0,2,2,100,0,0,109,465,199,1,0,0,1,134,2
Filip Marshall,Aston Villa,34,GK,0,1,34,26,34,0,0,0,0,0,,0,,14,65,28,0,0,0,0,12,0
Omari Kellyman,Aston Villa,20,FW,3,0.7,20,0,3,11,6,0,0,0,,0,,11,97,37,1,2,0,0,15,3
Tyrone Mings,Aston Villa,8,DF,1,0.3,8,3,5,2,1,1,0,0,,0,,4,8,3,0,0,0,0,4,0
Bertrand Traoré,Aston Villa,25,"DF,FW",1,0.3,25,0,5,9,11,1,4,2,50,2,50,16,186,96,4,3,1,1,19,5
Philippe Coutinho,Aston Villa,30,"MF,FW",2,0.3,30,0,4,18,9,1,5,4,80,1,20,26,222,134,5,4,0,0,29,2
Tommi O'Reilly,Aston Villa,5,MF,0,0.1,5,0,0,1,4,0,0,0,,0,,1,11,10,0,0,0,0,4,0
Kaine Kesler-Hayden,Aston Villa,11,"MF,DF",0,0.1,11,0,3,7,1,0,1,0,0,1,100,9,47,29,0,0,0,0,8,1
Finley Munroe,Aston Villa,8,MF,1,0.1,8,0,2,4,2,0,0,0,,0,,4,24,14,0,0,0,0,4,1
Cameron Archer,Aston Villa,7,MF,1,0.1,7,0,1,4,2,0,0,0,,0,,5,39,28,1,1,0,0,7,0
Jaden Philogene Bidace,Aston Villa,4,FW,0,0,4,0,1,1,2,1,0,0,,0,,2,39,39,2,1,1,0,3,1
Lucas Chevalier,Lille,1500,GK,1,42.3,1500,1152,1493,7,0,0,0,0,,0,,1103,6107,3348,0,0,0,2,804,0
Benjamin André,Lille,3038,MF,39,40.1,3038,128,623,1975,459,43,32,17,53.1,15,46.9,2307,11496,5068,46,73,2,32,2200,52
Leny Yoro,Lille,2554,DF,18,39.1,2554,269,1200,1326,41,22,11,8,72.7,2,18.2,1994,10228,5343,13,7,0,4,1874,3
Jonathan David,Lille,1074,FW,67,37.7,1078,8,76,514,500,158,45,17,37.8,23,51.1,835,4414,1752,52,37,25,50,817,234
Tiago Santos,Lille,2273,DF,61,36.9,2273,66,507,1154,649,72,135,71,52.6,45,33.3,1544,10383,5008,116,76,28,32,1434,190
Angel Gomes,Lille,2288,MF,34,35.9,2289,51,344,1406,556,57,44,25,56.8,16,36.4,1941,10031,4401,61,71,9,20,1881,101
Ismaily,Lille,2086,DF,39,34.3,2086,101,566,1099,446,46,64,29,45.3,32,50,1363,8331,4370,82,74,15,19,1269,121
Edon Zhegrova,Lille,1624,FW,62,33,1625,20,130,542,991,134,206,106,51.5,91,44.2,1197,9324,4637,139,91,63,55,1163,374
Alexsandro Ribeiro,Lille,2575,DF,22,31.9,2575,270,1078,1411,98,34,12,6,50,3,25,1954,9871,4955,16,20,2,7,1842,8
Nabil Bentaleb,Lille,2061,MF,32,28.2,2061,102,488,1376,214,10,24,16,66.7,6,25,1605,7032,2610,16,32,1,21,1509,28
Gabriel Gudmundsson,Lille,1217,"DF,FW",41,23.6,1217,54,304,528,401,57,43,12,27.9,25,58.1,821,5278,2295,59,40,17,23,748,128
Bafodé Diakité,Lille,1862,DF,13,23.5,1862,134,664,1067,138,38,11,7,63.6,4,36.4,1458,7316,3813,17,17,2,6,1383,17
Yusuf Yazıcı,Lille,933,"MF,FW",44,23.2,934,10,97,380,467,101,44,17,38.6,25,56.8,729,4017,1830,49,33,11,30,699,158
Rémy Cabella,Lille,1526,"FW,MF",46,22.4,1526,16,159,647,746,116,68,30,44.1,32,47.1,1135,7193,3398,106,73,32,19,1061,227
Hákon Arnar Haraldsson,Lille,929,"FW,MF",39,21.9,929,15,110,462,370,60,43,18,41.9,21,48.8,764,4396,1771,37,41,11,22,724,126
Ivan Cavaleiro,Lille,430,FW,28,9.8,430,7,44,175,213,44,21,10,47.6,11,52.4,332,1781,655,23,15,9,17,316,95
Samuel Umtiti,Lille,518,DF,2,7.8,518,45,204,308,9,3,2,1,50,1,50,403,1881,1051,3,2,0,0,374,0
Ayyoub Bouaddi,Lille,504,MF,14,7.8,504,11,93,339,82,5,12,5,41.7,7,58.3,403,2115,833,3,15,0,9,381,11
Adam Ounas,Lille,376,FW,18,7.3,376,3,32,139,217,21,37,24,64.9,10,27,290,1856,823,22,18,8,17,270,69
Vito Mannone,Lille,135,GK,0,5,135,116,135,0,0,0,0,0,,0,,111,432,218,0,0,0,0,81,0
Akim Zedadka,Lille,86,DF,2,2,86,3,12,34,40,5,3,2,66.7,0,0,55,243,127,4,6,1,1,48,15
Alan Virginius,Lille,47,FW,2,1.7,47,0,2,14,31,8,4,2,50,2,50,43,303,114,5,2,4,0,43,21
Ignacio Miramon,Lille,70,MF,1,1,70,1,7,52,13,0,1,0,0,1,100,55,300,165,2,5,0,0,53,0
Amine Messoussa,Lille,9,FW,1,0.8,9,0,0,4,5,1,1,1,100,0,0,7,22,8,0,0,0,0,6,2
Tiago Fonseca Morais,Lille,23,FW,1,0.7,23,0,2,14,8,2,3,0,0,3,100,17,100,49,3,0,1,0,13,2
Carlos Baleba,Lille,59,MF,0,0.7,59,1,8,39,12,0,0,0,,0,,43,203,69,1,1,0,2,42,1
Aaron Malouda,Lille,17,FW,3,0.4,17,0,2,3,12,2,2,2,100,0,0,16,107,58,1,0,0,0,15,4
Trévis Dago,Lille,9,"FW,MF",0,0.3,9,0,1,4,5,2,1,1,100,0,0,6,40,22,1,1,0,0,4,1
Andrej Ilic,Lille,1,FW,0,0.2,1,0,0,1,0,0,0,0,,0,,1,3,1,0,0,0,0,1,0
Joffrey Bazié,Lille,6,FW,2,0.2,6,0,0,3,3,0,0,0,,0,,3,18,9,0,0,0,0,4,2
Ichem Ferrah,Lille,13,FW,1,0.1,13,0,2,7,5,1,0,0,,0,,7,46,23,1,1,1,1,5,3
Adame Faiz,Lille,6,MF,0,0.1,6,0,1,3,2,0,1,0,0,1,100,4,24,3,0,0,0,0,4,0
Guglielmo Vicario,Tottenham,1680,GK,0,40,1680,1252,1664,17,0,0,0,0,,0,,1029,4528,2573,0,0,0,0,986,0
Pedro Porro,Tottenham,2786,DF,37,36.3,2786,161,783,1098,929,69,57,26,45.6,24,42.1,1369,5484,2925,57,46,10,15,1670,158
Dejan Kulusevski,Tottenham,1623,"FW,MF",86,33.2,1623,12,167,503,984,226,129,54,41.9,66,51.2,1169,7680,3856,151,61,82,65,1229,388
Son Heung-min,Tottenham,1352,FW,55,33.2,1354,8,87,458,823,212,92,39,42.4,47,51.1,927,5688,2989,119,44,64,41,1100,325
Cristian Romero,Tottenham,2923,DF,12,32,2923,357,1254,1494,198,33,8,5,62.5,1,12.5,1957,9359,6026,32,42,0,4,2071,8
Destiny Udogie,Tottenham,1775,DF,49,28.6,1775,96,487,815,506,71,58,24,41.4,26,44.8,974,6108,3320,83,65,19,26,1028,138
Micky van de Ven,Tottenham,2022,DF,15,28.3,2022,244,965,976,102,15,27,15,55.6,9,33.3,1421,6517,3058,19,16,2,12,1498,9
Brennan Johnson,Tottenham,977,FW,35,24.9,977,14,94,316,578,154,71,25,35.2,39,54.9,637,3904,2060,97,35,48,19,748,293
James Maddison,Tottenham,1748,MF,35,24.4,1748,24,136,774,852,112,81,32,39.5,34,42,1251,6395,2589,58,60,31,34,1430,156
Pape Matar Sarr,Tottenham,1582,MF,37,23.5,1582,64,283,830,486,44,38,19,50,17,44.7,1041,5912,2263,43,58,3,15,1197,90
Yves Bissouma,Tottenham,2119,MF,33,23,2119,97,469,1226,443,19,47,27,57.4,12,25.5,1367,7132,3006,43,42,7,30,1641,13
Richarlison,Tottenham,652,FW,53,19.3,652,33,88,248,322,121,37,10,27,23,62.2,394,1656,712,26,11,17,40,459,106
Pierre Højbjerg,Tottenham,1585,MF,20,17,1585,63,377,913,310,16,23,12,52.2,10,43.5,1012,4237,1820,17,25,2,9,1230,29
Emerson,Tottenham,1220,DF,15,15.2,1220,103,462,517,249,12,21,10,47.6,6,28.6,686,2759,1292,21,19,2,12,814,35
Ben Davies,Tottenham,972,DF,2,14.4,972,97,406,473,96,23,10,4,40,6,60,593,3265,2044,13,13,1,3,685,20
Rodrigo Bentancur,Tottenham,931,MF,16,12.9,931,36,174,512,250,29,21,11,52.4,8,38.1,573,2769,1148,16,22,2,19,730,31
Timo Werner,Tottenham,451,FW,11,10,451,3,32,119,302,69,30,12,40,12,40,327,2630,1549,79,27,36,5,352,124
Oliver Skipp,Tottenham,448,"MF,DF",9,9.7,448,14,90,257,102,13,3,2,66.7,1,33.3,226,831,399,8,4,1,6,319,25
Giovani Lo Celso,Tottenham,570,MF,12,6.8,570,13,85,292,201,19,14,8,57.1,3,21.4,361,1891,946,25,20,0,7,456,29
Radu Drăgușin,Tottenham,411,DF,1,4.8,411,44,217,189,7,2,3,1,33.3,1,33.3,284,1550,738,5,2,1,1,312,1
Manor Solomon,Tottenham,125,FW,5,3.1,125,1,14,29,83,20,17,10,58.8,7,41.2,92,695,404,17,8,9,2,92,44
Bryan Gil,Tottenham,191,"FW,MF",9,2.7,191,3,25,66,101,18,11,8,72.7,3,27.3,137,746,340,11,6,5,7,155,49
Eric Dier,Tottenham,164,DF,1,2.2,164,38,106,57,2,2,0,0,,0,,97,291,119,0,0,0,0,112,0
Davinson Sánchez,Tottenham,83,DF,1,2.2,83,8,24,45,14,1,0,0,,0,,68,238,80,0,2,0,0,66,0
Ivan Perišić,Tottenham,93,FW,2,1.9,93,3,24,20,49,10,7,4,57.1,3,42.9,65,398,277,15,5,6,0,74,17
Fraser Forster,Tottenham,,GK,,1.3,,,,,,,,,,,,,,,,,,,,
Dane Scarlett,Tottenham,11,FW,5,1.2,11,0,0,5,6,2,3,0,0,2,66.7,10,32,2,0,0,1,0,11,4
Alejo Véliz,Tottenham,18,FW,2,0.6,18,0,1,6,11,4,2,1,50,1,50,8,19,9,0,0,0,2,10,3
Jamie Donley,Tottenham,7,FW,0,0.1,7,2,4,2,1,0,1,0,0,1,100,2,9,8,0,0,0,1,1,0
Ryan Sessegnon,Tottenham,,"DF,FW",,0.1,,,,,,,,,,,,,,,,,,,,
Mikey Moore,Tottenham,8,MF,1,0,8,1,1,3,4,0,1,0,0,1,100,4,44,41,2,1,0,0,5,2
Bryan Cristante,Roma,3259,"MF,DF",33,50.4,3259,122,816,1936,523,103,31,18,58.1,12,38.7,1996,10343,4923,58,65,5,31,2426,98
Gianluca Mancini,Roma,3003,DF,7,44.9,3003,341,1352,1439,226,39,8,6,75,1,12.5,1919,9528,5954,54,60,0,12,2214,23
Romelu Lukaku,Roma,1182,FW,80,43.3,1183,35,83,478,632,201,36,18,50,18,50,735,3183,1396,50,30,32,49,953,321
Leandro Paredes,Roma,3218,MF,23,42.7,3223,173,828,1996,422,14,24,12,50,8,33.3,2066,10398,5159,40,49,3,12,2299,23
Obite N'Dicka,Roma,2406,DF,9,32.5,2406,321,1146,1175,106,16,4,2,50,1,25,1634,8580,5047,41,32,1,4,1820,14
Diego Llorente,Roma,2405,DF,14,31.9,2405,290,1195,1150,69,13,9,3,33.3,5,55.6,1583,8474,4328,23,15,0,4,1728,5
Stephan El Shaarawy,Roma,1412,"FW,DF",44,31,1412,53,274,620,539,104,81,33,40.7,41,50.6,937,5764,2645,79,59,31,26,991,206
Mile Svilar,Roma,1165,GK,0,30.3,1165,1033,1164,1,0,0,1,1,100,0,0,775,3608,1976,0,0,0,0,618,0
Lorenzo Pellegrini,Roma,1507,MF,52,30.2,1508,43,262,791,478,67,52,26,50,19,36.5,936,5891,2531,56,54,8,25,1062,122
Paulo Dybala,Roma,1633,"FW,MF",92,29.5,1640,10,125,761,771,107,89,33,37.1,49,55.1,1080,6708,3089,102,81,36,50,1283,211
Edoardo Bove,Roma,1401,MF,34,29.2,1401,28,268,787,357,48,26,12,46.2,12,46.2,853,3844,1677,26,41,5,39,942,64
Rui Patrício,Roma,657,GK,0,24,657,612,656,1,0,0,0,0,,0,,349,1704,1021,0,0,0,0,302,0
Leonardo Spinazzola,Roma,1405,DF,23,22.9,1405,61,418,560,442,48,59,30,50.8,25,42.4,894,7905,4238,143,86,32,9,933,99
Rasmus Kristensen,Roma,1213,DF,14,20.9,1213,74,407,516,296,38,17,7,41.2,10,58.8,571,2020,914,16,9,6,5,760,115
Rick Karsdorp,Roma,1096,DF,7,20,1096,44,276,497,332,28,10,3,30,6,60,617,2712,1144,13,20,3,6,699,92
Nicola Zalewski,Roma,850,"DF,FW",26,17.2,850,34,212,358,290,46,51,21,41.2,21,41.2,489,3576,1830,70,27,23,10,527,97
