Player Name,Club Name,Country,Position,DefensiveErrors,TacklesAttempted,TackleWon,TacklesinDef3rd,TacklesinMid3rd,TacklesinAtt3rd,DribblesStopped,PassesBlocked,DribblesWinningPerc,DribblesNotStopped,TotalBlocks,ShotsBlocked,PassesBlocked,Tackles+Interception,Clearances
James Maddison,Tottenham,ENG,MF,1,33,19,5,18,10,15,12,51.7,14,15,3,13,46,10
Pape Matar Sarr,Tottenham,SEN,MF,1,34,25,11,17,6,15,16,41.7,21,21,5,31,65,28
Yves Bissouma,Tottenham,MLI,MF,3,80,52,32,36,12,41,23,67.2,20,28,5,37,117,43
Richarlison,Tottenham,BRA,FW,0,16,11,4,8,4,2,26,20,8,32,6,8,24,23
Pierre Højbjerg,Tottenham,DEN,MF,3,32,21,13,17,2,13,14,38.2,21,21,7,20,51,30
Emerson,Tottenham,BRA,DF,1,36,26,23,10,3,21,13,48.8,22,23,10,20,56,50
Ben Davies,Tottenham,WAL,DF,0,24,19,13,8,3,16,2,76.2,5,17,15,13,34,35
Rodrigo Bentancur,Tottenham,URU,MF,1,23,16,10,11,2,10,11,41.7,14,15,4,19,40,16
Timo Werner,Tottenham,GER,FW,0,7,4,3,4,0,5,12,27.8,13,12,0,3,10,2
Oliver Skipp,Tottenham,ENG,"MF,DF",0,18,13,9,6,3,11,11,61.1,7,12,1,5,21,9
Giovani Lo Celso,Tottenham,ARG,MF,0,22,14,10,8,4,9,3,64.3,5,4,1,5,27,2
Radu Drăgușin,Tottenham,ROU,DF,0,5,3,5,0,0,3,1,100,0,5,4,8,13,19
Manor Solomon,Tottenham,ISR,FW,0,3,4,1,1,1,1,4,50,1,4,0,4,6,2
Bryan Gil,Tottenham,ESP,"FW,MF",0,1,0,0,0,1,1,3,25,3,3,0,4,4,4
Eric Dier,Tottenham,ENG,DF,0,2,1,2,0,0,2,0,100,0,3,3,2,4,12
Davinson Sánchez,Tottenham,COL,DF,0,0,0,0,0,0,0,1,,0,3,2,2,1,2
Ivan Perišić,Tottenham,CRO,FW,0,3,2,1,1,1,3,1,60,2,1,0,3,5,1
Fraser Forster,Tottenham,ENG,GK,,,0,,,,,,,,,,0,0,
Dane Scarlett,Tottenham,ENG,FW,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0
Alejo Véliz,Tottenham,ARG,FW,0,1,0,1,0,0,0,0,,0,0,0,0,1,0
Jamie Donley,Tottenham,ENG,FW,0,0,1,0,0,0,0,0,,0,0,0,0,0,3
Ryan Sessegnon,Tottenham,ENG,"DF,FW",,,0,,,,,,,,,,0,0,
Mikey Moore,Tottenham,ENG,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,1
Bryan Cristante,Roma,ITA,"MF,DF",2,96,54,48,36,12,39,40,57.4,29,51,11,37,133,70
Gianluca Mancini,Roma,ITA,DF,1,50,32,31,16,3,18,16,46.2,21,55,39,51,98,104
Romelu Lukaku,Roma,BEL,FW,1,10,7,1,5,4,4,7,50,4,11,4,2,12,28
Leandro Paredes,Roma,ARG,MF,1,73,51,37,30,6,42,31,41.2,60,42,11,51,122,74
Obite N'Dicka,Roma,CIV,DF,0,39,21,17,21,1,15,20,55.6,12,40,20,20,59,107
Diego Llorente,Roma,ESP,DF,0,42,26,28,13,1,20,18,58.8,14,48,30,34,76,111
Stephan El Shaarawy,Roma,ITA,"FW,DF",2,35,22,23,8,4,14,16,51.9,13,24,8,25,58,28
Mile Svilar,Roma,SRB,GK,1,1,1,1,0,0,1,0,100,0,0,0,0,1,6
Lorenzo Pellegrini,Roma,ITA,MF,0,46,32,21,20,5,24,36,33.3,48,43,7,25,70,34
Paulo Dybala,Roma,ARG,"FW,MF",1,27,17,4,12,11,5,15,18.5,22,15,0,5,32,8
Edoardo Bove,Roma,ITA,MF,1,86,49,32,39,15,47,28,60.3,31,33,5,22,106,16
Rui Patrício,Roma,POR,GK,1,0,0,0,0,0,0,1,0,1,1,0,0,0,3
Leonardo Spinazzola,Roma,ITA,DF,0,27,14,19,8,0,14,9,46.7,16,19,10,4,31,25
Rasmus Kristensen,Roma,DEN,DF,0,36,20,25,8,3,28,20,56,22,27,7,11,44,50
Rick Karsdorp,Roma,NED,DF,1,29,21,14,8,7,19,12,65.5,10,16,4,17,45,25
Nicola Zalewski,Roma,POL,"DF,FW",0,30,21,16,13,1,12,8,38.7,19,13,5,15,45,29
Zeki Çelik,Roma,TUR,DF,2,45,31,19,18,8,26,20,56.5,20,27,7,20,64,52
Angeliño,Roma,ESP,DF,1,25,14,16,6,3,13,8,61.9,8,15,7,14,39,42
Houssem Aouar,Roma,ALG,"MF,FW",1,23,16,6,14,3,5,10,27.8,13,10,0,6,29,5
Andrea Belotti,Roma,ITA,FW,0,15,11,6,5,4,5,8,50,5,8,0,3,18,8
Sardar Azmoun,Roma,IRN,"FW,MF",1,11,7,4,5,2,4,3,40,6,4,1,6,17,6
Chris Smalling,Roma,ENG,DF,0,4,3,4,0,0,1,2,20,4,12,10,6,10,19
Tommaso Baldanzi,Roma,ITA,"FW,MF",0,10,5,3,4,3,1,3,25,3,3,0,1,11,5
Dean Huijsen,Roma,ESP,DF,2,10,5,5,5,0,1,3,25,3,7,4,4,14,26
Tammy Abraham,Roma,ENG,FW,1,3,1,0,1,2,0,1,0,2,1,0,1,4,6
Renato Sanches,Roma,POR,MF,0,3,1,1,2,0,2,4,50,2,5,1,1,4,1
Riccardo Pagano,Roma,ITA,"MF,DF",0,6,4,3,2,1,3,1,33.3,6,3,2,1,7,4
Niccolò Pisilli,Roma,ITA,MF,0,1,0,0,0,1,0,0,,0,0,0,1,2,0
Ola Solbakken,Roma,NOR,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
João Costa,Roma,BRA,"MF,FW",0,3,2,3,0,0,1,0,100,0,0,0,0,3,0
Francesco D'Alessio,Roma,ITA,MF,0,2,0,2,0,0,0,0,,0,1,1,1,3,0
Mattia Mannini,Roma,ITA,DF,0,0,0,0,0,0,0,1,,0,1,0,0,0,0
Luigi Cherubini,Roma,ITA,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Conor Gallagher,Chelsea,ENG,MF,0,85,65,37,31,17,33,39,42.9,44,50,11,54,128,34
Moisés Caicedo,Chelsea,ECU,MF,4,91,66,38,42,11,36,34,60,24,59,25,48,128,44
Axel Disasi,Chelsea,FRA,DF,2,33,24,20,10,3,23,7,76.7,7,26,19,24,51,102
Cole Palmer,Chelsea,ENG,"FW,MF",2,23,17,9,6,8,8,18,42.1,11,20,2,28,43,13
Nicolas Jackson,Chelsea,SEN,FW,0,21,19,5,8,8,5,15,20.8,19,20,5,8,25,17
Enzo Fernández,Chelsea,ARG,MF,0,50,43,22,18,10,27,23,41.5,38,36,13,25,67,28
Thiago Silva,Chelsea,BRA,DF,4,29,21,22,6,1,20,9,58.8,14,33,24,32,55,153
Đorđe Petrović,Chelsea,SRB,GK,3,0,0,0,0,0,0,0,,0,0,0,0,0,12
Raheem Sterling,Chelsea,ENG,"FW,MF",1,21,16,7,8,6,12,13,46.2,14,13,0,17,34,9
Malo Gusto,Chelsea,FRA,DF,1,55,45,34,15,6,35,24,67.3,17,28,4,20,72,43
Levi Colwill,Chelsea,ENG,DF,0,48,35,26,17,5,26,18,76.5,8,28,10,35,74,66
Marc Cucurella,Chelsea,ESP,DF,0,62,51,36,21,5,34,23,53.1,30,36,13,26,84,48
Mykhailo Mudryk,Chelsea,UKR,FW,0,21,15,9,7,5,10,13,31.3,22,14,1,12,30,9
Robert Sánchez,Chelsea,ESP,GK,3,0,0,0,0,0,0,0,,0,0,0,0,0,11
Benoît Badiashile,Chelsea,FRA,DF,2,21,16,12,9,0,9,7,64.3,5,21,14,19,39,66
Noni Madueke,Chelsea,ENG,FW,0,16,17,8,4,4,11,11,32.4,23,11,0,5,20,14
Trevoh Chalobah,Chelsea,ENG,DF,0,16,13,10,2,4,10,1,66.7,5,8,7,11,24,51
Ben Chilwell,Chelsea,ENG,DF,1,15,14,5,9,1,5,8,62.5,3,11,3,10,19,19
Armando Broja,Chelsea,ALB,FW,0,3,1,0,1,2,1,4,50,1,5,1,0,3,3
Lesley Ugochukwu,Chelsea,FRA,MF,0,14,16,4,8,2,4,4,40,6,6,2,3,15,5
Christopher Nkunku,Chelsea,FRA,"FW,MF",0,5,4,0,4,1,1,3,50,1,4,1,3,7,4
Reece James,Chelsea,ENG,DF,1,14,10,10,3,1,8,0,80,2,4,4,4,17,7
Alfie Gilchrist,Chelsea,ENG,DF,0,4,2,4,0,0,2,3,40,3,6,3,7,7,11
Ian Maatsen,Chelsea,NED,"FW,MF",0,3,5,1,1,1,0,4,0,4,4,0,5,6,10
Carney Chukwuemeka,Chelsea,ENG,"MF,FW",0,6,7,3,3,0,1,0,33.3,2,1,1,0,6,1
Bashir Humphreys,Chelsea,ENG,DF,,,1,,,,,,,,,,0,0,
Cesare Casadei,Chelsea,ITA,"FW,MF",0,5,3,2,1,2,2,1,40,3,1,0,0,5,4
Mason Burstow,Chelsea,ENG,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Diego Moreira,Chelsea,POR,MF,,,0,,,,,,,,,,2,0,
Roméo Lavia,Chelsea,BEL,MF,0,1,0,0,1,0,0,0,,0,0,0,0,1,1
Deivid Washington,Chelsea,BRA,"DF,FW",0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Leo Castledine,Chelsea,ENG,MF,,,0,,,,,,,,,,0,0,
Joshua Acheampong,Chelsea,ENG,DF,0,0,0,0,0,0,0,0,,0,3,3,0,0,0
Alex Matos,Chelsea,ENG,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Michael Golding,Chelsea,ENG,MF,,,0,,,,,,,,,,0,0,
Jimi Tauriainen,Chelsea,ENG,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Marcin Bułka,Nice,POL,GK,3,0,0,0,0,0,0,0,0,2,0,0,1,0,9
Dante,Nice,BRA,DF,2,62,33,44,16,2,38,21,73.1,14,43,22,40,99,77
Jean-Clair Todibo,Nice,FRA,DF,1,58,32,35,17,6,34,19,60.7,22,34,15,41,96,97
Melvin Bard,Nice,FRA,DF,0,69,38,28,30,11,37,34,58.7,26,46,12,43,111,46
Pablo Rosario,Nice,NED,"MF,DF",0,36,32,15,16,5,23,14,67.6,11,27,13,35,65,39
Gaëtan Laborde,Nice,FRA,"FW,MF",1,18,13,8,4,6,11,18,36.7,19,20,2,6,24,8
Khéphren Thuram,Nice,FRA,MF,0,42,29,13,23,6,20,11,50,20,21,10,20,60,37
Morgan Sanson,Nice,FRA,MF,0,26,22,12,7,7,12,29,38.7,19,34,5,23,46,16
Jordan Lotomba,Nice,SUI,DF,1,36,33,18,9,9,25,21,71.4,10,30,9,23,52,26
Terem Moffi,Nice,NGA,FW,0,7,6,0,5,2,3,13,25,9,14,1,4,10,15
Jeremie Boga,Nice,CIV,FW,0,18,9,6,10,2,10,24,50,10,26,2,8,26,4
Youssouf Ndayishimiye,Nice,BDI,"MF,DF",1,31,22,17,12,2,12,8,52.2,11,19,11,14,43,47
Evann Guessand,Nice,CIV,FW,0,16,9,2,7,7,6,11,85.7,1,12,1,13,28,7
Hicham Boudaoui,Nice,ALG,MF,0,41,19,16,22,3,21,14,70,9,15,1,11,52,15
Mohamed Ali Cho,Nice,FRA,FW,0,12,11,4,7,1,3,10,27.3,8,10,0,3,15,6
Tom Louchet,Nice,FRA,"MF,DF",0,14,10,6,6,2,7,4,63.6,4,7,3,7,17,9
Alexis Claude-Maurice,Nice,FRA,MF,0,12,10,3,6,3,1,3,20,4,4,1,10,17,7
Antoine Mendy,Nice,FRA,DF,0,7,10,4,3,0,3,3,42.9,4,4,1,8,15,16
Sofiane Diop,Nice,FRA,FW,0,8,6,3,4,1,4,4,40,6,4,0,3,11,3
Romain Perraud,Nice,FRA,"DF,FW",1,7,7,5,1,1,4,4,36.4,7,4,0,6,13,15
Youcef Atal,Nice,ALG,DF,0,9,3,6,2,1,6,6,75,2,7,1,4,13,1
Badredine Bouanani,Nice,ALG,FW,0,3,2,1,1,1,3,5,75,1,5,0,3,6,0
Ayoub Amraoui,Nice,MAR,DF,,,2,,,,,,,,,,1,0,
Aliou Baldé,Nice,GUI,"FW,DF",0,4,1,0,3,1,1,1,100,0,2,1,4,7,0
Reda Belahyane,Nice,FRA,MF,0,1,1,0,1,0,1,0,100,0,0,0,1,1,0
Valentin Rosier,Nice,FRA,"DF,MF",0,1,0,1,0,0,0,1,,0,1,0,2,3,5
Robson Bambu,Nice,BRA,DF,,,3,,,,,,,,,,1,0,
Daouda Traoré,Nice,FRA,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Bilal Brahimi,Nice,ALG,FW,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Amidou Doumbouya,Nice,FRA,MF,,,0,,,,,,,,,,0,0,
Adam Marušić,Lazio,MNE,DF,2,54,41,26,26,2,32,21,57.1,24,33,12,39,91,73
Felipe Anderson,Lazio,BRA,FW,0,95,63,37,43,15,39,49,35.1,72,52,3,41,134,28
Ivan Provedel,Lazio,ITA,GK,1,1,0,1,0,0,1,0,33.3,2,0,0,0,1,13
Alessio Romagnoli,Lazio,ITA,DF,0,32,24,18,14,0,20,14,69,9,36,22,32,63,136
Mattéo Guendouzi,Lazio,FRA,MF,1,40,24,12,21,7,23,20,42.6,31,27,7,33,66,30
Luis Alberto,Lazio,ESP,MF,0,39,24,17,14,8,16,39,25.4,47,47,8,14,53,16
Mattia Zaccagni,Lazio,ITA,FW,0,35,21,13,21,1,13,31,46.4,15,34,3,27,61,17
Mario Gila,Lazio,ESP,DF,0,40,23,31,8,1,23,14,56.1,18,34,20,26,64,81
Ciro Immobile,Lazio,ITA,FW,0,13,11,2,7,4,4,10,22.2,14,14,4,6,19,17
Manuel Lazzari,Lazio,ITA,DF,1,36,26,16,17,3,24,26,55.8,19,33,7,18,53,43
Patric,Lazio,ESP,DF,0,16,12,13,3,0,11,7,50,11,18,11,12,27,61
Valentín Castellanos,Lazio,ARG,FW,0,24,11,2,13,9,6,21,24,19,23,2,3,26,20
Matías Vecino,Lazio,URU,MF,0,41,25,15,24,2,25,17,51,24,25,8,19,59,34
Daichi Kamada,Lazio,JPN,MF,0,60,41,23,26,11,32,22,56.1,25,28,6,20,79,9
Nicolò Casale,Lazio,ITA,DF,0,16,14,14,2,0,6,4,35.3,11,20,16,13,28,70
Elseid Hysaj,Lazio,ALB,DF,0,32,19,12,17,3,17,13,58.6,12,19,6,22,51,37
Danilo Cataldi,Lazio,ITA,MF,1,26,18,8,17,1,9,8,45,11,15,7,19,44,20
Nicolò Rovella,Lazio,ITA,MF,0,51,33,27,19,5,18,22,45,22,28,6,27,77,29
Gustav Isaksen,Lazio,DEN,FW,0,4,3,2,1,1,1,11,7.7,12,12,1,6,10,5
Pedro,Lazio,ESP,FW,0,18,14,5,9,4,3,14,21.4,11,17,3,4,21,2
Luca Pellegrini,Lazio,ITA,DF,0,20,15,8,11,1,10,7,50,10,11,4,17,32,25
Christos Mandas,Lazio,GRE,GK,1,0,0,0,0,0,0,0,0,1,0,0,1,1,3
Toma Bašić,Lazio,CRO,MF,,,0,,,,,,,,,,1,0,
Bruno Guimarães,Newcastle Utd,BRA,MF,0,101,72,54,34,13,46,44,50.5,45,62,18,49,142,28
Fabian Schär,Newcastle Utd,SUI,DF,1,49,36,31,16,2,22,14,44.9,27,57,43,45,91,161
Anthony Gordon,Newcastle Utd,ENG,FW,0,65,46,21,30,14,28,35,36.4,49,35,0,10,74,9
Sean Longstaff,Newcastle Utd,ENG,MF,0,61,38,20,33,8,26,42,38.2,42,50,8,28,80,25
Dan Burn,Newcastle Utd,ENG,DF,1,67,43,42,21,4,29,34,44.6,36,64,30,40,105,140
Kieran Trippier,Newcastle Utd,ENG,DF,3,68,37,37,19,12,44,39,47.3,49,49,10,29,97,70
Alexander Isak,Newcastle Utd,SWE,FW,0,6,2,2,2,2,3,16,33.3,6,19,3,7,12,15
Miguel Almirón,Newcastle Utd,PAR,FW,0,51,52,17,22,12,21,34,47.7,23,37,3,17,65,15
Martin Dúbravka,Newcastle Utd,SVK,GK,1,0,1,0,0,0,0,0,0,4,0,0,0,0,8
Jamaal Lascelles,Newcastle Utd,ENG,DF,0,19,16,10,8,1,9,8,64.3,5,23,15,11,24,58
Valentino Livramento,Newcastle Utd,ENG,"DF,FW",2,32,28,18,11,3,14,13,53.8,12,21,8,33,58,50
Nick Pope,Newcastle Utd,ENG,GK,2,0,0,0,0,0,0,0,0,1,0,0,0,0,9
Joelinton,Newcastle Utd,BRA,"MF,FW",1,44,38,24,17,3,15,20,34.1,29,29,9,28,67,18
Sven Botman,Newcastle Utd,NED,DF,3,20,16,14,6,0,8,4,57.1,6,21,17,9,29,63
Lewis Miley,Newcastle Utd,ENG,MF,2,36,27,7,22,7,17,19,42.5,23,25,6,13,46,26
Jacob Murphy,Newcastle Utd,ENG,FW,0,22,15,9,4,9,13,17,46.4,15,18,1,6,28,17
Callum Wilson,Newcastle Utd,ENG,FW,0,5,3,0,2,3,0,7,0,5,7,0,2,7,4
Elliot Anderson,Newcastle Utd,SCO,MF,0,26,20,13,10,3,15,19,48.4,16,24,5,10,36,23
Emil Krafth,Newcastle Utd,SWE,DF,0,21,17,10,7,4,12,5,48,13,8,3,12,30,21
Lewis Hall,Newcastle Utd,ENG,DF,1,29,21,18,10,1,18,15,62.1,11,17,2,15,41,25
Harvey Barnes,Newcastle Utd,ENG,FW,0,6,1,3,2,1,1,1,50,1,1,0,5,11,3
Joe Willock,Newcastle Utd,ENG,MF,0,15,11,8,7,0,6,7,42.9,8,8,1,3,16,1
Sandro Tonali,Newcastle Utd,ITA,MF,0,8,9,5,2,1,4,4,40,6,4,0,4,12,6
Matt Ritchie,Newcastle Utd,SCO,"FW,MF",0,5,4,2,2,1,2,1,50,2,3,2,1,6,5
Paul Dummett,Newcastle Utd,WAL,DF,0,1,0,1,0,0,1,0,100,0,0,0,2,1,1
Matt Targett,Newcastle Utd,ENG,DF,0,2,0,1,1,0,1,1,100,0,1,0,2,2,2
Loris Karius,Newcastle Utd,GER,GK,0,0,0,0,0,0,0,0,,0,0,0,0,0,1
Ben Parkinson,Newcastle Utd,ENG,FW,0,0,0,0,0,0,0,1,,0,1,0,0,0,1
Joe White,Newcastle Utd,ENG,MF,0,1,1,1,0,0,0,0,,0,0,0,0,1,0
Alex Murphy,Newcastle Utd,IRL,"DF,FW",0,1,1,0,1,0,1,1,50,1,1,0,1,2,0
Michael Ndiweni,Newcastle Utd,ENG,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Amadou Diallo,Newcastle Utd,ENG,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Pietro Terracciano,Fiorentina,ITA,GK,1,1,1,1,0,0,1,1,33.3,2,1,0,1,1,9
Nikola Milenković,Fiorentina,SRB,DF,1,53,34,31,17,5,30,9,68.2,14,27,18,40,89,123
Cristiano Biraghi,Fiorentina,ITA,DF,0,60,41,27,30,3,36,36,56.3,28,42,6,23,81,52
Luca Ranieri,Fiorentina,ITA,DF,0,26,16,20,3,3,17,17,70.8,7,33,16,43,63,85
Lucas Martínez Quarta,Fiorentina,ARG,DF,4,95,68,57,33,5,49,33,66.2,25,48,15,45,138,93
Giacomo Bonaventura,Fiorentina,ITA,MF,0,29,18,8,11,10,9,17,36,16,18,1,24,48,11
Nicolás González,Fiorentina,ARG,FW,0,44,29,20,13,11,19,35,40.4,28,36,1,20,61,11
Michael Kayode,Fiorentina,ITA,DF,2,59,42,29,18,12,40,16,71.4,16,30,14,27,79,54
Lucas Beltrán,Fiorentina,ARG,"FW,MF",0,35,22,6,22,7,15,31,41.7,21,34,3,6,39,14
Arthur Melo,Fiorentina,BRA,MF,0,62,42,27,30,5,38,34,66.7,19,37,3,23,85,12
Rolando Mandragora,Fiorentina,ITA,MF,1,34,17,11,17,6,16,13,50,16,17,4,17,49,26
Alfred Duncan,Fiorentina,GHA,MF,0,39,24,16,15,8,18,25,42.9,24,30,5,15,51,17
Jonathan Ikone,Fiorentina,FRA,FW,0,28,13,9,12,7,12,20,54.5,10,20,0,5,33,9
M'Bala Nzola,Fiorentina,ANG,FW,0,16,11,2,5,9,6,9,85.7,1,10,1,2,17,23
Fabiano Parisi,Fiorentina,ITA,DF,1,35,22,16,12,7,17,22,53.1,15,27,5,18,53,33
Christian Kouamé,Fiorentina,CIV,FW,0,26,12,10,14,2,12,23,70.6,5,23,0,7,31,15
Riccardo Sottil,Fiorentina,ITA,FW,0,17,10,6,4,7,7,14,53.8,6,14,0,4,21,3
Maxime Lopez,Fiorentina,FRA,MF,0,26,19,8,12,6,8,5,40,12,6,1,10,33,12
Andrea Belotti,Fiorentina,ITA,FW,0,10,4,1,6,3,6,13,42.9,8,14,1,3,13,5
Antonín Barák,Fiorentina,CZE,"MF,FW",0,14,8,1,9,4,6,7,50,6,7,0,3,17,4
Dodô,Fiorentina,BRA,DF,0,14,10,4,9,1,7,3,58.3,5,3,0,15,27,16
Oliver Christensen,Fiorentina,DEN,GK,0,0,0,0,0,0,0,0,,0,0,0,0,0,6
Josip Brekalo,Fiorentina,CRO,FW,0,9,6,7,2,0,3,9,18.8,13,9,0,1,10,0
Davide Faraoni,Fiorentina,ITA,DF,0,9,4,5,2,2,5,2,38.5,8,3,1,5,14,16
Gaetano Castrovilli,Fiorentina,ITA,"FW,MF",0,3,2,1,2,0,1,4,12.5,7,4,0,2,5,3
Gino Infantino,Fiorentina,ARG,MF,0,1,1,0,1,0,0,4,0,1,4,0,3,4,1
Yerry Mina,Fiorentina,COL,"DF,MF",0,4,4,2,2,0,2,0,66.7,1,0,0,2,5,3
Niccolò Pierozzi,Fiorentina,ITA,DF,0,1,0,1,0,0,1,0,33.3,2,0,0,2,3,3
Pietro Comuzzo,Fiorentina,ITA,"DF,FW",0,5,2,2,2,1,3,2,100,0,2,0,2,6,3
Tommaso Martinelli,Fiorentina,ITA,GK,,,0,,,,,,,,,,0,0,
Lorenzo Amatucci,Fiorentina,ITA,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Álex Remiro,Real Sociedad,ESP,GK,2,0,0,0,0,0,0,0,,0,0,0,0,0,27
Martín Zubimendi,Real Sociedad,ESP,MF,0,67,38,23,41,3,28,32,53.8,24,42,10,45,111,66
Igor Zubeldia,Real Sociedad,ESP,DF,3,46,43,29,14,3,27,14,77.1,8,40,26,40,86,120
Robin Le Normand,Real Sociedad,ESP,DF,1,39,32,22,16,1,21,12,53.8,18,28,16,45,78,112
Mikel Merino,Real Sociedad,ESP,MF,3,92,59,33,38,21,28,32,45.9,33,44,12,25,112,70
Brais Méndez,Real Sociedad,ESP,MF,0,55,41,13,28,14,21,25,39.6,32,30,5,17,70,29
Mikel Oyarzabal,Real Sociedad,ESP,"FW,MF",0,31,24,9,14,8,8,24,32,17,29,5,7,35,12
Hamari Traoré,Real Sociedad,MLI,DF,2,51,23,26,19,6,28,23,56,22,33,10,37,87,70
Takefusa Kubo,Real Sociedad,JPN,"FW,MF",1,30,21,15,9,6,9,22,30,21,25,3,14,43,12
Beñat Turrientes,Real Sociedad,ESP,MF,1,35,24,7,22,6,13,13,38.2,21,23,10,9,42,18
Ander Barrenetxea,Real Sociedad,ESP,"FW,MF",0,44,27,14,18,12,17,20,42.5,23,21,1,9,51,7
Arsen Zakharyan,Real Sociedad,RUS,"FW,MF",0,26,25,10,13,3,10,23,43.5,13,23,0,7,31,11
Jon Pacheco,Real Sociedad,ESP,DF,1,27,17,23,4,0,14,11,60.9,9,17,6,10,37,59
Aihen Muñoz,Real Sociedad,ESP,DF,0,49,31,27,14,8,31,12,68.9,14,23,11,14,61,49
Kieran Tierney,Real Sociedad,SCO,DF,0,39,31,16,19,4,20,17,69,9,25,8,13,51,47
Javi Galán,Real Sociedad,ESP,DF,1,44,28,17,22,5,17,27,47.2,19,29,2,23,64,17
Umar Sadiq,Real Sociedad,NGA,FW,0,17,12,2,10,5,4,9,50,4,9,0,1,17,11
Aritz Elustondo,Real Sociedad,ESP,DF,0,18,15,10,5,3,11,5,55,9,15,10,10,26,33
André Silva,Real Sociedad,POR,FW,0,4,3,2,0,2,1,3,20,4,4,1,1,5,4
Sheraldo Becker,Real Sociedad,SUR,FW,0,2,2,0,2,0,0,3,0,1,3,0,1,3,0
Álvaro Odriozola,Real Sociedad,ESP,"DF,FW",0,10,14,8,1,1,6,2,100,0,3,1,10,19,7
Jon Aramburu,Real Sociedad,VEN,DF,0,24,17,12,10,2,15,5,60,10,8,3,7,31,18
Carlos Fernández,Real Sociedad,ESP,FW,0,12,8,4,6,2,1,5,25,3,5,0,2,13,6
Olasagasti,Real Sociedad,ESP,MF,1,16,14,4,7,5,5,2,62.5,3,2,0,4,19,5
Mohamed Ali Cho,Real Sociedad,FRA,"FW,MF",0,4,3,3,1,0,2,7,28.6,5,7,0,1,5,1
Unai Marrero,Real Sociedad,ESP,GK,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Urko González,Real Sociedad,ESP,DF,0,4,3,0,3,1,2,1,100,0,1,0,3,5,6
Jon Magunacelaya,Real Sociedad,ESP,MF,0,5,4,2,3,0,4,3,50,4,3,0,0,5,3
Alberto Dadie,Real Sociedad,ESP,FW,0,2,3,2,0,0,0,1,,0,1,0,0,2,0
Alex Sola,Real Sociedad,ESP,"DF,MF",0,0,0,0,0,0,0,0,,0,0,0,1,1,2
Jon Martin,Real Sociedad,ESP,DF,0,0,0,0,0,0,0,0,,0,0,0,0,0,3
André Onana,Manchester Utd,CMR,GK,6,2,0,2,0,0,2,0,100,0,0,0,1,3,13
Diogo Dalot,Manchester Utd,POR,DF,0,88,69,62,14,12,54,32,65.9,28,52,20,52,128,124
Bruno Fernandes,Manchester Utd,POR,"MF,FW",2,81,50,33,31,17,35,49,32.7,72,56,7,39,111,59
Alejandro Garnacho,Manchester Utd,ARG,"FW,MF",0,26,23,7,10,9,14,30,28.6,35,32,2,26,49,18
Rasmus Højlund,Manchester Utd,DEN,FW,0,11,10,2,3,6,5,11,38.5,8,12,1,2,13,19
Marcus Rashford,Manchester Utd,ENG,FW,0,22,16,10,6,6,10,16,34.5,19,17,1,5,27,23
Scott McTominay,Manchester Utd,SCO,MF,0,51,30,24,25,2,23,24,57.5,17,39,15,16,66,60
Casemiro,Manchester Utd,BRA,MF,1,89,67,47,34,8,54,44,47,61,77,33,27,108,75
Aaron Wan-Bissaka,Manchester Utd,ENG,DF,1,49,38,21,24,4,20,15,74.1,7,30,15,60,100,77
Kobbie Mainoo,Manchester Utd,ENG,MF,1,49,37,21,17,11,21,8,46.7,24,21,13,26,71,32
Harry Maguire,Manchester Utd,ENG,DF,1,25,21,15,10,0,13,12,56.5,10,39,27,32,54,96
Raphaël Varane,Manchester Utd,FRA,DF,0,22,15,12,9,1,11,8,73.3,4,29,21,24,41,101
Victor Lindelöf,Manchester Utd,SWE,DF,1,15,11,8,7,0,5,13,35.7,9,24,11,15,28,51
Antony,Manchester Utd,BRA,FW,0,47,30,20,20,7,25,32,51,24,34,2,19,64,11
Jonny Evans,Manchester Utd,NIR,DF,0,23,17,21,2,0,13,8,59.1,9,27,19,25,46,77
Sofyan Amrabat,Manchester Utd,MAR,"MF,DF",2,35,24,22,10,3,23,22,59,16,30,8,11,46,22
Christian Eriksen,Manchester Utd,DEN,MF,0,18,13,5,10,3,12,13,33.3,24,20,7,7,25,16
Luke Shaw,Manchester Utd,ENG,DF,0,13,12,7,5,1,10,8,58.8,7,20,12,10,22,39
Lisandro Martínez,Manchester Utd,ARG,DF,1,12,9,8,4,0,5,4,41.7,7,14,10,8,19,27
Mason Mount,Manchester Utd,ENG,"MF,FW",0,24,17,7,10,7,6,5,37.5,10,6,1,7,31,3
